recordingSha256,kind,legacyGroup,group,detail,site,caller,truncated,count,value
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$$$Lambda$4944.apply:-1","none","false","111","747297112"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$$$Lambda$4944.apply:-1","none","true","38","269156160"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$5:63","none","false","358","2676003008"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$6$$anonfun$1:71","none","false","388","3051297304"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$6$$anonfun$1:71","none","true","392","2079782080"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$8:74","none","false","345","2850721744"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.average:90","none","false","3","12567096"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.ess:270","none","false","3","21729224"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rhat:206","none","false","1","4190512"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rhat:206","none","true","1","8604496"
