target,seed,budget,method,coordinate,mean,error,mcse,ess,status,maxWeight,k,covered95,accurate,pilotCalls,pilotDraws,fallback,draws,evaluations,seconds
gamma-original,222741,200000,slice,0,2.112871983925605,0.005002010755969177,0.004821897957743147,1654.6027195627612,ChecksPassed,NA,NA,true,true,0,0,false,12152,200000,0.0408166
gamma-original,222741,200000,slice,1,1.8397576561808962,-0.004971690743555746,0.004808319685308691,1650.828077485298,ChecksPassed,NA,NA,true,true,0,0,false,12152,200000,0.0408166
gamma-original,230660,2000,prior,0,2.3564440182822315,0.2485740451125955,0.029119878528062564,4.55296151455379,Danger,0.37477532883555137,15.061119186288826,false,false,0,0,false,2000,2000,0.001652
gamma-original,230660,2000,prior,1,1.615438890491526,-0.2292904564329259,0.022603508311502322,4.55296151455379,Danger,0.37477532883555137,15.061119186288826,false,false,0,0,false,2000,2000,0.001652
gamma-original,230660,2000,defensive,0,2.4467821297960226,0.33891215662638663,0.0967243554021094,3.472689981039529,Danger,0.43326928480907106,18.016981854869563,false,false,1000,0,true,1000,2000,0.0010618
gamma-original,230660,2000,defensive,1,1.5777723115003275,-0.2669570354241244,0.07239243228630994,3.472689981039529,Danger,0.43326928480907106,18.016981854869563,false,false,1000,0,true,1000,2000,0.0010618
gamma-original,230660,2000,slice,0,2.1556872757681838,0.04781730259854777,0.09005543633975627,7.303205691166111,Danger,NA,NA,true,false,0,0,false,40,2000,4.947E-4
gamma-original,230660,2000,slice,1,1.80467003586276,-0.040059311061691805,0.08503896185641627,7.356213602176317,Danger,NA,NA,true,false,0,0,false,40,2000,4.947E-4
gamma-original,230660,20000,prior,0,2.154659859719951,0.04678988655031491,0.02022420259127743,51.096023875349296,Danger,0.036472209890169305,5.551090758209797,false,false,0,0,false,20000,20000,0.0129199
gamma-original,230660,20000,prior,1,1.7948187884123186,-0.04991055851213333,0.019348469140653184,51.096023875349296,Danger,0.036472209890169305,5.551090758209797,false,false,0,0,false,20000,20000,0.0129199
gamma-original,230660,20000,defensive,0,2.110087197564745,0.002217224395109074,0.0020871403356193165,6422.78155393539,ChecksPassed,2.3911944246003664E-4,-0.9117509622050552,true,true,10000,528,false,10000,20000,0.0102883
gamma-original,230660,20000,defensive,1,1.8415096049347237,-0.0032197419897281865,0.002046843496465847,6422.78155393539,ChecksPassed,2.3911944246003664E-4,-0.9117509622050552,true,true,10000,528,false,10000,20000,0.0102883
gamma-original,230660,20000,slice,0,2.0927518038620243,-0.015118169307611673,0.01699367278241061,123.38568241953577,Danger,NA,NA,true,true,0,0,false,1132,20000,0.00403
gamma-original,230660,20000,slice,1,1.8590535531514587,0.014324206227006808,0.017701021065138666,122.66196552863936,Danger,NA,NA,true,true,0,0,false,1132,20000,0.00403
gamma-original,230660,200000,prior,0,2.1125714694292306,0.004701496259594595,0.006654954409980428,451.4947851949986,Danger,0.004328516799227057,1.2618121471661772,true,true,0,0,false,200000,200000,0.1896094
gamma-original,230660,200000,prior,1,1.8382324052567591,-0.006496941667692768,0.006425143415006567,451.4947851949986,Danger,0.004328516799227057,1.2618121471661772,true,true,0,0,false,200000,200000,0.1896094
gamma-original,230660,200000,defensive,0,2.107509229260505,-3.607439091308784E-4,4.765803164478428E-4,122578.33280341508,ChecksPassed,1.2468495460750848E-5,-0.9440634998964377,true,true,10000,528,false,190000,200000,0.1924583
gamma-original,230660,200000,defensive,1,1.8448336175618456,1.0427063739371079E-4,4.6884952983754154E-4,122578.33280341508,ChecksPassed,1.2468495460750848E-5,-0.9440634998964377,true,true,10000,528,false,190000,200000,0.1924583
gamma-original,230660,200000,slice,0,2.104927276373285,-0.002942696796350841,0.004937335987387697,1548.0140953126922,Warning,NA,NA,true,true,0,0,false,12052,200000,0.0413684
gamma-original,230660,200000,slice,1,1.8476578948891658,0.002928547964713868,0.004929980395125861,1571.5157602173335,Warning,NA,NA,true,true,0,0,false,12052,200000,0.0413684
dirichlet-original,1009,2000,prior,0,0.9403604622491244,0.09934431152622336,6.184133591027137E-10,1.0000000028807459,Danger,0.9999999985596271,51.29598231399027,false,false,0,0,false,2000,2000,0.0042896
dirichlet-original,1009,2000,prior,1,1.5797346427269132,-0.3312161125097217,2.6277489251692685E-10,1.0000000028807459,Danger,0.9999999985596271,51.29598231399027,false,false,0,0,false,2000,2000,0.0042896
dirichlet-original,1009,2000,prior,2,2.0356589340128455,-0.6046803447110074,2.204464006593855E-9,1.0000000028807459,Danger,0.9999999985596271,51.29598231399027,false,false,0,0,false,2000,2000,0.0042896
dirichlet-original,1009,2000,defensive,0,0.9403604622493933,0.09934431152649226,6.182026353782019E-10,1.0000000028774596,Danger,0.9999999985612702,61.32710426790581,false,false,1000,0,true,1000,2000,0.0025211
dirichlet-original,1009,2000,defensive,1,1.579734642727222,-0.33121611250941285,2.6301662446742886E-10,1.0000000028774596,Danger,0.9999999985612702,61.32710426790581,false,false,1000,0,true,1000,2000,0.0025211
dirichlet-original,1009,2000,defensive,2,2.0356589340107525,-0.6046803447131004,2.202756102623215E-9,1.0000000028774596,Danger,0.9999999985612702,61.32710426790581,false,false,1000,0,true,1000,2000,0.0025211
dirichlet-original,1009,2000,slice,0,NA,NA,NA,NA,InsufficientEvidence,NA,NA,false,false,0,0,false,0,2000,0.0012119
dirichlet-original,1009,2000,slice,1,NA,NA,NA,NA,InsufficientEvidence,NA,NA,false,false,0,0,false,0,2000,0.0012119
dirichlet-original,1009,2000,slice,2,NA,NA,NA,NA,InsufficientEvidence,NA,NA,false,false,0,0,false,0,2000,0.0012119
dirichlet-original,1009,20000,prior,0,0.7898181375478961,-0.05119801317500494,0.0066854739558758775,1.2826943406630664,Danger,0.8813415296236065,30.49922593686278,false,false,0,0,false,20000,20000,0.0248144
dirichlet-original,1009,20000,prior,1,1.6409984779658027,-0.26995227727083226,0.029910524413314262,1.2826943406630664,Danger,0.8813415296236065,30.49922593686278,false,false,0,0,false,20000,20000,0.0248144
dirichlet-original,1009,20000,prior,2,2.5491874564685437,-0.09115182225530916,0.032728776113366005,1.2826943406630664,Danger,0.8813415296236065,30.49922593686278,false,false,0,0,false,20000,20000,0.0248144
dirichlet-original,1009,20000,defensive,0,0.841398935199396,3.827844764949795E-4,6.666307302043458E-4,5427.3982859410235,ChecksPassed,3.5025075764588524E-4,-0.6603991860239586,true,true,10000,341,false,10000,20000,0.0243103
