family,seed,draws,status,ess,maxWeight,k,mean,error,rawMcse,issues
gamma,80199,2000,Danger,7.904742951087336,0.19606930579336254,13.80788508174095,2.103383792939211,-0.004486180230424797,0.05157781166840467,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,88118,2000,Danger,6.087096597809204,0.2509423375789642,12.505667541733958,2.0025320251458605,-0.1053379480237755,0.03231750302146854,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,96037,2000,Danger,8.598511932436631,0.16203453659023523,14.130612303947556,1.9995883899362679,-0.10828158323336812,0.06755518978217334,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,103956,2000,Danger,4.627676522125342,0.32595633044202993,12.550115579911862,2.057974968336012,-0.04989500483362397,0.08706202224006891,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,111875,2000,Danger,5.299686658461577,0.30501717792715966,15.161105399448331,1.9372279703501758,-0.17064200281946018,0.04899608322369916,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,119794,2000,Danger,3.385533572057794,0.37960521353139337,12.315710179711074,2.029711887735731,-0.07815808543390501,0.03368266845781409,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,127713,2000,Danger,8.415618965212099,0.2238903637168587,14.447376334558875,2.1043371885094397,-0.003532784660196242,0.07602189688746744,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,135632,2000,Danger,6.369033924155478,0.26403313937473866,14.0511677643164,2.085149756604612,-0.022720216565023765,0.06323601957728749,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,143551,2000,Danger,6.53012952804199,0.25313480664720156,14.503216915569357,2.063428092388416,-0.04444188078121991,0.040083893225920285,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,151470,2000,Danger,6.837824662057743,0.21278888716050468,16.765422994083846,2.001410909185322,-0.10645906398431393,0.11965386091049868,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,159389,2000,Danger,5.3307995870986735,0.34173316133202286,13.707238022942882,2.067776158182325,-0.04009381498731113,0.045358932054823546,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,167308,2000,Danger,5.028392986895009,0.342850263096504,16.072545449998945,2.1313245471915803,0.023454574021944286,0.07993214463706115,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,175227,2000,Danger,3.963885578655114,0.42962543383210705,11.484124007956963,2.0656355846858263,-0.04223438848380967,0.07322314699315614,DominantWeight|LowEss|LowEfficiency|ParetoDanger
