case,seed,method,status,truth,estimate,pilotCalls,productionCalls,componentCalls,seconds
common,95026,prior,Completed,0.5,0.4981666666666668,0,12000,0,0.0029746
common,95026,single,Fitted,0.5,0.5061777516667513,1000,11000,0,0.004707
common,95027,supplied,Completed,0.5,0.5091666666666677,0,12000,0,0.0044406
common,95027,prior,Completed,0.5,0.5065000000000005,0,12000,0,0.0028541
common,95027,single,Fitted,0.5,0.4955945000716264,1000,11000,0,0.0043981
common,95027,weighted,Fitted,0.5,0.5003017953152485,1000,11000,28826,0.0108068
common,95028,prior,Completed,0.5,0.49858333333333327,0,12000,0,0.0028708
common,95028,single,Fitted,0.5,0.5000957944123582,1000,11000,0,0.0043807
common,95028,weighted,MixtureFitFailure,0.5,NaN,1000,0,45672,0.010042
common,95028,supplied,Completed,0.5,0.5097499999999998,0,12000,0,0.004755
common,95029,single,Fitted,0.5,0.5002006559043785,1000,11000,0,0.0049954
common,95029,weighted,Fitted,0.5,0.5036096686770105,1000,11000,19646,0.0095699
common,95029,supplied,Completed,0.5,0.4958333333333344,0,12000,0,0.0043733
common,95029,prior,Completed,0.5,0.49608333333333393,0,12000,0,0.003774
one_tail,95000,prior,Completed,0.0013498980316300946,0.0010000000000000002,0,12000,0,0.0029953
one_tail,95000,single,Fitted,0.0013498980316300946,0.0013679285575612667,3000,9000,0,0.0049335
one_tail,95000,weighted,Fitted,0.0013498980316300946,0.001349227411828585,3000,9000,12984,0.0097956
one_tail,95000,supplied,Completed,0.0013498980316300946,0.001375101601052716,0,12000,0,0.0044277
one_tail,95001,single,Fitted,0.0013498980316300946,0.001322642443791429,3000,9000,0,0.0048685
one_tail,95001,weighted,Fitted,0.0013498980316300946,0.0013218536006563341,3000,9000,8968,0.0080125
one_tail,95001,supplied,Completed,0.0013498980316300946,0.001312746474565716,0,12000,0,0.0043291
one_tail,95001,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.0030374
one_tail,95002,weighted,MixtureFitFailure,0.0013498980316300946,NaN,1000,0,200,5.175E-4
one_tail,95002,supplied,Completed,0.0013498980316300946,0.0013430142376574879,0,12000,0,0.0045259
one_tail,95002,prior,Completed,0.0013498980316300946,0.0011666666666666676,0,12000,0,0.0030137
one_tail,95002,single,Fitted,0.0013498980316300946,0.0013450402903200415,3000,9000,0,0.0047024
one_tail,95003,supplied,Completed,0.0013498980316300946,0.0013797178493917574,0,12000,0,0.0065114
one_tail,95003,prior,Completed,0.0013498980316300946,0.0011666666666666676,0,12000,0,0.0032484
one_tail,95003,single,Fitted,0.0013498980316300946,0.0013510263316585016,3000,9000,0,0.0050923
one_tail,95003,weighted,Fitted,0.0013498980316300946,0.0013299294092481288,3000,9000,9400,0.0100354
one_tail,95004,prior,Completed,0.0013498980316300946,0.0013333333333333346,0,12000,0,0.0044022
one_tail,95004,single,Fitted,0.0013498980316300946,0.001367185407126761,3000,9000,0,0.0059955
one_tail,95004,weighted,Fitted,0.0013498980316300946,0.00133684524228003,3000,9000,12530,0.0093675
one_tail,95004,supplied,Completed,0.0013498980316300946,0.0013613466001940677,0,12000,0,0.0045105
one_tail,95005,single,Fitted,0.0013498980316300946,0.0013125514419937525,3000,9000,0,0.0051064
one_tail,95005,weighted,Fitted,0.0013498980316300946,0.0013328983692069223,3000,9000,11796,0.0090305
one_tail,95005,supplied,Completed,0.0013498980316300946,0.0013163345509946986,0,12000,0,0.0044274
one_tail,95005,prior,Completed,0.0013498980316300946,0.0012500000000000013,0,12000,0,0.0028878
one_tail,95006,weighted,Fitted,0.0013498980316300946,0.001390506247050595,3000,9000,9672,0.0083871
one_tail,95006,supplied,Completed,0.0013498980316300946,0.0013343046939869525,0,12000,0,0.0045156
one_tail,95006,prior,Completed,0.0013498980316300946,0.0015000000000000007,0,12000,0,0.0032261
one_tail,95006,single,Fitted,0.0013498980316300946,0.0013639071542272665,3000,9000,0,0.0053283
one_tail,95007,supplied,Completed,0.0013498980316300946,0.0013478751068027879,0,12000,0,0.0047309
one_tail,95007,prior,Completed,0.0013498980316300946,0.0010833333333333335,0,12000,0,0.0055136
one_tail,95007,single,Fitted,0.0013498980316300946,0.0013419256365084522,3000,9000,0,0.0053313
one_tail,95007,weighted,Fitted,0.0013498980316300946,0.001338926409627494,3000,9000,14736,0.0103508
one_tail,95008,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.0030443
one_tail,95008,single,Fitted,0.0013498980316300946,0.0013402563603715633,3000,9000,0,0.005211
one_tail,95008,weighted,Fitted,0.0013498980316300946,0.0013389250985362865,3000,9000,9644,0.0082419
one_tail,95008,supplied,Completed,0.0013498980316300946,0.0013421558867232788,0,12000,0,0.0043667
one_tail,95009,single,Fitted,0.0013498980316300946,0.0013551197529775602,3000,9000,0,0.0049333
one_tail,95009,weighted,Fitted,0.0013498980316300946,0.0013626447493072502,3000,9000,10278,0.0083253
one_tail,95009,supplied,Completed,0.0013498980316300946,0.001293025697189739,0,12000,0,0.0046402
one_tail,95009,prior,Completed,0.0013498980316300946,8.33333333333334E-4,0,12000,0,0.0036031
one_tail,95010,weighted,Fitted,0.0013498980316300946,0.0013809571351199362,3000,9000,9168,0.0080256
one_tail,95010,supplied,Completed,0.0013498980316300946,0.0013546652384042028,0,12000,0,0.0043003
one_tail,95010,prior,Completed,0.0013498980316300946,0.0019166666666666679,0,12000,0,0.0034004
one_tail,95010,single,Fitted,0.0013498980316300946,0.0013811706619456135,3000,9000,0,0.0047678
one_tail,95011,supplied,Completed,0.0013498980316300946,0.0013310202368301564,0,12000,0,0.0044252
one_tail,95011,prior,Completed,0.0013498980316300946,0.0013333333333333346,0,12000,0,0.0029556
one_tail,95011,single,Fitted,0.0013498980316300946,0.0013456584174491766,3000,9000,0,0.0074729
one_tail,95011,weighted,Fitted,0.0013498980316300946,0.0013600041886629637,3000,9000,11694,0.0088278
one_tail,95012,prior,Completed,0.0013498980316300946,0.0015000000000000007,0,12000,0,0.0034561
one_tail,95012,single,Fitted,0.0013498980316300946,0.0013337293315212185,3000,9000,0,0.0049611
one_tail,95012,weighted,Fitted,0.0013498980316300946,0.0013289641049874566,3000,9000,10664,0.0083953
one_tail,95012,supplied,Completed,0.0013498980316300946,0.0013254251690741413,0,12000,0,0.0046534
one_tail,95013,single,Fitted,0.0013498980316300946,0.0013395227040674488,3000,9000,0,0.0047263
one_tail,95013,weighted,Fitted,0.0013498980316300946,0.0013756788978543644,3000,9000,10914,0.0084719
one_tail,95013,supplied,Completed,0.0013498980316300946,0.0013289859217436091,0,12000,0,0.0046462
one_tail,95013,prior,Completed,0.0013498980316300946,0.0015000000000000007,0,12000,0,0.0029566
one_tail,95014,weighted,Fitted,0.0013498980316300946,0.0013351899109550083,3000,9000,15992,0.0094496
one_tail,95014,supplied,Completed,0.0013498980316300946,0.0013715626377546158,0,12000,0,0.0047666
one_tail,95014,prior,Completed,0.0013498980316300946,0.0015000000000000007,0,12000,0,0.0029129
one_tail,95014,single,Fitted,0.0013498980316300946,0.0013265059683215793,3000,9000,0,0.0048344
one_tail,95015,supplied,Completed,0.0013498980316300946,0.0013280763526129999,0,12000,0,0.0055334
one_tail,95015,prior,Completed,0.0013498980316300946,0.0010833333333333335,0,12000,0,0.003458
one_tail,95015,single,Fitted,0.0013498980316300946,0.0013476403786582404,3000,9000,0,0.0049048
one_tail,95015,weighted,Fitted,0.0013498980316300946,0.0013439166589786138,3000,9000,9990,0.0111551
one_tail,95016,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.0030743
one_tail,95016,single,Fitted,0.0013498980316300946,0.0013393762271726947,3000,9000,0,0.0047271
one_tail,95016,weighted,Fitted,0.0013498980316300946,0.0013582330217358817,3000,9000,10762,0.0086233
one_tail,95016,supplied,Completed,0.0013498980316300946,0.0013112898522185882,0,12000,0,0.0044182
one_tail,95017,single,Fitted,0.0013498980316300946,0.00135342217422857,3000,9000,0,0.0046763
one_tail,95017,weighted,Fitted,0.0013498980316300946,0.0013097639784442616,3000,9000,11730,0.0084507
one_tail,95017,supplied,Completed,0.0013498980316300946,0.001354544106928222,0,12000,0,0.0044106
one_tail,95017,prior,Completed,0.0013498980316300946,0.0011666666666666676,0,12000,0,0.0029184
one_tail,95018,weighted,Fitted,0.0013498980316300946,0.0013362797032755941,3000,9000,10524,0.0082977
one_tail,95018,supplied,Completed,0.0013498980316300946,0.0013591094348759819,0,12000,0,0.0044207
one_tail,95018,prior,Completed,0.0013498980316300946,0.0013333333333333346,0,12000,0,0.0030024
one_tail,95018,single,Fitted,0.0013498980316300946,0.0013293078729096318,3000,9000,0,0.0045965
one_tail,95019,supplied,Completed,0.0013498980316300946,0.001344539383949987,0,12000,0,0.0045935
one_tail,95019,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.0029255
one_tail,95019,single,Fitted,0.0013498980316300946,0.0013321302973481647,3000,9000,0,0.0045282
one_tail,95019,weighted,Fitted,0.0013498980316300946,0.0013386335327453193,3000,9000,11152,0.0109594
one_tail,95020,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.0029106
one_tail,95020,single,Fitted,0.0013498980316300946,0.001365837971057191,3000,9000,0,0.0046873
one_tail,95020,weighted,MixtureFitFailure,0.0013498980316300946,NaN,3000,0,9140,0.0035682
one_tail,95020,supplied,Completed,0.0013498980316300946,0.0013400630586207604,0,12000,0,0.0045085
one_tail,95021,single,Fitted,0.0013498980316300946,0.0014055549390007997,3000,9000,0,0.0046346
one_tail,95021,weighted,Fitted,0.0013498980316300946,0.0013736864659542637,3000,9000,9746,0.0080641
one_tail,95021,supplied,Completed,0.0013498980316300946,0.0013798674557736635,0,12000,0,0.0046169
one_tail,95021,prior,Completed,0.0013498980316300946,0.002083333333333335,0,12000,0,0.0029753
one_tail,95022,weighted,MixtureFitFailure,0.0013498980316300946,NaN,1000,0,200,4.978E-4
one_tail,95022,supplied,Completed,0.0013498980316300946,0.0013497328064218383,0,12000,0,0.0044196
one_tail,95022,prior,Completed,0.0013498980316300946,0.0010833333333333335,0,12000,0,0.0031661
one_tail,95022,single,Fitted,0.0013498980316300946,0.0013756709028918564,3000,9000,0,0.0048543
one_tail,95023,supplied,Completed,0.0013498980316300946,0.0013299412335637019,0,12000,0,0.0043914
one_tail,95023,prior,Completed,0.0013498980316300946,0.0016666666666666668,0,12000,0,0.0030186
one_tail,95023,single,Fitted,0.0013498980316300946,0.0013681693677690394,3000,9000,0,0.0051101
one_tail,95023,weighted,MixtureFitFailure,0.0013498980316300946,NaN,1000,0,200,7.901E-4
one_tail,95024,prior,Completed,0.0013498980316300946,0.0012500000000000013,0,12000,0,0.0032278
one_tail,95024,single,Fitted,0.0013498980316300946,0.001349346680235897,3000,9000,0,0.0045294
one_tail,95024,weighted,Fitted,0.0013498980316300946,0.0013562095340358172,3000,9000,9980,0.0086703
one_tail,95024,supplied,Completed,0.0013498980316300946,0.0013803443950705038,0,12000,0,0.0068947
one_tail,95025,single,Fitted,0.0013498980316300946,0.0013396182562898681,3000,9000,0,0.0047081
one_tail,95025,weighted,Fitted,0.0013498980316300946,0.001338383530897472,3000,9000,10504,0.0085151
one_tail,95025,supplied,Completed,0.0013498980316300946,0.0013504217902179693,0,12000,0,0.0043565
one_tail,95025,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.0029456
one_tail,95026,weighted,Fitted,0.0013498980316300946,0.001374297749891493,3000,9000,10794,0.0085153
one_tail,95026,supplied,Completed,0.0013498980316300946,0.0013654803213508347,0,12000,0,0.0046653
one_tail,95026,prior,Completed,0.0013498980316300946,0.0011666666666666676,0,12000,0,0.0033671
one_tail,95026,single,Fitted,0.0013498980316300946,0.0013893769255860187,3000,9000,0,0.0051345
one_tail,95027,supplied,Completed,0.0013498980316300946,0.0013648682405778241,0,12000,0,0.0046881
one_tail,95027,prior,Completed,0.0013498980316300946,0.0013333333333333346,0,12000,0,0.0031168
one_tail,95027,single,Fitted,0.0013498980316300946,0.001322388068728718,3000,9000,0,0.0047457
one_tail,95027,weighted,Fitted,0.0013498980316300946,0.0013422179094152613,3000,9000,11324,0.0085212
one_tail,95028,prior,Completed,0.0013498980316300946,0.0013333333333333346,0,12000,0,0.0030863
one_tail,95028,single,Fitted,0.0013498980316300946,0.0013463340826721868,3000,9000,0,0.0047527
one_tail,95028,weighted,Fitted,0.0013498980316300946,0.0013287578683484763,3000,9000,13026,0.0086905
one_tail,95028,supplied,Completed,0.0013498980316300946,0.0013768105951602674,0,12000,0,0.0043502
one_tail,95029,single,Fitted,0.0013498980316300946,0.0013535309446030524,3000,9000,0,0.0056613
one_tail,95029,weighted,Fitted,0.0013498980316300946,0.0013759793967402633,3000,9000,9072,0.0082262
one_tail,95029,supplied,Completed,0.0013498980316300946,0.001302226879961882,0,12000,0,0.0045125
one_tail,95029,prior,Completed,0.0013498980316300946,0.0020000000000000005,0,12000,0,0.0033013
two_tail,95000,prior,Completed,6.334248366623984E-5,8.333333333333338E-5,0,12000,0,0.0035232
two_tail,95000,single,Fitted,6.334248366623984E-5,6.473643740295218E-5,2000,10000,0,0.0047657
two_tail,95000,weighted,Fitted,6.334248366623984E-5,6.341943819294494E-5,3000,9000,4212,0.0070397
two_tail,95000,supplied,Completed,6.334248366623984E-5,6.401494949752439E-5,0,12000,0,0.006424
two_tail,95001,single,Fitted,6.334248366623984E-5,6.178621020851689E-5,3000,9000,0,0.0048916
two_tail,95001,weighted,Fitted,6.334248366623984E-5,6.321644807958732E-5,3000,9000,3660,0.0069599
two_tail,95001,supplied,Completed,6.334248366623984E-5,6.496185924353818E-5,0,12000,0,0.0060463
two_tail,95001,prior,Completed,6.334248366623984E-5,2.5E-4,0,12000,0,0.0029284
two_tail,95002,weighted,Fitted,6.334248366623984E-5,6.250942007275937E-5,3000,9000,4752,0.0072856
two_tail,95002,supplied,Completed,6.334248366623984E-5,6.496057535959406E-5,0,12000,0,0.0061807
two_tail,95002,prior,Completed,6.334248366623984E-5,1.666666666666668E-4,0,12000,0,0.003056
two_tail,95002,single,Fitted,6.334248366623984E-5,6.170888324684394E-5,2000,10000,0,0.0046543
two_tail,95003,supplied,Completed,6.334248366623984E-5,6.515993822769542E-5,0,12000,0,0.0062325
two_tail,95003,prior,Completed,6.334248366623984E-5,0.0,0,12000,0,0.0040388
two_tail,95003,single,Fitted,6.334248366623984E-5,6.26333495802686E-5,3000,9000,0,0.005126
two_tail,95003,weighted,Fitted,6.334248366623984E-5,6.265345466046615E-5,3000,9000,3248,0.0075807
two_tail,95004,prior,Completed,6.334248366623984E-5,1.666666666666668E-4,0,12000,0,0.0033412
two_tail,95004,single,Fitted,6.334248366623984E-5,6.611142634606767E-5,2000,10000,0,0.0046447
two_tail,95004,weighted,Fitted,6.334248366623984E-5,6.203477365345609E-5,3000,9000,3628,0.0069036
two_tail,95004,supplied,Completed,6.334248366623984E-5,6.235553126743901E-5,0,12000,0,0.0060859
two_tail,95005,single,Fitted,6.334248366623984E-5,6.493359537095011E-5,2000,10000,0,0.0045822
two_tail,95005,weighted,Fitted,6.334248366623984E-5,6.240431641829008E-5,3000,9000,4308,0.0077862
two_tail,95005,supplied,Completed,6.334248366623984E-5,6.2333790065438E-5,0,12000,0,0.0059204
two_tail,95005,prior,Completed,6.334248366623984E-5,8.333333333333338E-5,0,12000,0,0.0032139
two_tail,95006,weighted,Fitted,6.334248366623984E-5,6.487515471554385E-5,4000,8000,9936,0.0083064
two_tail,95006,supplied,Completed,6.334248366623984E-5,6.314751998096102E-5,0,12000,0,0.0061389
two_tail,95006,prior,Completed,6.334248366623984E-5,0.0,0,12000,0,0.0032585
two_tail,95006,single,Fitted,6.334248366623984E-5,6.99481729225218E-5,2000,10000,0,0.0046854
two_tail,95007,supplied,Completed,6.334248366623984E-5,6.31308522008675E-5,0,12000,0,0.0058398
two_tail,95007,prior,Completed,6.334248366623984E-5,0.0,0,12000,0,0.0036992
