case,seed,query,reference,tolerance,mean,error,mcse,covered95,accurate,health,fit,pilotCalls,productionCalls,ess,seconds
dirichlet-heldout,198984,mean1,1.9694768223230366,0.014679812158777754,1.9700967134745162,6.198911514796457E-4,0.0016167141063701568,true,true,ChecksPassed,Fitted,10000,10000,5651.229973105699,0.0243202
dirichlet-heldout,198984,mean2,3.023988742447311,0.0228495626039935,3.0264996661850985,0.002510923737787607,0.0024790323937053413,true,true,ChecksPassed,Fitted,10000,10000,5651.229973105699,0.0243202
dirichlet-heldout,206903,mean0,0.9522859595106329,0.006891111207876513,0.9528791373609617,5.931778503288632E-4,7.282372292244685E-4,true,true,ChecksPassed,Fitted,10000,10000,5961.853783697885,0.0246798
dirichlet-heldout,206903,mean1,1.9694768223230366,0.014679812158777754,1.9735191198182718,0.004042297495235214,0.0015774688532135704,false,true,ChecksPassed,Fitted,10000,10000,5961.853783697885,0.0246798
dirichlet-heldout,206903,mean2,3.023988742447311,0.0228495626039935,3.029469526639134,0.005480784191822963,0.0024656751025581083,false,true,ChecksPassed,Fitted,10000,10000,5961.853783697885,0.0246798
dirichlet-heldout,214822,mean0,0.9522859595106329,0.006891111207876513,0.951448991217447,-8.369682931859135E-4,7.501882952094905E-4,true,true,ChecksPassed,Fitted,10000,10000,5610.500903391703,0.0267399
dirichlet-heldout,214822,mean1,1.9694768223230366,0.014679812158777754,1.9670461556235377,-0.0024306666994988735,0.0015932183263535292,true,true,ChecksPassed,Fitted,10000,10000,5610.500903391703,0.0267399
dirichlet-heldout,214822,mean2,3.023988742447311,0.0228495626039935,3.02342347406017,-5.652683871408826E-4,0.002436133147139984,true,true,ChecksPassed,Fitted,10000,10000,5610.500903391703,0.0267399
dirichlet-heldout,222741,mean0,0.9522859595106329,0.006891111207876513,0.9508529035119805,-0.0014330559986523994,7.601542022327516E-4,true,true,ChecksPassed,Fitted,10000,10000,5404.2277730289225,0.024604
dirichlet-heldout,222741,mean1,1.9694768223230366,0.014679812158777754,1.9684377756359213,-0.001039046687115297,0.0016028795396623408,true,true,ChecksPassed,Fitted,10000,10000,5404.2277730289225,0.024604
dirichlet-heldout,222741,mean2,3.023988742447311,0.0228495626039935,3.0210531748465774,-0.0029355676007334353,0.0024978514154377815,true,true,ChecksPassed,Fitted,10000,10000,5404.2277730289225,0.024604
dirichlet-heldout,230660,mean0,0.9522859595106329,0.006891111207876513,0.9521114613956801,-1.7449811495273693E-4,7.342710759330146E-4,true,true,ChecksPassed,Fitted,10000,10000,6022.785935034784,0.0246212
dirichlet-heldout,230660,mean1,1.9694768223230366,0.014679812158777754,1.9712334152267545,0.0017565929037179906,0.001566357710053069,true,true,ChecksPassed,Fitted,10000,10000,6022.785935034784,0.0246212
dirichlet-heldout,230660,mean2,3.023988742447311,0.0228495626039935,3.0254438139805133,0.0014550715332024566,0.0024404058675691186,true,true,ChecksPassed,Fitted,10000,10000,6022.785935034784,0.0246212
separated-modes,1009,mean,0.0,0.5008991914547277,0.26761905671093533,0.26761905671093533,0.1662488395798818,true,true,ChecksPassed,Fitted,10000,10000,900.3164570022069,0.067832
separated-modes,1009,positive,0.5,0.05,0.5266796528576443,0.026679652857644287,0.01660358909141613,true,true,ChecksPassed,Fitted,10000,10000,900.3164570022069,0.067832
separated-modes,8928,mean,0.0,0.5008991914547277,-0.05683666724229141,-0.05683666724229141,0.16549605464460024,true,true,ChecksPassed,Fitted,10000,10000,913.6214112634744,0.0445019
separated-modes,8928,positive,0.5,0.05,0.49405883916346177,-0.0059411608365382285,0.016562642347105107,true,true,ChecksPassed,Fitted,10000,10000,913.6214112634744,0.0445019
separated-modes,16847,mean,0.0,0.5008991914547277,0.13743586328101784,0.13743586328101784,0.16350276118720697,true,true,ChecksPassed,Fitted,10000,10000,938.6229511264863,0.0442495
separated-modes,16847,positive,0.5,0.05,0.5136067231802605,0.01360672318026046,0.016338348958913375,true,true,ChecksPassed,Fitted,10000,10000,938.6229511264863,0.0442495
separated-modes,24766,mean,0.0,0.5008991914547277,-0.10142440030608578,-0.10142440030608578,0.16261277138515703,true,true,ChecksPassed,Fitted,10000,10000,952.9814596419369,0.0351205
separated-modes,24766,positive,0.5,0.05,0.4905360955444771,-0.00946390445552292,0.016248309815175287,true,true,ChecksPassed,Fitted,10000,10000,952.9814596419369,0.0351205
separated-modes,32685,mean,0.0,0.5008991914547277,0.4305114755195685,0.4305114755195685,0.16588928282113943,false,true,ChecksPassed,Fitted,10000,10000,912.0611839033157,0.0353762
separated-modes,32685,positive,0.5,0.05,0.5431220956353889,0.043122095635388935,0.016540358914684958,false,true,ChecksPassed,Fitted,10000,10000,912.0611839033157,0.0353762
separated-modes,40604,mean,0.0,0.5008991914547277,-0.1664161798444498,-0.1664161798444498,0.1667218434608668,true,true,ChecksPassed,Fitted,10000,10000,913.9953277983576,0.0365075
separated-modes,40604,positive,0.5,0.05,0.48371655859202545,-0.016283441407974553,0.01661991392380131,true,true,ChecksPassed,Fitted,10000,10000,913.9953277983576,0.0365075
separated-modes,48523,mean,0.0,0.5008991914547277,-0.07795185008794753,-0.07795185008794753,0.16497097152704912,true,true,ChecksPassed,Fitted,10000,10000,925.8392520832883,0.0353745
separated-modes,48523,positive,0.5,0.05,0.492162129508958,-0.00783787049104201,0.01644040870566452,true,true,ChecksPassed,Fitted,10000,10000,925.8392520832883,0.0353745
separated-modes,56442,mean,0.0,0.5008991914547277,-0.022250871178418317,-0.022250871178418317,0.16615255153731504,true,true,ChecksPassed,Fitted,10000,10000,910.0993369529957,0.0364863
separated-modes,56442,positive,0.5,0.05,0.4988991993825079,-0.0011008006174921259,0.016575723332798907,true,true,ChecksPassed,Fitted,10000,10000,910.0993369529957,0.0364863
separated-modes,64361,mean,0.0,0.5008991914547277,-0.18641673378805182,-0.18641673378805182,0.16237463296045998,true,true,ChecksPassed,Fitted,10000,10000,950.7387692993512,0.0358745
separated-modes,64361,positive,0.5,0.05,0.4820365449818956,-0.017963455018104424,0.016200027416711824,true,true,ChecksPassed,Fitted,10000,10000,950.7387692993512,0.0358745
separated-modes,72280,mean,0.0,0.5008991914547277,-0.04297123803060399,-0.04297123803060399,0.1613923054994194,true,true,ChecksPassed,Fitted,10000,10000,965.2718205114511,0.0367023
separated-modes,72280,positive,0.5,0.05,0.4957569629673726,-0.004243037032627406,0.016099777301938414,true,true,ChecksPassed,Fitted,10000,10000,965.2718205114511,0.0367023
separated-modes,80199,mean,0.0,0.5008991914547277,-0.1261043749843254,-0.1261043749843254,0.16751047314362338,true,true,ChecksPassed,Fitted,10000,10000,894.0914619564006,0.0362923
separated-modes,80199,positive,0.5,0.05,0.48644085056473396,-0.013559149435266038,0.01673701083434307,true,true,ChecksPassed,Fitted,10000,10000,894.0914619564006,0.0362923
separated-modes,88118,mean,0.0,0.5008991914547277,-0.19383466885140738,-0.19383466885140738,0.17065388610169285,true,true,ChecksPassed,Fitted,10000,10000,859.3389999653281,0.0357283
separated-modes,88118,positive,0.5,0.05,0.4804083986832679,-0.0195916013167321,0.01705227321270832,true,true,ChecksPassed,Fitted,10000,10000,859.3389999653281,0.0357283
separated-modes,96037,mean,0.0,0.5008991914547277,-0.18798085564138614,-0.18798085564138614,0.1663215797853815,true,true,ChecksPassed,Fitted,10000,10000,908.7561548615953,0.0383097
separated-modes,96037,positive,0.5,0.05,0.4812882023070517,-0.018711797692948284,0.01664809979448869,true,true,ChecksPassed,Fitted,10000,10000,908.7561548615953,0.0383097
separated-modes,103956,mean,0.0,0.5008991914547277,0.24390283233124863,0.24390283233124863,0.16516217703300498,true,true,ChecksPassed,Fitted,10000,10000,915.5795688434891,0.0347152
separated-modes,103956,positive,0.5,0.05,0.525149893456029,0.025149893456029027,0.01645823721108371,true,true,ChecksPassed,Fitted,10000,10000,915.5795688434891,0.0347152
separated-modes,111875,mean,0.0,0.5008991914547277,-0.14971533574506937,-0.14971533574506937,0.16476928212864217,true,true,ChecksPassed,Fitted,10000,10000,925.4262634554283,0.0370144
separated-modes,111875,positive,0.5,0.05,0.4849266339005449,-0.015073366099455088,0.016438192467538824,true,true,ChecksPassed,Fitted,10000,10000,925.4262634554283,0.0370144
separated-modes,119794,mean,0.0,0.5008991914547277,-0.0887897032194933,-0.0887897032194933,0.1642221166654441,true,true,ChecksPassed,Fitted,10000,10000,923.156897892324,0.0366216
separated-modes,119794,positive,0.5,0.05,0.49039025230762606,-0.009609747692373938,0.01642431429727919,true,true,ChecksPassed,Fitted,10000,10000,923.156897892324,0.0366216
separated-modes,127713,mean,0.0,0.5008991914547277,-0.023090328392232806,-0.023090328392232806,0.16360801282125423,true,true,ChecksPassed,Fitted,10000,10000,939.4789423896849,0.0364867
separated-modes,127713,positive,0.5,0.05,0.4973277393276012,-0.002672260672398785,0.01630902262175328,true,true,ChecksPassed,Fitted,10000,10000,939.4789423896849,0.0364867
separated-modes,135632,mean,0.0,0.5008991914547277,0.13827152796051093,0.13827152796051093,0.16398518371675364,true,true,ChecksPassed,Fitted,10000,10000,925.9519366523535,0.0388124
separated-modes,135632,positive,0.5,0.05,0.5149419085486279,0.014941908548627869,0.016376672753865732,true,true,ChecksPassed,Fitted,10000,10000,925.9519366523535,0.0388124
separated-modes,143551,mean,0.0,0.5008991914547277,-0.32643626079494664,-0.32643626079494664,0.1647727714339507,false,true,ChecksPassed,Fitted,10000,10000,894.4052764685059,0.0367004
separated-modes,143551,positive,0.5,0.05,0.4691707962434324,-0.030829203756567614,0.016448040379076934,true,true,ChecksPassed,Fitted,10000,10000,894.4052764685059,0.0367004
separated-modes,151470,mean,0.0,0.5008991914547277,-0.15436961119685264,-0.15436961119685264,0.1660888304882665,true,true,ChecksPassed,Fitted,10000,10000,899.2947872989627,0.0349798
separated-modes,151470,positive,0.5,0.05,0.4844834693108571,-0.015516530689142882,0.016560509300984422,true,true,ChecksPassed,Fitted,10000,10000,899.2947872989627,0.0349798
separated-modes,159389,mean,0.0,0.5008991914547277,-0.0036681039493714385,-0.0036681039493714385,0.16417112987421026,true,true,ChecksPassed,Fitted,10000,10000,931.9320620581846,0.0353955
separated-modes,159389,positive,0.5,0.05,0.4995802223281371,-4.197776718629087E-4,0.016377112319294732,true,true,ChecksPassed,Fitted,10000,10000,931.9320620581846,0.0353955
separated-modes,167308,mean,0.0,0.5008991914547277,-0.19300190615004328,-0.19300190615004328,0.16780247122029765,true,true,ChecksPassed,Fitted,10000,10000,898.6826375301765,0.0347756
separated-modes,167308,positive,0.5,0.05,0.481725425898928,-0.018274574101072028,0.016733651049528522,true,true,ChecksPassed,Fitted,10000,10000,898.6826375301765,0.0347756
separated-modes,175227,mean,0.0,0.5008991914547277,-0.1287708322125833,-0.1287708322125833,0.16996263985475046,true,true,ChecksPassed,Fitted,10000,10000,870.5204212448581,0.0352121
separated-modes,175227,positive,0.5,0.05,0.48596368897921477,-0.01403631102078523,0.016939506253056007,true,true,ChecksPassed,Fitted,10000,10000,870.5204212448581,0.0352121
separated-modes,183146,mean,0.0,0.5008991914547277,-0.14162245783583297,-0.14162245783583297,0.16782415664772135,true,true,ChecksPassed,Fitted,10000,10000,886.607891981639,0.0360379
separated-modes,183146,positive,0.5,0.05,0.4859405405451896,-0.014059459454810408,0.01676106825844965,true,true,ChecksPassed,Fitted,10000,10000,886.607891981639,0.0360379
separated-modes,191065,mean,0.0,0.5008991914547277,0.06231273818574121,0.06231273818574121,0.16730660584407683,true,true,ChecksPassed,Fitted,10000,10000,894.2055299587732,0.0404643
separated-modes,191065,positive,0.5,0.05,0.506594820947304,0.006594820947304014,0.016697011671798448,true,true,ChecksPassed,Fitted,10000,10000,894.2055299587732,0.0404643
separated-modes,198984,mean,0.0,0.5008991914547277,0.24928975746655346,0.24928975746655346,0.16516159791882015,true,true,ChecksPassed,Fitted,10000,10000,924.2703753421602,0.0357356
separated-modes,198984,positive,0.5,0.05,0.5248998026965901,0.02489980269659009,0.01649320466879091,true,true,ChecksPassed,Fitted,10000,10000,924.2703753421602,0.0357356
separated-modes,206903,mean,0.0,0.5008991914547277,-0.07247676114259546,-0.07247676114259546,0.16356045935145605,true,true,ChecksPassed,Fitted,10000,10000,936.7743915768747,0.0348042
separated-modes,206903,positive,0.5,0.05,0.4932308809712647,-0.006769119028735282,0.016331527254343715,true,true,ChecksPassed,Fitted,10000,10000,936.7743915768747,0.0348042
separated-modes,214822,mean,0.0,0.5008991914547277,-0.0014106670548214174,-0.0014106670548214174,0.16949298883393635,true,true,ChecksPassed,Fitted,10000,10000,874.6582478647397,0.0360379
