jvm,case,method,draws,seed,status,mean,ess,rhat,attempts,pilotTransitions,visits,pilotSeconds,fitSeconds,totalSeconds,reference
2,hierarchical,prior,34824,273287962,Completed,0.9777797389227857,2975.955018446044,NaN,34824,0,348240,0.0,0.0,0.07156380000000001,0.9803921568627451
2,hierarchical,single,29384,273287962,Fitted,0.9804259389382146,15538.877194091723,1.2619918436924626,29384,3000,235072,0.0053121,1.325E-4,0.0729055,0.9803921568627451
2,hierarchical,mixture,11160,273287962,Fitted,0.9827722102793163,5414.973814710902,1.1032549754354413,11160,3000,111600,0.0056626,0.0190044,0.054360200000000004,0.9803921568627451
2,hierarchical,mh,46584,273287962,Completed,0.9815257449020709,NaN,1.0074817816899257,46584,1000,0,0.0,0.0,0.09239220000000001,0.9803921568627451
2,hierarchical,legacy,87804,273287962,Completed,0.9776251940073314,NaN,NaN,87804,0,0,0.0,0.0,0.1665648,0.9803921568627451
2,hierarchical,prior,69696,273287962,Completed,0.9787813486584938,5932.789319331266,NaN,69696,0,557568,0.0,0.0,0.1391532,0.9803921568627451
2,hierarchical,single,61512,273287962,Fitted,0.980407164019055,33013.475254315876,1.163898221737133,61512,3000,492096,0.0057129,1.6600000000000002E-4,0.1444361,0.9803921568627451
2,hierarchical,mixture,41528,273287962,IterationLimit,NaN,NaN,1.0665383144939196,0,3000,0,0.005008100000000001,0.0735393,0.0786163,0.9803921568627451
2,hierarchical,mh,94824,273287962,Completed,0.9808855152263254,NaN,1.0038978673965544,94824,1000,0,0.0,0.0,0.20585710000000002,0.9803921568627451
2,mixture,legacy,102232,273287962,Completed,0.6332052678075551,NaN,NaN,102232,0,0,0.0,0.0,0.08461060000000001,0.631578947368421
2,mixture,prior,47620,273287962,Completed,0.6349136508635905,31297.110993310616,NaN,47620,0,333340,0.0,0.0,0.080969,0.631578947368421
2,mixture,single,35864,273287962,Fitted,0.6317272357576232,6164.595596085317,1.0052448060265256,35864,3000,251048,0.005152,1.4140000000000002E-4,0.0759765,0.631578947368421
2,mixture,mixture,29192,273287962,Fitted,0.6342085300496489,27301.314095373225,1.000824919453022,29192,3000,175152,0.0052604,0.004028,0.074283,0.631578947368421
2,mixture,mh,42832,273287962,Completed,0.6340353007097497,NaN,1.0001147406281794,42832,1000,0,0.0,0.0,0.08494420000000001,0.631578947368421
2,mixture,legacy,204768,273287962,Completed,0.6330078260267997,NaN,NaN,204768,0,0,0.0,0.0,0.1681862,0.631578947368421
2,mixture,prior,95408,273287962,Completed,0.6329651937410685,62656.27543693901,NaN,95408,0,572448,0.0,0.0,0.149396,0.631578947368421
2,mixture,single,74768,273287962,Fitted,0.6324965479514841,12827.734711734383,1.0052448060265256,74768,3000,448608,0.0053309,1.7020000000000002E-4,0.150457,0.631578947368421
2,mixture,mixture,62548,273287962,Fitted,0.6323805940035143,58484.39727422141,1.000824919453022,62548,3000,375288,0.0054971,0.0035496000000000004,0.14644790000000002,0.631578947368421
2,mixture,mh,86692,273287962,Completed,0.6326189267752503,NaN,1.000089335259681,86692,1000,0,0.0,0.0,0.1774028,0.631578947368421
2,concentrated,prior,44100,288773825,Completed,2.972490343532869,70.01875244491733,NaN,44100,0,220500,0.0,0.0,0.07003150000000001,2.9702970297029703
2,concentrated,single,35104,288773825,Fitted,2.970985840759802,15072.01391605799,2.968279930700616,35104,3000,210624,0.0054999,1.4120000000000002E-4,0.0724747,2.9702970297029703
2,concentrated,mixture,23168,288773825,Fitted,2.970877389639828,15281.415872588123,2.3317322023904854,23168,3000,139008,0.0054613000000000005,0.0113586,0.0680618,2.9702970297029703
2,concentrated,mh,45744,288773825,Completed,2.9537379831187494,NaN,1.0895035404915954,45744,1000,0,0.0,0.0,0.0848165,2.9702970297029703
2,concentrated,legacy,58112,288773825,Completed,2.9716525135741048,NaN,NaN,58112,0,0,0.0,0.0,0.0839322,2.9702970297029703
2,concentrated,prior,88416,288773825,Completed,2.9649592506208906,136.57808598783797,NaN,88416,0,530496,0.0,0.0,0.15305960000000002,2.9702970297029703
2,concentrated,single,73080,288773825,Fitted,2.9709077373843202,31216.26503303702,2.968279930700616,73080,3000,365400,0.004837200000000001,1.4340000000000002E-4,0.1445726,2.9702970297029703
2,concentrated,mixture,63196,288773825,Fitted,2.9707279807366085,41771.02576621313,2.3317322023904854,63196,3000,315980,0.0052883,0.011589200000000001,0.154509,2.9702970297029703
2,concentrated,mh,92732,288773825,Completed,2.9614093089068496,NaN,1.1100117514471914,92732,1000,0,0.0,0.0,0.18307340000000003,2.9702970297029703
2,concentrated,legacy,116584,288773825,Completed,2.9689129386218878,NaN,NaN,116584,0,0,0.0,0.0,0.1767556,2.9702970297029703
2,hierarchical,prior,34824,288773825,Completed,0.979630305459046,2958.565225903851,NaN,34824,0,278592,0.0,0.0,0.06832780000000001,0.9803921568627451
2,hierarchical,single,29384,288773825,Fitted,0.9803734344636098,13802.199139049733,1.295084740336872,29384,3000,293840,0.0053173000000000005,1.3790000000000002E-4,0.0736048,0.9803921568627451
2,hierarchical,mixture,11160,288773825,IterationLimit,NaN,NaN,1.4830964480908997,0,3000,0,0.0050206,0.0676883,0.07278380000000001,0.9803921568627451
2,hierarchical,mh,46584,288773825,Completed,0.9795495471881258,NaN,1.0101183356272245,46584,1000,0,0.0,0.0,0.09045,0.9803921568627451
2,hierarchical,legacy,43792,288773825,Completed,0.9796119532298734,NaN,NaN,43792,0,0,0.0,0.0,0.0975729,0.9803921568627451
2,hierarchical,prior,69696,288773825,Completed,0.980200601839043,5860.643449281404,NaN,69696,0,557568,0.0,0.0,0.1338279,0.9803921568627451
2,hierarchical,single,61512,288773825,Fitted,0.9812300142078454,31975.106817918255,1.2874304983833025,61512,3000,553608,0.005393,1.306E-4,0.1431055,0.9803921568627451
2,hierarchical,mixture,41528,288773825,Fitted,0.979945375536013,19594.35717610628,1.2825663151408402,41528,3000,332224,0.0050596,0.059278300000000006,0.170041,0.9803921568627451
2,hierarchical,mh,94824,288773825,Completed,0.9824684825294048,NaN,1.0067631424604624,94824,1000,0,0.0,0.0,0.19404990000000003,0.9803921568627451
2,hierarchical,legacy,87804,288773825,Completed,0.9801948558609159,NaN,NaN,87804,0,0,0.0,0.0,0.160473,0.9803921568627451
2,mixture,prior,47620,288773825,Completed,0.6281652598846287,31215.16094257626,NaN,47620,0,333340,0.0,0.0,0.07780540000000001,0.631578947368421
2,mixture,single,35864,288773825,Fitted,0.6243943122166915,6213.32511079531,1.0058510696591771,35864,3000,215184,0.006438800000000001,1.396E-4,0.0766576,0.631578947368421
2,mixture,mixture,29192,288773825,Fitted,0.6323346075124333,27472.531972633857,1.003525859083602,29192,3000,145960,0.005704900000000001,0.0040022,0.07378720000000001,0.631578947368421
2,mixture,mh,42832,288773825,Completed,0.6305799402316026,NaN,1.0003879615384108,42832,1000,0,0.0,0.0,0.08443160000000001,0.631578947368421
2,mixture,legacy,102232,288773825,Completed,0.628917816926459,NaN,NaN,102232,0,0,0.0,0.0,0.0670312,0.631578947368421
2,mixture,prior,95408,288773825,Completed,0.6288109967162533,62555.75674765464,NaN,95408,0,477040,0.0,0.0,0.144521,0.631578947368421
2,mixture,single,74768,288773825,Fitted,0.6308294495448603,12927.835806420564,1.0058510696591771,74768,3000,373840,0.0049936,1.317E-4,0.1450509,0.631578947368421
2,mixture,mixture,62548,288773825,Fitted,0.6321797042874125,58866.375800352,1.003525859083602,62548,3000,312740,0.0054307,0.0034077,0.1397766,0.631578947368421
2,mixture,mh,86692,288773825,Completed,0.6309348036727725,NaN,1.00016855645146,86692,1000,0,0.0,0.0,0.1829219,0.631578947368421
2,mixture,legacy,204768,288773825,Completed,0.6304168726314701,NaN,NaN,204768,0,0,0.0,0.0,0.13257940000000001,0.631578947368421
2,concentrated,single,35104,304259688,Fitted,2.9696983600935756,13608.292933486639,1.932277825402883,35104,3000,175520,0.0048744,1.4670000000000002E-4,0.0704565,2.9702970297029703
2,concentrated,mixture,23168,304259688,Fitted,2.9703142733348433,13021.114777313165,2.6459592794596114,23168,3000,115840,0.005081700000000001,0.0068731,0.0622588,2.9702970297029703
