"vectorProfile","kind","group","detail","site","count","value"
"vectorProfile","allocation","other","[S","java.lang.Throwable.fillInStackTrace:-1","1","1432"
"vectorProfile","allocation","other","com.cra.figaro.example.VectorSamplingPerformance$$$Lambda$4969","java.lang.invoke.DirectMethodHandle.allocateInstance:520","14","153431792"
"vectorProfile","allocation","other","java.lang.Double","java.lang.Double.valueOf:632","120","690153440"
"vectorProfile","allocation","other","java.lang.Long","java.lang.Long.valueOf:1211","27","1392304"
"vectorProfile","allocation","other","java.lang.String","java.lang.StringLatin1.replace:322","1","1268488"
"vectorProfile","allocation","other","java.lang.String","java.lang.StringLatin1.toLowerCase:464","4","142960"
"vectorProfile","allocation","other","java.lang.reflect.Field","java.lang.reflect.Field.copy:155","5","120888"
"vectorProfile","allocation","other","java.util.Arrays$ArrayItr","java.util.Arrays$ArrayList.iterator:4224","4","78688"
"vectorProfile","allocation","other","java.util.Arrays$ArrayList","java.util.Arrays.asList:4122","10","264600"
"vectorProfile","allocation","other","java.util.Collections$UnmodifiableCollection$1","java.util.Collections$UnmodifiableCollection.iterator:1050","5","102048"
"vectorProfile","allocation","other","java.util.Collections$UnmodifiableMap","java.util.Collections.unmodifiableMap:1479","3","172536"
"vectorProfile","allocation","other","java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry","java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1.next:1711","11","388496"
"vectorProfile","allocation","other","java.util.Collections$UnmodifiableRandomAccessList","java.util.Collections.unmodifiableList:1324","1","19344"
"vectorProfile","allocation","other","java.util.HashMap","java.util.HashSet.<init>:107","2","34309256"
"vectorProfile","allocation","other","java.util.HashMap$KeyIterator","java.util.HashMap$KeySet.iterator:983","1","600"
"vectorProfile","allocation","other","java.util.LinkedHashMap$Entry","java.util.LinkedHashMap.newNode:257","4","240600"
"vectorProfile","allocation","other","java.util.TreeMap","javax.management.openmbean.CompositeDataSupport.makeMap:136","22","721064"
"vectorProfile","allocation","other","java.util.TreeMap$Entry","java.util.TreeMap.addEntry:765","45","1521640"
"vectorProfile","allocation","other","java.util.TreeMap$Entry","java.util.TreeMap.addEntryToEmptyMap:777","15","353960"
"vectorProfile","allocation","other","java.util.TreeMap$KeyIterator","java.util.TreeMap.keyIterator:1385","58","1428560"
"vectorProfile","allocation","other","java.util.TreeMap$KeySet","java.util.TreeMap.navigableKeySet:1102","4","101600"
"vectorProfile","allocation","other","java.util.concurrent.CopyOnWriteArrayList$COWIterator","java.util.concurrent.CopyOnWriteArrayList.iterator:1024","6","1800"
"vectorProfile","allocation","other","java.util.concurrent.LinkedBlockingQueue$Itr","java.util.concurrent.LinkedBlockingQueue.iterator:759","5","69896"
"vectorProfile","allocation","other","java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionNode","java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await:1610","18","1597314496"
"vectorProfile","allocation","other","java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject","java.util.concurrent.locks.ReentrantLock$Sync.newCondition:190","2","83616272"
"vectorProfile","allocation","other","java.util.concurrent.locks.AbstractQueuedSynchronizer$ExclusiveNode","java.util.concurrent.locks.AbstractQueuedSynchronizer.tryInitializeHead:567","1","28613000"
"vectorProfile","allocation","other","java.util.stream.ReferencePipeline$Head","java.util.stream.StreamSupport.stream:69","3","12475304"
"vectorProfile","allocation","other","java.util.zip.ZipFile$ZipFileInputStream","java.util.zip.ZipFile.getInputStream:369","1","795504"
"vectorProfile","allocation","other","javax.management.Notification","com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification:101","35","1177696"
"vectorProfile","allocation","other","javax.management.openmbean.CompositeDataSupport","sun.management.MappedMXBeanType$MapMXBeanType.toOpenTypeData:550","12","174384"
