"jvm","diagnosticHotspot","shape","values","round","stage","iterations","seconds","allocatedBytes","fingerprint"
"0","row","continuous","1024","5","scoresAndScatter","62","0.0022203","2486048","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","5","radixSort","62","9.525E-4","574408","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","5","mergeSort","62","9.22199E-4","509928","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","5","summary","62","0.022005699","43527256","e4df3ab23d312810863d44b0731fdd76652813ec439a99fe147d7da66943e9a9"
"0","row","continuous","1024","6","mergeSort","62","9.41101E-4","509928","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","6","radixSort","62","9.608E-4","574408","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","6","scoresAndScatter","62","0.002211101","2485992","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","6","mergeRank","62","0.0031956","3510232","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","6","radixRank","62","0.003309599","3574712","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","6","summary","62","0.0220461","43516600","e4df3ab23d312810863d44b0731fdd76652813ec439a99fe147d7da66943e9a9"
"0","row","ties","1024","-5","mergeSort","62","0.0011759","509928","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","-5","summary","62","0.0237488","43524840","bd7fcdecb337ecc40e9dbb643929013983e5ac2fb3a584cfc55c27c39340ba45"
"0","row","ties","1024","-5","radixRank","62","0.002416","3578680","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-5","mergeRank","62","0.002574599","3514200","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-5","scoresAndScatter","62","0.001094301","2489960","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
"0","row","ties","1024","-5","radixSort","62","0.0012521","574408","928ee404e4faf8ffc9c617faa311d3c82fec882f084d25e5916715822c81efc5"
"0","row","ties","1024","-4","scoresAndScatter","62","0.0011186","2489960","3463e2b25d1eb696aa654781db2d42a68aba8a1df40b468b51b97afee6d2d2bf"
