workload,workers,chains,drawsPerChain,round,wallMs,cpuMs,sumChainMs,meanEss,meanEssPerSecond,rHat,absoluteError
likelihood,4,4,20000,3,125.197,156.25,95.51029999999999,37791.18089242,301853.7256677077,1.0000755627988414,0.003029040413603745
likelihood,2,4,20000,3,160.947,218.75,107.673,37791.18089242,234805.12772788559,1.0000755627988414,0.003029040413603745
likelihood,1,4,20000,3,208.0889,218.75,82.58890000000001,37791.18089242,181610.74854266614,1.0000755627988414,0.003029040413603745
likelihood,1,4,20000,4,189.62689999999998,203.125,84.2311,37610.45138892965,198339.21974640546,1.0001067737808835,0.004597326984641992
likelihood,2,4,20000,4,162.8998,234.375,117.14179999999999,37610.45138892965,230880.89358568672,1.0001067737808835,0.004597326984641992
likelihood,4,4,20000,4,142.2182,250.0,124.863,37610.45138892965,264455.9654736852,1.0001067737808835,0.004597326984641992
correlated,1,4,20000,0,211.52689999999998,250.0,133.2362,35.96798383765402,170.03976249665655,1.1161941315049946,0.11281001908556904
correlated,2,4,20000,0,147.0983,203.125,137.6081,35.96798383765402,244.5166520459721,1.1161941315049946,0.11281001908556904
correlated,4,4,20000,0,114.9061,265.625,148.6235,35.96798383765402,313.020665026957,1.1161941315049946,0.11281001908556904
correlated,4,4,20000,1,116.6885,218.75,161.8119,14.679465272003997,125.80044539096824,1.2131603024369786,0.18235041212938585
correlated,2,4,20000,1,147.9038,234.375,139.3577,14.679465272003997,99.25008871985708,1.2131603024369786,0.18235041212938585
correlated,1,4,20000,1,211.57139999999998,203.125,133.7206,14.679465272003997,69.38303226241352,1.2131603024369786,0.18235041212938585
correlated,1,4,20000,2,209.04809999999998,234.375,131.81480000000002,44.203283239475624,211.45029894782888,1.0902191332338236,0.05526036007566036
correlated,2,4,20000,2,145.4283,203.125,138.1483,44.203283239475624,303.9524166855806,1.0902191332338236,0.05526036007566036
correlated,4,4,20000,2,116.06039999999999,234.375,153.59699999999998,44.203283239475624,380.8644743553842,1.0902191332338236,0.05526036007566036
correlated,4,4,20000,3,142.3817,312.5,194.57000000000002,9.927464530456312,69.72430115988439,1.3455756784875406,0.12722994742093852
correlated,2,4,20000,3,192.86030000000002,312.5,216.40900000000002,9.927464530456312,51.474899346606385,1.3455756784875406,0.12722994742093852
correlated,1,4,20000,3,248.52179999999998,250.0,157.96280000000002,9.927464530456312,39.94605113296424,1.3455756784875406,0.12722994742093852
correlated,1,4,20000,4,214.65609999999998,203.125,135.5442,23.455479282400688,109.27003370694189,1.1104519274277418,0.13625390776397422
correlated,2,4,20000,4,183.978,281.25,211.24179999999998,23.455479282400688,127.4906743328044,1.1104519274277418,0.13625390776397422
correlated,4,4,20000,4,133.6248,328.125,210.1269,23.455479282400688,175.53238083350314,1.1104519274277418,0.13625390776397422
wide,1,4,20000,0,203.47660000000002,203.125,100.46170000000001,1272.2646879676001,6252.633904673068,1.0040745636312343,0.14568534973549813
wide,2,4,20000,0,160.8867,328.125,113.88150000000002,1192.267338846168,7410.602236519042,1.0031416542985572,0.10191838085075222
wide,4,4,20000,0,142.0278,281.25,156.11919999999998,1301.740546044636,9165.39259246877,1.0021881862173005,0.04942677627420711
wide,4,4,20000,1,145.2107,953.125,153.1876,1283.4651177258615,8838.640112098225,1.0052714943280612,0.01703589001114114
wide,2,4,20000,1,157.51399999999998,546.875,104.92730000000002,1102.4780438429614,6999.238441300211,1.004972003337789,0.09108225433872263
wide,1,4,20000,1,201.4384,203.125,96.4846,1266.9408008236867,6289.470134908174,1.0036768228292874,0.017004597450627656
wide,1,4,20000,2,204.8057,203.125,99.2325,1259.1786491810142,6148.16213211358,1.002621502633302,0.006970001585205554
wide,2,4,20000,2,159.8867,203.125,111.6258,1266.5140594459208,7921.32215778999,1.00328675539338,0.049709936093720763
wide,4,4,20000,2,151.5774,312.5,176.552,1284.4636094083812,8473.978372820626,1.0029690687358113,0.030141544651784535
wide,4,4,20000,3,149.4724,312.5,167.92960000000002,1233.060141561166,8249.416892758569,1.0035393699486777,0.201966723626132
wide,2,4,20000,3,164.6529,234.375,122.8397,1160.7899148801066,7049.920863101146,1.0037004662533562,0.03471212293935455
wide,1,4,20000,3,210.2541,203.125,104.6935,1157.228161330393,5503.950511930056,1.002945157502656,0.14862600711727403
wide,1,4,20000,4,206.1719,218.75,98.6941,1232.9531115351301,5980.218989761118,1.002112208066239,0.15652053097440122
wide,2,4,20000,4,159.9762,218.75,106.97899999999998,1269.0714410767118,7932.876522112112,1.0021629592251906,0.010292192857868088
wide,4,4,20000,4,149.018,281.25,168.5584,1307.8322023937951,8776.33710285868,1.0028225051019155,0.055441026449434494
