case,seed,method,status,truth,estimate,pilotCalls,productionCalls,componentCalls,seconds
one_tail,95023,supplied,Completed,0.0013498980316300946,0.0013299412335637019,0,12000,0,0.0087111
one_tail,95023,prior,Completed,0.0013498980316300946,0.0016666666666666668,0,12000,0,0.0033142
one_tail,95023,single,Fitted,0.0013498980316300946,0.0013681693677690394,3000,9000,0,0.0056189
one_tail,95023,weighted,MixtureFitFailure,0.0013498980316300946,NaN,1000,0,200,8.314E-4
one_tail,95024,prior,Completed,0.0013498980316300946,0.0012500000000000013,0,12000,0,0.003603
one_tail,95024,single,Fitted,0.0013498980316300946,0.001349346680235897,3000,9000,0,0.0053038
one_tail,95024,weighted,Fitted,0.0013498980316300946,0.0013562095340358172,3000,9000,9980,0.0095953
one_tail,95024,supplied,Completed,0.0013498980316300946,0.0013803443950705038,0,12000,0,0.0053823
one_tail,95025,single,Fitted,0.0013498980316300946,0.0013396182562898681,3000,9000,0,0.0053136
one_tail,95025,weighted,Fitted,0.0013498980316300946,0.001338383530897472,3000,9000,10504,0.0095451
one_tail,95025,supplied,Completed,0.0013498980316300946,0.0013504217902179693,0,12000,0,0.0054374
one_tail,95025,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.0038158
one_tail,95026,weighted,Fitted,0.0013498980316300946,0.001374297749891493,3000,9000,10794,0.0096708
one_tail,95026,supplied,Completed,0.0013498980316300946,0.0013654803213508347,0,12000,0,0.0057337
one_tail,95026,prior,Completed,0.0013498980316300946,0.0011666666666666676,0,12000,0,0.0041743
one_tail,95026,single,Fitted,0.0013498980316300946,0.0013893769255860187,3000,9000,0,0.0059414
one_tail,95027,supplied,Completed,0.0013498980316300946,0.0013648682405778241,0,12000,0,0.0057474
one_tail,95027,prior,Completed,0.0013498980316300946,0.0013333333333333346,0,12000,0,0.0039849
one_tail,95027,single,Fitted,0.0013498980316300946,0.001322388068728718,3000,9000,0,0.0064822
one_tail,95027,weighted,Fitted,0.0013498980316300946,0.0013422179094152613,3000,9000,11324,0.009482
one_tail,95028,prior,Completed,0.0013498980316300946,0.0013333333333333346,0,12000,0,0.0042012
