target,seed,budget,method,coordinate,mean,error,mcse,ess,status,maxWeight,k,covered95,accurate,pilotCalls,pilotDraws,fallback,draws,evaluations,seconds
gamma-heldout,1000879016,20000,defensive,1,1.8537147348494423,-8.356079443112563E-4,0.0020891745396343867,5782.680924686275,ChecksPassed,2.7832098670188776E-4,-0.9366197736003816,true,true,10000,532,false,10000,20000,0.0107379
gamma-heldout,1000886935,20000,defensive,0,2.1328689636950817,-0.001578384227554519,0.0020990600024179233,5977.01485308045,ChecksPassed,2.660244775286867E-4,-0.9574449449498167,true,true,10000,544,false,10000,20000,0.0103411
gamma-heldout,1000886935,20000,defensive,1,1.8539811811983866,-5.691615953669071E-4,0.0020747223565616034,5977.01485308045,ChecksPassed,2.660244775286867E-4,-0.9574449449498167,true,true,10000,544,false,10000,20000,0.0103411
gamma-heldout,1000894854,20000,defensive,0,2.134511616694382,6.426877174581236E-5,0.0021096923951286345,6118.945947300626,ChecksPassed,3.982209931433272E-4,0.06684239604036547,true,true,10000,542,false,10000,20000,0.0108985
gamma-heldout,1000894854,20000,defensive,1,1.8543974118695632,-1.5293092419033094E-4,0.0022046769347112026,6118.945947300626,ChecksPassed,3.982209931433272E-4,0.06684239604036547,true,true,10000,542,false,10000,20000,0.0108985
gamma-heldout,1000902773,20000,defensive,0,2.1356758047589564,0.0012284568363201132,0.0021763196228819994,5580.831401496822,ChecksPassed,2.9213161777747663E-4,-0.989183442279555,true,true,10000,541,false,10000,20000,0.0146429
gamma-heldout,1000902773,20000,defensive,1,1.8546200012444858,6.96584507322573E-5,0.0020841727749882004,5580.831401496822,ChecksPassed,2.9213161777747663E-4,-0.989183442279555,true,true,10000,541,false,10000,20000,0.0146429
gamma-heldout,1000910692,20000,defensive,0,2.1342616296418595,-1.8571828077673658E-4,0.0021158219540347314,6539.654213943095,ChecksPassed,2.3355975710704076E-4,-0.9155697265201935,true,true,10000,549,false,10000,20000,0.0120986
gamma-heldout,1000910692,20000,defensive,1,1.855860559862917,0.0013102170691634552,0.00212916892334446,6539.654213943095,ChecksPassed,2.3355975710704076E-4,-0.9155697265201935,true,true,10000,549,false,10000,20000,0.0120986
gamma-heldout,1000918611,20000,defensive,0,2.138750481678884,0.004303133756247579,0.0021260526773703454,6468.104679084635,ChecksPassed,2.403893150982963E-4,-0.8869378853064278,false,true,10000,539,false,10000,20000,0.0111575
gamma-heldout,1000918611,20000,defensive,1,1.8504845837747177,-0.004065759019035831,0.002071898485622231,6468.104679084635,ChecksPassed,2.403893150982963E-4,-0.8869378853064278,false,true,10000,539,false,10000,20000,0.0111575
gamma-heldout,1000926530,20000,defensive,0,2.1357294253486656,0.001282077426029371,0.002224226553350713,6344.965685929251,ChecksPassed,2.420935425119129E-4,-0.8984504831254749,true,true,10000,549,false,10000,20000,0.0111471
