blocked,workload,strategy,round,seed,method,query,truth,estimate,error,fullWidth,covered,criteriaMet,reason,drawsPerChain,checks,apiSeconds,rHat,bulkEss,meanEss,meanEssPerSecond,acceptance
blocked,normal,block,11,149112,fixed,y,0.0,0.011099403881316028,0.011099403881316028,0.05540468282596865,true,true,FixedBudget,12000,1,0.1313838,1.0004760269046549,6425.091064841976,6415.7899195597865,48832.42773888247,0.3624791666666667
blocked,normal,block,11,149112,adaptive,x,0.0,-0.034479322433594584,-0.034479322433594584,0.130497331758849,true,true,PrecisionReached,2000,1,0.0233908,1.0033268050538586,1209.5934855916817,1204.5384354568457,51496.24790331437,0.36224999999999996
blocked,normal,block,11,149112,adaptive,y,0.0,0.04411524762003605,0.04411524762003605,0.14073716577370934,true,true,PrecisionReached,2000,1,0.0233908,1.003158434457741,1078.6144464539416,1075.3448273929314,45972.98200116847,0.36224999999999996
blocked,correlated,joint-prior,12,157031,fixed,x,0.0,0.00858136076362366,0.00858136076362366,0.05071571583790472,true,true,FixedBudget,12000,1,0.1179734,1.0003776161019535,3617.53960794599,3612.9332520928833,30624.982005205267,0.1350625
blocked,correlated,joint-prior,12,157031,fixed,y,0.0,0.008003233516842512,0.008003233516842512,0.05080239153303417,true,true,FixedBudget,12000,1,0.1179734,1.0003773431059542,3593.8124506112163,3593.866882203799,30463.366167320757,0.1350625
blocked,correlated,joint-prior,12,157031,adaptive,x,0.0,4.551420850317789E-4,4.551420850317789E-4,0.09165771571183248,true,true,PrecisionReached,4000,2,0.047409,1.0034593111004957,1151.945142270366,1141.8596923018245,24085.293769154054,0.13356250000000003
blocked,correlated,joint-prior,12,157031,adaptive,y,0.0,0.0017704580550081395,0.0017704580550081395,0.09148695046781347,true,true,PrecisionReached,4000,2,0.047409,1.0026170280718258,1134.615048321162,1122.4748596815898,23676.408692054036,0.13356250000000003
blocked,correlated,diagonal,12,157031,fixed,x,0.0,-0.0016306212345943427,-0.0016306212345943427,0.09007603537028692,true,true,FixedBudget,12000,1,0.1203634,1.0014733202238693,989.7064923059213,988.6396627620244,8213.789763017865,0.08337499999999999
blocked,correlated,diagonal,12,157031,fixed,y,0.0,-0.0055521614791281815,-0.0055521614791281815,0.08933438199469745,true,true,FixedBudget,12000,1,0.1203634,1.0010418213642562,986.1419279559384,983.8885960900298,8174.317077201456,0.08337499999999999
blocked,correlated,diagonal,12,157031,adaptive,x,0.0,-0.016276868686000756,-0.016276868686000756,0.09557877845880838,true,true,PrecisionReached,10000,5,0.2314571,1.0053215330998453,816.6602330551844,816.5301677243947,3527.7818987812198,0.08209999999999999
blocked,correlated,diagonal,12,157031,adaptive,y,0.0,-0.01991930724708746,-0.01991930724708746,0.09573113596631526,true,true,PrecisionReached,10000,5,0.2314571,1.0038432718078996,808.4254445981604,806.1815565044,3483.071189021205,0.08209999999999999
blocked,correlated,block,12,157031,fixed,x,0.0,0.00614247332691209,0.00614247332691209,0.03879892080622,true,true,FixedBudget,12000,1,0.1320869,1.0010117962921232,6648.561600699752,6642.789991523048,50291.0583223851,0.35610416666666667
blocked,correlated,block,12,157031,fixed,y,0.0,0.007566899360742674,0.007566899360742674,0.03826748526412605,true,true,FixedBudget,12000,1,0.1320869,1.000918605104542,6598.857381205266,6597.896704162838,49951.18141286409,0.35610416666666667
blocked,correlated,block,12,157031,adaptive,x,0.0,0.04759877732712309,0.04759877732712309,0.08895974901860874,false,true,PrecisionReached,2000,1,0.0238441,1.0028948429868094,1203.5112577770537,1199.7451878731474,50316.22866340719,0.34387500000000004
blocked,correlated,block,12,157031,adaptive,y,0.0,0.047555920270124674,0.047555920270124674,0.08904973081929764,false,true,PrecisionReached,2000,1,0.0238441,1.0037955344340808,1172.3945151902033,1168.737840545745,49015.80854575115,0.34387500000000004
blocked,multimodal,default,12,157031,fixed,positive,0.5,0.5089791666666666,0.00897916666666665,0.024597441406510552,true,true,FixedBudget,12000,1,0.1057691,1.0002739786032506,7113.532825731736,7113.5328257317315,67255.3025952923,0.274125
blocked,multimodal,default,12,157031,fixed,x,0.0,0.06993901154592397,0.06993901154592397,0.20185460317565151,true,true,FixedBudget,12000,1,0.1057691,1.0002017183565026,8136.593527325415,7111.129198505095,67232.57736432564,0.274125
blocked,multimodal,default,12,157031,adaptive,positive,0.5,0.5415,0.04149999999999998,0.056551616325176156,false,true,PrecisionReached,2000,1,0.0182953,1.004116309354554,1241.0310817239265,1241.0310817239251,67833.32777948026,0.2675
