"vectorPerformance","fixture","method","workers","round","seed","draws","warmUp","status","wallSeconds","constructionSeconds","samplingSeconds","diagnosticsSeconds","cpuSeconds","gcSeconds","evaluations","alignedDraws","minMeanEss","minBulkEss","minTailEss","maxRHat","maxMeanError","warningCoordinates","fingerprint","error"
"vectorPerformance","correlated32","Quantile","2","-2","404175","4000","500","Complete","1.1622885","2.29E-5","0.8847799","0.2774857","2.578125","0.021","3282856","4000","23.797668269094697","23.991783455481954","49.25430937145106","1.1516283632440742","0.3728865535403717","32","a76e28f6e88c6be3891bdc833beb8d8d0a1740b95f0935a4806e8ab65d3c899c",""
"vectorPerformance","correlated32","Quantile","2","-1","412094","4000","500","Complete","1.1559992","2.09E-5","0.8766183","0.27936","2.578125","0.021","3230583","4000","31.726513907349148","31.532168002260388","97.16989966673968","1.0798839490509835","0.08306741567350584","32","f9ed8df14134bddcfbb2d40aa6e479cfbaad40e1882750767724d2bc52df3b34",""
"vectorPerformance","correlated32","Quantile","2","0","420013","4000","500","Complete","1.1602615","2.21E-5","0.8884804","0.271759","2.3125","0.019","3251733","4000","36.23737925347603","37.074760300245536","94.41153342442881","1.094481746270784","0.006936160462634622","32","70f5117f96cd02d2870b347963ec61f489004b4e752f979286b6bbb78357a72b",""
"vectorPerformance","correlated32","Quantile","2","1","427932","4000","500","Complete","1.2335506","2.06E-5","0.9512853","0.2822447","2.4375","0.022","3236479","4000","31.801672449893193","32.058114379350506","84.74388663935426","1.0852433257313874","0.03363458703623934","32","9361e774d845e114d77fdb68cfdc974ca4f240b9ee801485b53bd51fdc75e4ee",""
"vectorPerformance","correlated32","Quantile","2","2","435851","4000","500","Complete","1.1439937","3.26E-5","0.8668794","0.2770817","2.25","0.02","3213584","4000","18.827593772089372","19.418977153927276","144.36214774069362","1.1856715933721973","0.22462708158086309","32","be8072aea54a06faab2c2090774614aa1ad4df6564d26d325be8e1037fc3c851",""
"vectorPerformance","correlated32","Quantile","2","3","443770","4000","500","Complete","1.1740639","2.21E-5","0.8866698","0.287372","2.3125","0.02","3292746","4000","8.551688513959126","8.66542172384507","23.37880092498311","1.3883316083476982","0.08359316129464744","32","3ae74ba297dfc21cabfcf0707b44b409c98d3bd3f9dfc2b6af98aa1fde2b375a",""
"vectorPerformance","correlated32","Quantile","2","4","451689","4000","500","Complete","1.1379542","2.11E-5","0.8666783","0.2712548","2.609375","0.02","3210555","4000","32.00943946980557","33.91863557210035","93.00550074538009","1.0837128123690845","0.1407722816405288","32","6de2fd21c7960b9d9708ca419e8aba6e1a90d027a2db52b77e66a4a749ca160e",""
"vectorPerformance","correlated32","Quantile","4","-2","404175","4000","500","Complete","1.0511815","2.25E-5","0.847384","0.203775","4.171875","0.022","3282856","4000","23.797668269094697","23.991783455481954","49.25430937145106","1.1516283632440742","0.3728865535403717","32","a76e28f6e88c6be3891bdc833beb8d8d0a1740b95f0935a4806e8ab65d3c899c",""
"vectorPerformance","correlated32","Quantile","4","-1","412094","4000","500","Complete","1.0357826","3.73E-5","0.821044","0.2147013","4.234375","0.021","3230583","4000","31.726513907349148","31.532168002260388","97.16989966673968","1.0798839490509835","0.08306741567350584","32","f9ed8df14134bddcfbb2d40aa6e479cfbaad40e1882750767724d2bc52df3b34",""
"vectorPerformance","correlated32","Quantile","4","0","420013","4000","500","Complete","1.0280133","2.32E-5","0.8330444","0.1949457","4.625","0.021","3251733","4000","36.23737925347603","37.074760300245536","94.41153342442881","1.094481746270784","0.006936160462634622","32","70f5117f96cd02d2870b347963ec61f489004b4e752f979286b6bbb78357a72b",""
"vectorPerformance","correlated32","Quantile","4","1","427932","4000","500","Complete","1.0625673","2.35E-5","0.8547762","0.2077676","4.78125","0.023","3236479","4000","31.801672449893193","32.058114379350506","84.74388663935426","1.0852433257313874","0.03363458703623934","32","9361e774d845e114d77fdb68cfdc974ca4f240b9ee801485b53bd51fdc75e4ee",""
"vectorPerformance","correlated32","Quantile","4","2","435851","4000","500","Complete","1.1148544","2.67E-5","0.8963209","0.2185068","4.703125","0.025","3213584","4000","18.827593772089372","19.418977153927276","144.36214774069362","1.1856715933721973","0.22462708158086309","32","be8072aea54a06faab2c2090774614aa1ad4df6564d26d325be8e1037fc3c851",""
"vectorPerformance","correlated32","Quantile","4","3","443770","4000","500","Complete","1.0479771","2.2E-5","0.838996","0.2089591","4.453125","0.022","3292746","4000","8.551688513959126","8.66542172384507","23.37880092498311","1.3883316083476982","0.08359316129464744","32","3ae74ba297dfc21cabfcf0707b44b409c98d3bd3f9dfc2b6af98aa1fde2b375a",""
"vectorPerformance","correlated32","Quantile","4","4","451689","4000","500","Complete","1.037026","2.27E-5","0.835311","0.2016923","4.171875","0.022","3210555","4000","32.00943946980557","33.91863557210035","93.00550074538009","1.0837128123690845","0.1407722816405288","32","6de2fd21c7960b9d9708ca419e8aba6e1a90d027a2db52b77e66a4a749ca160e",""
"vectorPerformance","gaussian32","GPSS","1","-2","404175","4000","500","Complete","0.5870245","3.72E-5","0.1060191","0.4809682","0.59375","0.004","139155","4000","14560.87743232489","14566.888663880416","9030.296419517286","1.0011086994050007","0.013020088729037094","0","f3ae7e88a3469d95a481057ff78725be41612c1e7bdf2f3d1a7c73f5a42981cf",""
"vectorPerformance","gaussian32","GPSS","1","-1","412094","4000","500","Complete","0.5779006","4.35E-5","0.1102973","0.4675598","0.59375","0.005","138730","4000","14723.327722756223","14738.615855733822","8857.898575485036","1.0012097458367082","0.014860253936955947","0","6d85793e19e5639b0a7430ab942ac98e6519fa4be0fbcee8a8930a2af289299d",""
"vectorPerformance","gaussian32","GPSS","1","0","420013","4000","500","Complete","0.57798","7.77E-5","0.1044772","0.4734251","0.65625","0.009","138723","4000","14789.309502344258","14770.299991933614","8878.031772176253","1.0012114173589253","0.02042856356087519","0","fb030bc811389f4cc0c40b053f280c25c0c5e58babb6d5eb761947efb8511783",""
