case,seed,draws,pilotCalls,reference,tolerance,mean,rawMcse,batchMcse,varianceEss,queryK,health,coveredRaw,coveredBatch,accurate,queryFlag
normal,7513499,40000,0,0.0,0.1,0.009416245800064425,0.0043738322312224685,0.0029238633230856213,27510.361445200877,-1.7744924762418193,ChecksPassed,false,false,true,false
normal,7618228,2000,0,0.0,0.1,0.02089163983641859,0.01936024874040289,0.016800638584112397,1382.32110495008,-1.5260630777870858,ChecksPassed,true,true,true,false
normal,7618228,10000,0,0.0,0.1,-0.002831831935767304,0.008722049650815574,0.009192063218956714,6885.129518738698,-1.666965999233695,ChecksPassed,true,true,true,false
normal,7618228,40000,0,0.0,0.1,1.1332150850039005E-4,0.0043741127784129585,0.004164253704407235,27567.62933022579,-1.1333435394378204,ChecksPassed,true,true,true,false
normal,7722957,2000,0,0.0,0.1,0.01090057861378671,0.019545808197603758,0.023942320560556868,1374.7650986701603,-1.4140694257467308,ChecksPassed,true,true,true,false
normal,7722957,10000,0,0.0,0.1,0.001890148840639924,0.008840103228994183,0.008641149510929428,6915.345953350123,-1.142912706333299,ChecksPassed,true,true,true,false
normal,7722957,40000,0,0.0,0.1,0.0054902079115030636,0.00440575739524272,0.00413943059880826,27666.32232664728,-1.8361847540381158,ChecksPassed,true,true,true,false
normal,7827686,2000,0,0.0,0.1,0.04155523318454163,0.019552642781499405,0.020191074448601236,1382.0067193028178,-1.6488022535081972,ChecksPassed,false,true,true,false
normal,7827686,10000,0,0.0,0.1,-0.003310139613359173,0.008706439853285754,0.011499125259101782,6890.290501225854,-1.7154964295045745,ChecksPassed,true,true,true,false
normal,7827686,40000,0,0.0,0.1,0.0035899080370090618,0.004370544715880446,0.004790404582542855,27507.16070524007,-1.806013798042346,ChecksPassed,true,true,true,false
normal,7932415,2000,0,0.0,0.1,-0.0012652023796403233,0.019854059815135158,0.022906491889187135,1408.4575214297838,-1.3528520076825272,ChecksPassed,true,true,true,false
normal,7932415,10000,0,0.0,0.1,3.0418144837558194E-4,0.008815602222425795,0.009171645978836185,6945.722532137917,-1.2053414115086978,ChecksPassed,true,true,true,false
normal,7932415,40000,0,0.0,0.1,0.005424639667975524,0.00440430317448074,0.0035089428417878557,27712.806938120313,-1.7643855687029768,ChecksPassed,true,true,true,false
normal,8037144,2000,0,0.0,0.1,0.013953520747570605,0.019995151065849284,0.024656034286108477,1401.2391244540981,-1.7586765375797466,ChecksPassed,true,true,true,false
normal,8037144,10000,0,0.0,0.1,0.0015159220321744632,0.008798826132052656,0.00811677095468771,6878.442000408076,-1.2864216555664372,ChecksPassed,true,true,true,false
normal,8037144,40000,0,0.0,0.1,-5.162873245837598E-4,0.0043755334946180184,0.0036987322290246913,27542.13224294523,-1.3204424721742276,ChecksPassed,true,true,true,false
normal,8141873,2000,0,0.0,0.1,0.007712615293268908,0.019668428728071164,0.023157554559274856,1378.1567160178556,-1.1635694342266165,ChecksPassed,true,true,true,false
normal,8141873,10000,0,0.0,0.1,0.005605723768091103,0.008747127110944213,0.008805172671746854,6910.684468443049,-1.749306667364998,ChecksPassed,true,true,true,false
normal,8141873,40000,0,0.0,0.1,-2.327219161035955E-4,0.00440251752694267,0.004302105311814339,27651.456687642163,-1.1634051894220823,ChecksPassed,true,true,true,false
normal,8246602,2000,0,0.0,0.1,0.030568391492501654,0.020162544693537742,0.017054436007867747,1383.8181909649225,-1.6464367601891572,ChecksPassed,true,true,true,false
normal,8246602,10000,0,0.0,0.1,0.00480643281340785,0.008774837638606767,0.010159083606591304,6857.374594636295,-1.7908265425179568,ChecksPassed,true,true,true,false
normal,8246602,40000,0,0.0,0.1,-0.0016989659292566978,0.004384258555915146,0.004411081304588862,27573.256045762428,-1.8072201399486831,ChecksPassed,true,true,true,false
normal,8351331,2000,0,0.0,0.1,0.021964105955046342,0.019479044585552125,0.018031870140913314,1392.4658098847897,-1.5796697024587023,ChecksPassed,true,true,true,false
normal,8351331,10000,0,0.0,0.1,0.006621233180675175,0.008775151500485637,0.0067574145946969755,6913.1423627697895,-1.8663350155200444,ChecksPassed,true,true,true,false
normal,8351331,40000,0,0.0,0.1,-0.0021527178561243053,0.0043796881175951945,0.004239548669989338,27596.908189567646,-1.751020813920092,ChecksPassed,true,true,true,false
normal,8456060,2000,0,0.0,0.1,-0.007356317316189154,0.019763281232008045,0.017658911969219572,1359.4885447482475,-1.0293814640173673,ChecksPassed,true,true,true,false
normal,8456060,10000,0,0.0,0.1,-1.0804816833019964E-4,0.008732932873256275,0.008282733721423463,6835.652255614018,-1.4684466704752028,ChecksPassed,true,true,true,false
normal,8456060,40000,0,0.0,0.1,0.002800761717472018,0.0043784373115128,0.0037891478434180065,27511.36392314527,-1.726036845612449,ChecksPassed,true,true,true,false
normal,8560789,2000,0,0.0,0.1,-0.005574888444129084,0.019424992333748968,0.019096748855407002,1369.1027502649604,-1.1979474070956808,ChecksPassed,true,true,true,false
normal,8560789,10000,0,0.0,0.1,-0.0021415277436949097,0.008698999932437931,0.008671391012850508,6878.670602728793,-1.5891287997176453,ChecksPassed,true,true,true,false
normal,8560789,40000,0,0.0,0.1,-0.006162815182195509,0.004355933998162222,0.004391607787532521,27468.354150830874,-1.7030049949831052,ChecksPassed,true,true,true,false
normal,8665518,2000,0,0.0,0.1,-0.002591589908140723,0.019324001149259855,0.02064085520177727,1384.5028052028933,-1.0599346984207216,ChecksPassed,true,true,true,false
normal,8665518,10000,0,0.0,0.1,0.008392252497365311,0.00872116239568169,0.009504367113046138,6854.253981133846,-1.6437536193083517,ChecksPassed,true,true,true,false
normal,8665518,40000,0,0.0,0.1,-2.534275148401248E-4,0.004401301333457735,0.0034325891671577635,27728.148114433665,-1.1831697595996618,ChecksPassed,true,true,true,false
normal,8770247,2000,0,0.0,0.1,-0.008098221461097548,0.019413682254090302,0.021062375847609487,1377.4172672791085,-0.9537352056224322,ChecksPassed,true,true,true,false
normal,8770247,10000,0,0.0,0.1,-0.005330754079765523,0.00874920667425734,0.0074548939354887375,6900.917813588935,-1.58145184410357,ChecksPassed,true,true,true,false
normal,8770247,40000,0,0.0,0.1,-0.00635716564911625,0.004382755825929063,0.004332036830243005,27573.495359493456,-1.7264523336334303,ChecksPassed,true,true,true,false
normal,8874976,2000,0,0.0,0.1,-0.021866941655181805,0.019265913274134933,0.017752563643106355,1380.1541031589743,-1.5565246409368205,ChecksPassed,true,true,true,false
normal,8874976,10000,0,0.0,0.1,0.003993562555596371,0.008814297975519804,0.0066927399945760245,6943.895767829991,-1.712166434828003,ChecksPassed,true,true,true,false
normal,8874976,40000,0,0.0,0.1,0.00803712857271182,0.004392972031623417,0.0034106521237825954,27624.708538359453,-1.7374426708558945,ChecksPassed,true,false,true,false
normal,8979705,2000,0,0.0,0.1,-0.00841486339456778,0.01906122406198666,0.01830181019649987,1347.765579264802,-1.0545581258225345,ChecksPassed,true,true,true,false
normal,8979705,10000,0,0.0,0.1,-0.004975832551290341,0.00869899016960765,0.011044900141687465,6852.568341074981,-1.7086921275995828,ChecksPassed,true,true,true,false
normal,8979705,40000,0,0.0,0.1,-0.001548880020559022,0.004391328256441684,0.00461192635870371,27631.48630623007,-1.8308015371831974,ChecksPassed,true,true,true,false
normal,9084434,2000,0,0.0,0.1,5.417301847269532E-5,0.019575468585698162,0.018951497883362575,1384.8483164424779,-1.633238537723534,ChecksPassed,true,true,true,false
normal,9084434,10000,0,0.0,0.1,0.005932978648250552,0.008792667961234834,0.008025310728799593,6904.020146139344,-1.8272158355008699,ChecksPassed,true,true,true,false
normal,9084434,40000,0,0.0,0.1,0.0032839551393676306,0.004371527568930537,0.004344087615079203,27625.056051622323,-1.8524930647018445,ChecksPassed,true,true,true,false
normal,9189163,2000,0,0.0,0.1,-8.370672910818287E-4,0.019652863209007942,0.017636217294606616,1401.1574869129543,-1.31228875070029,ChecksPassed,true,true,true,false
normal,9189163,10000,0,0.0,0.1,-0.009922099693896215,0.008733279842955757,0.009804342481060475,6901.2130849459745,-1.7731142425590178,ChecksPassed,true,true,true,false
normal,9189163,40000,0,0.0,0.1,-0.003932465049281516,0.004390703429725459,0.0029091441540231196,27678.61998053336,-1.8532202001879963,ChecksPassed,true,true,true,false
normal,9293892,2000,0,0.0,0.1,0.004683046691951265,0.01937309174226158,0.021432460876819125,1372.4624215605359,-1.1432323821516728,ChecksPassed,true,true,true,false
normal,9293892,10000,0,0.0,0.1,0.005215587538850554,0.00866859739533055,0.008477391576810796,6831.721911318954,-1.8074373483602406,ChecksPassed,true,true,true,false
normal,9293892,40000,0,0.0,0.1,-0.0015098219773028833,0.004360368936388749,0.003441290142339748,27466.977030267462,-1.738282413629741,ChecksPassed,true,true,true,false
