"budgetResearch","target","sampler","round","seed","record","budgetPerChain","drawsPerChain","availableDraws","evaluations","pilotEvaluations","warmupEvaluations","status","reason","query","truth","estimate","fullWidth","meanEss","covered","criteriaMet","failureReasons"
"budgetResearch","banana","affine-gpss","3","1126218","fixed","25000","2263","9295","100000","15182","30280","Ok","FixedBudget","event","0.045500263896358334","0.04429960229783473","0.01653566003820395","4890.850454220596","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","25000","2263","9295","100000","15182","30280","Ok","FixedBudget","x","0.0","0.010111101444933768","0.07177980790711924","5452.705113874395","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","25000","2263","9295","100000","15182","30280","Ok","FixedBudget","xSquared","1.0","0.9917193730379588","0.11879095602769761","3965.0211588432835","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","25000","2263","9295","100000","15182","30280","Ok","FixedBudget","y","0.0","-0.004920712778100578","0.06805346483822178","3800.742325948516","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","25000","2263","9295","100000","15182","30280","Ok","FixedBudget","ySquared","0.57","0.5770915088261708","0.11776712428757595","3471.6372702338253","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","50000","5585","22677","200000","15182","30280","Ok","FixedBudget","event","0.045500263896358334","0.044315129811996416","0.010322150498399399","10549.696210000291","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","50000","5585","22677","200000","15182","30280","Ok","FixedBudget","x","0.0","0.008922908234462401","0.04541313453849705","13350.440649038263","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","50000","5585","22677","200000","15182","30280","Ok","FixedBudget","xSquared","1.0","0.9946289826713461","0.07863343437097663","8690.034056518503","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","50000","5585","22677","200000","15182","30280","Ok","FixedBudget","y","0.0","-0.0019476793260693182","0.044609177796009536","8162.678501609479","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","50000","5585","22677","200000","15182","30280","Ok","FixedBudget","ySquared","0.57","0.577966922117588","0.07854139571185596","7523.791361790174","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","100000","12317","49471","400000","15182","30280","Ok","FixedBudget","event","0.045500263896358334","0.04325322724689454","0.007421268120517459","22804.106650485573","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","100000","12317","49471","400000","15182","30280","Ok","FixedBudget","x","0.0","0.002362772946258973","0.030080002121021646","29006.26112269762","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","100000","12317","49471","400000","15182","30280","Ok","FixedBudget","xSquared","1.0","0.9888876739878589","0.05707478835542376","17352.960015343317","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","100000","12317","49471","400000","15182","30280","Ok","FixedBudget","y","0.0","-0.004773453551908946","0.030969983003986314","16831.229754300748","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","fixed","100000","12317","49471","400000","15182","30280","Ok","FixedBudget","ySquared","0.57","0.568382590313885","0.07100210035816795","10872.826394722477","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","stopped","25000","2263","9295","100000","15182","30280","Ok","PrecisionReached","event","0.045500263896358334","0.04429960229783473","0.01653566003820395","4890.850454220596","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","stopped","25000","2263","9295","100000","15182","30280","Ok","PrecisionReached","x","0.0","0.010111101444933768","0.07177980790711924","5452.705113874395","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","stopped","25000","2263","9295","100000","15182","30280","Ok","PrecisionReached","xSquared","1.0","0.9917193730379588","0.11879095602769761","3965.0211588432835","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","stopped","25000","2263","9295","100000","15182","30280","Ok","PrecisionReached","y","0.0","-0.004920712778100578","0.06805346483822178","3800.742325948516","true","true",""
"budgetResearch","banana","affine-gpss","3","1126218","stopped","25000","2263","9295","100000","15182","30280","Ok","PrecisionReached","ySquared","0.57","0.5770915088261708","0.11776712428757595","3471.6372702338253","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","25000","2319","9481","100000","14916","29909","Ok","FixedBudget","event","0.045500263896358334","0.04290642518326865","0.01565418578477906","4447.917644939951","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","25000","2319","9481","100000","14916","29909","Ok","FixedBudget","x","0.0","0.022210298974100873","0.0691717648914296","5484.829830713963","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","25000","2319","9481","100000","14916","29909","Ok","FixedBudget","xSquared","1.0","0.9892282773827669","0.11473143839451577","3747.8800701362497","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","25000","2319","9481","100000","14916","29909","Ok","FixedBudget","y","0.0","7.416799950512448E-4","0.06537641087636402","3418.82953670518","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","25000","2319","9481","100000","14916","29909","Ok","FixedBudget","ySquared","0.57","0.5505275509390208","0.10517067581150301","3213.3182767722997","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","50000","5618","22949","200000","14916","29909","Ok","FixedBudget","event","0.045500263896358334","0.04685831256674973","0.010752295550883187","10525.68017928823","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","50000","5618","22949","200000","14916","29909","Ok","FixedBudget","x","0.0","0.02095556828812195","0.045328855775589344","12960.320105589019","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","50000","5618","22949","200000","14916","29909","Ok","FixedBudget","xSquared","1.0","1.0037875397493696","0.07907469417759085","8762.594149807304","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","50000","5618","22949","200000","14916","29909","Ok","FixedBudget","y","0.0","0.004592064534374038","0.0440657861923703","8047.566418941806","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","50000","5618","22949","200000","14916","29909","Ok","FixedBudget","ySquared","0.57","0.565740185646774","0.07611164421211639","7143.790136182748","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","100000","12270","49870","400000","14916","29909","Ok","FixedBudget","event","0.045500263896358334","0.046964140179299105","0.007607796732555598","21504.765632721865","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","100000","12270","49870","400000","14916","29909","Ok","FixedBudget","x","0.0","0.010414296345982232","0.03071208601101167","28213.17188266669","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","100000","12270","49870","400000","14916","29909","Ok","FixedBudget","xSquared","1.0","1.0028004489404467","0.05364170253938611","18559.355533818143","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","100000","12270","49870","400000","14916","29909","Ok","FixedBudget","y","0.0","0.0073664411017149226","0.029847559279379092","17189.875067125213","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","fixed","100000","12270","49870","400000","14916","29909","Ok","FixedBudget","ySquared","0.57","0.5770696161468728","0.05580032460668718","14883.528503437099","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","stopped","25000","2319","9481","100000","14916","29909","Ok","PrecisionReached","event","0.045500263896358334","0.04290642518326865","0.01565418578477906","4447.917644939951","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","stopped","25000","2319","9481","100000","14916","29909","Ok","PrecisionReached","x","0.0","0.022210298974100873","0.0691717648914296","5484.829830713963","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","stopped","25000","2319","9481","100000","14916","29909","Ok","PrecisionReached","xSquared","1.0","0.9892282773827669","0.11473143839451577","3747.8800701362497","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","stopped","25000","2319","9481","100000","14916","29909","Ok","PrecisionReached","y","0.0","7.416799950512448E-4","0.06537641087636402","3418.82953670518","true","true",""
"budgetResearch","banana","affine-gpss","4","1230947","stopped","25000","2319","9481","100000","14916","29909","Ok","PrecisionReached","ySquared","0.57","0.5505275509390208","0.10517067581150301","3213.3182767722997","true","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","25000","2349","9452","100000","15160","30031","Ok","FixedBudget","event","0.045500263896358334","0.039697743720732225","0.014903475608496232","4555.531194368675","true","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","25000","2349","9452","100000","15160","30031","Ok","FixedBudget","x","0.0","0.002136249914148569","0.07019269737879012","5095.411218920463","true","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","25000","2349","9452","100000","15160","30031","Ok","FixedBudget","xSquared","1.0","0.9449171514656853","0.10776501340177692","3867.3760215107554","false","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","25000","2349","9452","100000","15160","30031","Ok","FixedBudget","y","0.0","-0.03264386284227372","0.06120288903375865","3587.4156255312473","false","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","25000","2349","9452","100000","15160","30031","Ok","FixedBudget","ySquared","0.57","0.5073390891415361","0.08765923898892111","3725.151163854422","false","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","50000","5685","22864","200000","15160","30031","Ok","FixedBudget","event","0.045500263896358334","0.04248021108179419","0.010473809536725233","11332.932612459223","true","true",""
"budgetResearch","banana","affine-gpss","5","1335676","fixed","50000","5685","22864","200000","15160","30031","Ok","FixedBudget","x","0.0","5.261410385397625E-4","0.04665991851930646","11877.312355093023","true","true",""
