fixture,seed,components,method,parameters,status,train,heldout,draws,chartCenter,meanLogScore,regionProbability,referenceRegion,fitMillis,scoreMillis,drawMillis
separated,103001,1,gvm-regression,6,completed,1200,4000,4000,-0.010178321684032274,-2.648417590098016,0.27025,0.37925,0.5448,0.6114,0.6535
separated,103001,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.010178321684032274,-2.6444322029272844,0.26225,0.37925,0.5671,0.7359,0.5275
separated,103001,2,gvm-regression,13,completed,1200,4000,4000,-0.010178321684032274,-2.379266204682289,0.3775,0.37925,0.3767,0.946,0.6771
separated,103001,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.010178321684032274,-2.378088677753845,0.38325,0.37925,0.5389,1.2769,0.5051
separated,103001,4,gvm-regression,27,completed,1200,4000,4000,-0.010178321684032274,-2.432922863952559,0.3635,0.37925,0.4546,1.5936,0.6856
separated,103001,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.010178321684032274,-2.431048266021878,0.37075,0.37925,0.4786,3.0795,0.973
separated,103002,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.04887037824077793,-2.6303920542940253,0.2405,0.36275,0.6722,0.667,0.5013
separated,103002,1,gvm-regression,6,completed,1200,4000,4000,-0.04887037824077793,-2.6345901540973005,0.24375,0.36275,0.5528,0.6662,0.6432
separated,103002,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.04887037824077793,-2.3941717861284335,0.35475,0.36275,0.4018,1.2561,0.6368
separated,103002,2,gvm-regression,13,completed,1200,4000,4000,-0.04887037824077793,-2.3899710688118874,0.367,0.36275,0.3986,0.9495,0.7145
separated,103002,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.04887037824077793,-2.4315609038284474,0.342,0.36275,0.4187,2.2054,0.5697
separated,103002,4,gvm-regression,27,completed,1200,4000,4000,-0.04887037824077793,-2.4288578346624856,0.361,0.36275,0.4519,1.6172,0.7094
separated,103003,1,gvm-regression,6,completed,1200,4000,4000,0.03780751188475695,-2.6783767682969226,0.26325,0.356,0.5795,0.6389,0.7499
separated,103003,1,gmm-chart-moments,5,completed,1200,4000,4000,0.03780751188475695,-2.6709698996466096,0.2595,0.356,0.5222,0.6912,0.6245
separated,103003,2,gvm-regression,13,completed,1200,4000,4000,0.03780751188475695,-2.4521580787996475,0.3585,0.356,0.8046,0.9725,0.7488
separated,103003,2,gmm-chart-moments,11,completed,1200,4000,4000,0.03780751188475695,-2.446186545893795,0.371,0.356,0.537,1.228,0.5994
separated,103003,4,gvm-regression,27,completed,1200,4000,4000,0.03780751188475695,-2.4937296655638654,0.351,0.356,0.4022,1.6257,0.6757
separated,103003,4,gmm-chart-moments,23,completed,1200,4000,4000,0.03780751188475695,-2.4978441310631947,0.36375,0.356,0.4169,1.9715,0.483
separated,103004,1,gmm-chart-moments,5,completed,1200,4000,4000,0.010937177105002294,-2.633772944486629,0.26125,0.3795,0.4689,0.5705,0.5031
separated,103004,1,gvm-regression,6,completed,1200,4000,4000,0.010937177105002294,-2.6382423250292204,0.259,0.3795,0.4819,0.572,0.6439
separated,103004,2,gmm-chart-moments,11,completed,1200,4000,4000,0.010937177105002294,-2.373109107335278,0.3765,0.3795,0.3188,1.079,0.4612
separated,103004,2,gvm-regression,13,completed,1200,4000,4000,0.010937177105002294,-2.3748483820931665,0.38575,0.3795,0.2937,0.9576,0.6573
separated,103004,4,gmm-chart-moments,23,completed,1200,4000,4000,0.010937177105002294,-2.4174254260911314,0.37225,0.3795,0.3291,2.1239,0.5208
separated,103004,4,gvm-regression,27,completed,1200,4000,4000,0.010937177105002294,-2.418151009652793,0.38475,0.3795,0.3271,1.5308,0.666
