"research","target","sampler","round","seed","method","draws","query","truth","estimate","fullWidth","covered","criteriaMet","reason","meanEss","evaluationsFullRun","failureReasons"
"research","banana","figaro-block","8","204363","fixed","12000","y","0.0","-0.005657239602434805","0.0849602420683153","true","true","FixedBudget","2096.173078094713","80078",""
"research","banana","figaro-block","8","204363","fixed","12000","ySquared","0.57","0.5701377563341964","0.16890640893598896","true","true","FixedBudget","1563.7172213057304","80078",""
"research","banana","figaro-block","8","204363","stopped","10000","event","0.045500263896358334","0.0467","0.02511479537115594","true","true","PrecisionReached","1873.234697795452","80078",""
"research","banana","figaro-block","8","204363","stopped","10000","x","0.0","-0.006131913200434352","0.11614856204599548","true","true","PrecisionReached","1950.1292084927193","80078",""
"research","banana","figaro-block","8","204363","stopped","10000","xSquared","1.0","0.991294113843771","0.1905185401271309","true","true","PrecisionReached","1522.5277969937715","80078",""
"research","banana","figaro-block","8","204363","stopped","10000","y","0.0","-0.0054082437180518195","0.09331243904640309","true","true","PrecisionReached","1759.4462029194276","80078",""
"research","banana","figaro-block","8","204363","stopped","10000","ySquared","0.57","0.5772608078744104","0.1869560279685934","true","true","PrecisionReached","1334.7116532485115","80078",""
"research","banana","figaro-block","9","212282","fixed","12000","event","0.045500263896358334","0.04616666666666667","0.030345574521926717","true","true","FixedBudget","1269.1515488019004","79981",""
"research","banana","figaro-block","9","212282","fixed","12000","x","0.0","-0.017787740722335688","0.11765499556257021","true","true","FixedBudget","1970.185642986321","79981",""
"research","banana","figaro-block","9","212282","fixed","12000","xSquared","1.0","1.0279178224403913","0.25357511466713045","true","false","FixedBudget","883.648631118976","79981","WidthTooLarge"
"research","banana","figaro-block","9","212282","fixed","12000","y","0.0","0.017100065771255113","0.11717801408725764","true","false","FixedBudget","1166.206673453545","79981","WidthTooLarge"
"research","banana","figaro-block","9","212282","fixed","12000","ySquared","0.57","0.6036358460663658","0.36814418807085625","true","false","FixedBudget","545.7818581840224","79981","WidthTooLarge"
"research","banana","figaro-block","9","212282","stopped","6000","event","0.045500263896358334","0.036333333333333336","0.023753334132633884","true","true","PrecisionReached","1647.0059602725585","79981",""
"research","banana","figaro-block","9","212282","stopped","6000","x","0.0","0.0053526359360163145","0.12571568565522523","true","true","PrecisionReached","1557.4086449518184","79981",""
"research","banana","figaro-block","9","212282","stopped","6000","xSquared","1.0","0.927433305460253","0.16211032081535737","true","true","PrecisionReached","1566.5488343028892","79981",""
"research","banana","figaro-block","9","212282","stopped","6000","y","0.0","-0.03891952783389857","0.09014079540792666","true","true","PrecisionReached","1608.3489696008203","79981",""
"research","banana","figaro-block","9","212282","stopped","6000","ySquared","0.57","0.49390652833797544","0.11594452155035759","false","true","PrecisionReached","1553.8699383885562","79981",""
"research","banana","figaro-block","10","220201","fixed","12000","event","0.045500263896358334","0.0489375","0.03285385058592158","true","false","FixedBudget","1144.409568528982","80086","WidthTooLarge"
"research","banana","figaro-block","10","220201","fixed","12000","x","0.0","0.008026507834451913","0.13922578224199386","true","true","FixedBudget","1410.329545866006","80086",""
"research","banana","figaro-block","10","220201","fixed","12000","xSquared","1.0","1.0301107077626348","0.3643095000804553","true","false","FixedBudget","533.1564928240565","80086","WidthTooLarge"
"research","banana","figaro-block","10","220201","fixed","12000","y","0.0","0.001010516020460095","0.15942546760175805","true","false","FixedBudget","717.1203529181005","80086","WidthTooLarge"
"research","banana","figaro-block","10","220201","fixed","12000","ySquared","0.57","0.686759846501406","0.8459187057345103","true","false","FixedBudget","310.8356795415104","80086","InsufficientMeanEss|WidthTooLarge"
