case,seed,draws,method,fit,pilotCalls,fitCalls,productionCalls,reference,mean,ess,accurate,health
balanced,11607261,10000,multi,Fitted,12000,14570,10000,0.4997854698334016,0.496158013351495,7931.128083303014,true,ChecksPassed
balanced,11737624,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4833372961062892,175.56129201450455,true,ChecksPassed
balanced,11737624,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5176303590090187,918.3032077446537,true,ChecksPassed
balanced,11737624,2000,multi,Fitted,12000,14330,2000,0.4997854698334016,0.5187495473486955,1714.5739412490973,true,ChecksPassed
balanced,11737624,10000,multi,Fitted,12000,14330,10000,0.4997854698334016,0.5063716982874327,8557.48474413608,true,ChecksPassed
balanced,11867987,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.48852752441137126,206.20490333438016,true,ChecksPassed
balanced,11867987,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5228778927133955,880.737663992204,true,ChecksPassed
balanced,11867987,2000,multi,Fitted,12000,14550,2000,0.4997854698334016,0.5078812275624257,1665.6145948795697,true,ChecksPassed
balanced,11867987,10000,multi,Fitted,12000,14550,10000,0.4997854698334016,0.49884249395530295,8266.8450171594,true,ChecksPassed
balanced,11998350,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5284228216999601,209.23936948342086,false,ChecksPassed
balanced,11998350,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.513003765383423,975.8965388239691,true,ChecksPassed
balanced,11998350,2000,multi,Fitted,12000,14330,2000,0.4997854698334016,0.499503294533275,1732.9743665367744,true,ChecksPassed
balanced,11998350,10000,multi,Fitted,12000,14330,10000,0.4997854698334016,0.4882136208138714,8612.251243361226,true,ChecksPassed
balanced,12128713,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5313989453033291,206.53773131864946,false,ChecksPassed
balanced,12128713,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.481820051014489,961.6120640393942,true,ChecksPassed
balanced,12128713,2000,multi,Fitted,12000,14410,2000,0.4997854698334016,0.5040151085830394,1699.5865794305148,true,ChecksPassed
balanced,12128713,10000,multi,Fitted,12000,14410,10000,0.4997854698334016,0.502265752258891,8493.34597644789,true,ChecksPassed
balanced,12259076,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.43516263811712225,187.5199776758846,false,ChecksPassed
balanced,12259076,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.49018936765357063,926.3517724579476,true,ChecksPassed
balanced,12259076,2000,multi,Fitted,12000,14610,2000,0.4997854698334016,0.5103373818682223,1617.5516306117079,true,ChecksPassed
balanced,12259076,10000,multi,Fitted,12000,14610,10000,0.4997854698334016,0.5018126627336807,8043.016626734278,true,ChecksPassed
balanced,12389439,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4744899217460563,203.4588068588368,false,ChecksPassed
balanced,12389439,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4986788431504832,993.4176072189063,true,ChecksPassed
balanced,12389439,2000,multi,Fitted,12000,14700,2000,0.4997854698334016,0.5080856670151762,1683.0510466766373,true,ChecksPassed
balanced,12389439,10000,multi,Fitted,12000,14700,10000,0.4997854698334016,0.4980042446855844,8437.30553709099,true,ChecksPassed
balanced,12519802,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5071785547969768,183.46295683720686,true,ChecksPassed
balanced,12519802,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.517546250117943,928.4101867723566,true,ChecksPassed
balanced,12519802,2000,multi,Fitted,12000,14680,2000,0.4997854698334016,0.5021341104877757,1666.153906667578,true,ChecksPassed
balanced,12519802,10000,multi,Fitted,12000,14680,10000,0.4997854698334016,0.49450120195159686,8346.06298580397,true,ChecksPassed
balanced,12650165,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5368145361215321,194.93873597279983,false,ChecksPassed
balanced,12650165,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5112156034805957,967.4000850225491,true,ChecksPassed
balanced,12650165,2000,multi,Fitted,12000,14220,2000,0.4997854698334016,0.48687139481453245,1691.3253506369447,true,ChecksPassed
balanced,12650165,10000,multi,Fitted,12000,14220,10000,0.4997854698334016,0.4955535169114763,8526.517217231069,true,ChecksPassed
balanced,12780528,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5536148378648504,188.36037771079972,false,ChecksPassed
balanced,12780528,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4649829252290521,947.3380157800852,false,ChecksPassed
balanced,12780528,2000,multi,Fitted,12000,14370,2000,0.4997854698334016,0.5074839591263691,1697.7674791784846,true,ChecksPassed
balanced,12780528,10000,multi,Fitted,12000,14370,10000,0.4997854698334016,0.4971672538845313,8444.104327289515,true,ChecksPassed
balanced,12910891,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5218110160571806,196.6509595899916,true,ChecksPassed
balanced,12910891,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5031352196472479,971.0328536152355,true,ChecksPassed
balanced,12910891,2000,multi,Fitted,12000,14220,2000,0.4997854698334016,0.5070670627720373,1694.1984318434172,true,ChecksPassed
balanced,12910891,10000,multi,Fitted,12000,14220,10000,0.4997854698334016,0.5011932509741516,8557.252034088857,true,ChecksPassed
balanced,13041254,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.524141081313552,212.98406432576422,true,ChecksPassed
balanced,13041254,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.515644984025424,981.6813283295221,true,ChecksPassed
balanced,13041254,2000,multi,Fitted,12000,14310,2000,0.4997854698334016,0.5059471879795313,1696.5895461520656,true,ChecksPassed
balanced,13041254,10000,multi,Fitted,12000,14310,10000,0.4997854698334016,0.49513425675193673,8460.899602017469,true,ChecksPassed
balanced,13171617,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.48068077866285897,207.2963076971964,true,ChecksPassed
balanced,13171617,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4871277439842283,971.4203305461649,true,ChecksPassed
balanced,13171617,2000,multi,Fitted,12000,14430,2000,0.4997854698334016,0.49768959758324005,1693.9456977231896,true,ChecksPassed
balanced,13171617,10000,multi,Fitted,12000,14430,10000,0.4997854698334016,0.49556243903701735,8431.816435696473,true,ChecksPassed
balanced,13301980,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5105151056603708,195.28938125699582,true,ChecksPassed
balanced,13301980,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4988447704788698,964.8115589775572,true,ChecksPassed
balanced,13301980,2000,multi,Fitted,12000,14430,2000,0.4997854698334016,0.4950105997790539,1728.8268252635485,true,ChecksPassed
balanced,13301980,10000,multi,Fitted,12000,14430,10000,0.4997854698334016,0.49143141133651785,8616.35815116481,true,ChecksPassed
balanced,13432343,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5382991650515068,200.2834733971644,false,ChecksPassed
balanced,13432343,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5202042963553362,926.0488061831039,true,ChecksPassed
balanced,13432343,2000,multi,Fitted,12000,14250,2000,0.4997854698334016,0.5096423147630434,1674.9668192978224,true,ChecksPassed
balanced,13432343,10000,multi,Fitted,12000,14250,10000,0.4997854698334016,0.4926984388187725,8403.34291102853,true,ChecksPassed
balanced,13562706,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.48360155087756784,203.84000311146474,true,ChecksPassed
balanced,13562706,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5260067149913565,975.5881928208297,false,ChecksPassed
balanced,13562706,2000,multi,Fitted,12000,14640,2000,0.4997854698334016,0.4999030653223019,1725.8306226600828,true,ChecksPassed
balanced,13562706,10000,multi,Fitted,12000,14640,10000,0.4997854698334016,0.5020743522856419,8570.75093475345,true,ChecksPassed
balanced,13693069,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4901717136533277,199.1017097112916,true,ChecksPassed
balanced,13693069,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4814676862365687,968.5430314103139,true,ChecksPassed
balanced,13693069,2000,multi,Fitted,12000,14700,2000,0.4997854698334016,0.4963270024861146,1667.3597603268124,true,ChecksPassed
balanced,13693069,10000,multi,Fitted,12000,14700,10000,0.4997854698334016,0.4929237965428002,8308.64729136256,true,ChecksPassed
balanced,13823432,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.49209717851728885,184.94491450132426,true,ChecksPassed
balanced,13823432,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4967407531387436,921.2465213139704,true,ChecksPassed
balanced,13823432,2000,multi,Fitted,12000,14450,2000,0.4997854698334016,0.4988500456411766,1684.8160973576526,true,ChecksPassed
balanced,13823432,10000,multi,Fitted,12000,14450,10000,0.4997854698334016,0.5014209009414636,8393.479642109756,true,ChecksPassed
balanced,13953795,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4583563905597326,170.29595733193378,false,ChecksPassed
balanced,13953795,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4853035033401521,943.9419679965583,true,ChecksPassed
balanced,13953795,2000,multi,Fitted,12000,14570,2000,0.4997854698334016,0.5042390167817703,1637.0165683402176,true,ChecksPassed
balanced,13953795,10000,multi,Fitted,12000,14570,10000,0.4997854698334016,0.5027155043186408,8256.453686687273,true,ChecksPassed
balanced,14084158,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4474456956420826,191.70591978710397,false,ChecksPassed
balanced,14084158,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.47930059872091957,962.8053306547516,true,ChecksPassed
balanced,14084158,2000,multi,Fitted,12000,14640,2000,0.4997854698334016,0.5090607821052309,1646.1022590356913,true,ChecksPassed
balanced,14084158,10000,multi,Fitted,12000,14640,10000,0.4997854698334016,0.49731781700132266,8139.001169434352,true,ChecksPassed
balanced,14214521,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.49077311179371963,181.1063915235325,true,ChecksPassed
balanced,14214521,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4862447748974217,923.0778168535068,true,ChecksPassed
balanced,14214521,2000,multi,Fitted,12000,14420,2000,0.4997854698334016,0.5064058562531938,1745.0288355390883,true,ChecksPassed
balanced,14214521,10000,multi,Fitted,12000,14420,10000,0.4997854698334016,0.5023270659248293,8660.561030811832,true,ChecksPassed
balanced,14344884,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5559610057971535,159.61441304914996,false,ChecksPassed
balanced,14344884,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5049786107701761,848.3570236150605,true,ChecksPassed
balanced,14344884,2000,multi,Fitted,12000,14790,2000,0.4997854698334016,0.5084982176713168,1408.1187557112423,true,ChecksPassed
