case,seed,method,status,truth,estimate,mcse,eventEss,hits,pilotCalls,productionCalls,densityCalls,seconds
tail5,90000,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.0052209
tail5,90000,ce,Fitted,2.866515718791939E-7,2.73490681735551E-7,6.281782949214193E-9,1513.2397132477001,4069,2500,7500,20000,0.0066539
tail5,90000,supplied,Completed,2.866515718791939E-7,2.8282060446725483E-7,7.237871639000078E-9,1324.7284096832072,4461,0,10000,20000,0.0056458
tail5,90001,ce,Fitted,2.866515718791939E-7,2.82698526860341E-7,6.5070126801144746E-9,1508.141192497012,4167,2500,7500,20000,0.0056869
tail5,90001,supplied,Completed,2.866515718791939E-7,2.8644525554722857E-7,7.20698395740461E-9,1364.3196823853511,4494,0,10000,20000,0.0058378
tail5,90001,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.0036816
tail5,90002,supplied,Completed,2.866515718791939E-7,2.761761238052971E-7,7.037454293392102E-9,1334.6586149206726,4486,0,10000,20000,0.0055887
tail5,90002,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.0039456
tail5,90002,ce,Fitted,2.866515718791939E-7,2.8013622756486466E-7,6.416032226872687E-9,1520.166664821618,4097,2500,7500,20000,0.0057161
tail5,90003,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.0036326
tail5,90003,ce,Fitted,2.866515718791939E-7,2.8969264745524126E-7,6.5862823181074436E-9,1538.0747236824873,4041,2500,7500,20000,0.0057286
tail5,90003,supplied,Completed,2.866515718791939E-7,2.8914908596958033E-7,7.306578355208321E-9,1354.1497564936928,4447,0,10000,20000,0.0055431
tail5,90004,ce,Fitted,2.866515718791939E-7,2.9566830589295954E-7,6.685879229980056E-9,1551.3436660011425,4147,2500,7500,20000,0.0058769
tail5,90004,supplied,Completed,2.866515718791939E-7,2.8762574002514417E-7,7.255618225804167E-9,1358.174510699821,4493,0,10000,20000,0.0053819
tail5,90004,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.0038379
tail5,90005,supplied,Completed,2.866515718791939E-7,2.80757189420776E-7,7.1191266805593065E-9,1346.0632801557379,4509,0,10000,20000,0.0053524
tail5,90005,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.0036458
tail5,90005,ce,Fitted,2.866515718791939E-7,2.825744830242385E-7,6.493068297651589E-9,1512.257378090539,4109,2500,7500,20000,0.0055607
tail5,90006,prior,Completed,2.866515718791939E-7,0.0,NaN,0.0,0,0,10000,20000,0.0056839
tail5,90006,ce,Fitted,2.866515718791939E-7,2.8420885355400137E-7,6.519528390650718E-9,1516.367318380443,4051,2500,7500,20000,0.005737
tail5,90006,supplied,Completed,2.866515718791939E-7,2.9389859461257617E-7,7.430487063623635E-9,1352.9233549859246,4485,0,10000,20000,0.0057446
tail5,90007,ce,Fitted,2.866515718791939E-7,2.8595878054697737E-7,6.4672755785779365E-9,1550.980045935105,4010,2500,7500,20000,0.0057322
tail5,90007,supplied,Completed,2.866515718791939E-7,2.808352965303019E-7,7.234232580049403E-9,1309.76504900108,4415,0,10000,20000,0.0052241
