case,seed,method,status,truth,estimate,mcse,eventEss,hits,pilotCalls,productionCalls,densityCalls,seconds
tail3,90004,supplied,Completed,0.0013498980316300946,0.00135546215582445,2.6557908616587426E-5,2066.7261199871496,4493,0,10000,20000,0.0052245
tail3,90004,prior,Completed,0.0013498980316300946,7.999999999999995E-4,2.827436902911173E-4,8.0,8,0,10000,20000,0.003892
tail3,90005,supplied,Completed,0.0013498980316300946,0.0013354870637775882,2.6202226509690047E-5,2062.2594752793107,4510,0,10000,20000,0.0056275
tail3,90005,prior,Completed,0.0013498980316300946,0.0015999999999999992,3.9969985739001537E-4,16.0,16,0,10000,20000,0.0036701
tail3,90005,ce,Fitted,0.0013498980316300946,0.0013661797276842006,2.3326872787962166E-5,2444.0780530327606,5048,1500,8500,20000,0.0059166
tail3,90006,prior,Completed,0.0013498980316300946,0.0011999999999999984,3.462195644366158E-4,12.0,12,0,10000,20000,0.0059424
tail3,90006,ce,Fitted,0.0013498980316300946,0.001354392024269176,2.303912611429484E-5,2457.14632592542,4953,1500,8500,20000,0.0062116
tail3,90006,supplied,Completed,0.0013498980316300946,0.0013641190449943939,2.7009760886959835E-5,2032.4925991352193,4486,0,10000,20000,0.0055127
tail3,90007,ce,Fitted,0.0013498980316300946,0.0013670270579564951,2.2791009493644354E-5,2528.0081699477123,4962,1500,8500,20000,0.0055313
tail3,90007,supplied,Completed,0.0013498980316300946,0.001320872941978496,2.6380567289525415E-5,2004.6359018779401,4416,0,10000,20000,0.0051608
tail3,90007,prior,Completed,0.0013498980316300946,8.999999999999998E-4,2.9987996398439266E-4,9.0,9,0,10000,20000,0.0036417
tail3,90008,supplied,Completed,0.0013498980316300946,0.0013508492173157011,2.672019110089742E-5,2035.7444136394113,4461,0,10000,20000,0.005521
tail3,90008,prior,Completed,0.0013498980316300946,0.0010999999999999992,3.3149658972438963E-4,11.0,11,0,10000,20000,0.0035628
tail3,90008,ce,Fitted,0.0013498980316300946,0.0013418464677413702,2.269977257322114E-5,2476.5218033227397,4997,1500,8500,20000,0.0055258
tail3,90009,prior,Completed,0.0013498980316300946,0.0021999999999999984,4.685487741904535E-4,22.0,22,0,10000,20000,0.0038472
tail3,90009,ce,Fitted,0.0013498980316300946,0.0013349129225733209,2.265903485514538E-5,2464.6598169397466,5062,1500,8500,20000,0.0058598
tail3,90009,supplied,Completed,0.0013498980316300946,0.0013671434687419055,2.6481713278818943E-5,2104.5388927563954,4541,0,10000,20000,0.0053522
tail3,90010,ce,Fitted,0.0013498980316300946,0.0013689696730985416,2.3202643900145113E-5,2469.8597344726704,5091,1500,8500,20000,0.0057841
tail3,90010,supplied,Completed,0.0013498980316300946,0.0013640608054181769,2.6905481279527E-5,2044.9109763552658,4524,0,10000,20000,0.0054039
tail3,90010,prior,Completed,0.0013498980316300946,0.0011999999999999984,3.4621956443661554E-4,12.0,12,0,10000,20000,0.003613
tail3,90011,supplied,Completed,0.0013498980316300946,0.0013218543857416154,2.5957607240911118E-5,2059.377262343111,4495,0,10000,20000,0.0053532
tail3,90011,prior,Completed,0.0013498980316300946,0.0012999999999999982,3.6033870788251316E-4,13.0,13,0,10000,20000,0.0037978
tail3,90011,ce,Fitted,0.0013498980316300946,0.001333706369406455,2.3125291376972473E-5,2390.8763244402653,5175,1500,8500,20000,0.0061899
tail3,90012,prior,Completed,0.0013498980316300946,0.0010999999999999992,3.314965897243885E-4,11.0,11,0,10000,20000,0.0055349
tail3,90012,ce,Fitted,0.0013498980316300946,0.0013109282674833005,2.239918856451196E-5,2441.635595687601,4947,1500,8500,20000,0.0060387
tail3,90012,supplied,Completed,0.0013498980316300946,0.0013490294833107817,2.6566691396314017E-5,2050.092466840601,4473,0,10000,20000,0.0052211
tail3,90013,ce,Fitted,0.0013498980316300946,0.0013630764937841088,2.2939554020160008E-5,2494.7773849112405,5126,1500,8500,20000,0.0056082
tail3,90013,supplied,Completed,0.0013498980316300946,0.0013419647715622706,2.6423538581243267E-5,2050.5891357240334,4530,0,10000,20000,0.0052605
tail3,90013,prior,Completed,0.0013498980316300946,0.0011999999999999984,3.4621956443661614E-4,12.0,12,0,10000,20000,0.0036429
tail3,90014,supplied,Completed,0.0013498980316300946,0.0013156378010176898,2.6137942063837625E-5,2021.5773941745135,4479,0,10000,20000,0.00563
tail3,90014,prior,Completed,0.0013498980316300946,6.999999999999995E-4,2.644957387172423E-4,7.0,7,0,10000,20000,0.0037017
tail3,90014,ce,Fitted,0.0013498980316300946,0.0013444487758975637,2.3199871788324455E-5,2407.415619750499,5103,1500,8500,20000,0.0059113
tail3,90015,prior,Completed,0.0013498980316300946,0.0016999999999999986,4.1198054905211036E-4,17.0,17,0,10000,20000,0.0037935
