"invocation","pair","position","variant","revision","runtimeHash","vectorPerformance","fixture","method","workers","round","seed","draws","warmUp","status","wallSeconds","constructionSeconds","samplingSeconds","diagnosticsSeconds","cpuSeconds","gcSeconds","evaluations","alignedDraws","minMeanEss","minBulkEss","minTailEss","maxRHat","maxMeanError","warningCoordinates","fingerprint","error"
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","correlated32","Quantile","4","3","443770","4000","500","Complete","0.932458","2.06E-5","0.8354607","0.0969767","4.265625","0.019","3292746","4000","8.551688513959126","8.66542172384507","23.37880092498311","1.3883316083476982","0.08359316129464744","32","3ae74ba297dfc21cabfcf0707b44b409c98d3bd3f9dfc2b6af98aa1fde2b375a",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","correlated32","Quantile","4","4","451689","4000","500","Complete","0.9115428","2.19E-5","0.8174994","0.0940215","4.1875","0.019","3210555","4000","32.00943946980557","33.91863557210035","93.00550074538009","1.0837128123690845","0.1407722816405288","32","6de2fd21c7960b9d9708ca419e8aba6e1a90d027a2db52b77e66a4a749ca160e",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","gaussian32","GPSS","1","-2","404175","4000","500","Complete","0.4317796","4.1E-5","0.1034292","0.3283094","0.46875","0.003","139155","4000","14560.87743232489","14566.888663880416","9030.296419517286","1.0011086994050007","0.013020088729037094","0","f3ae7e88a3469d95a481057ff78725be41612c1e7bdf2f3d1a7c73f5a42981cf",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","gaussian32","GPSS","1","-1","412094","4000","500","Complete","0.4309904","6.4E-5","0.1022007","0.3287257","0.46875","0.005","138730","4000","14723.327722756223","14738.615855733822","8857.898575485036","1.0012097458367082","0.014860253936955947","0","6d85793e19e5639b0a7430ab942ac98e6519fa4be0fbcee8a8930a2af289299d",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","gaussian32","GPSS","1","0","420013","4000","500","Complete","0.4325615","4.61E-5","0.1059213","0.3265941","0.4375","0.004","138723","4000","14789.309502344258","14770.299991933614","8878.031772176253","1.0012114173589253","0.02042856356087519","0","fb030bc811389f4cc0c40b053f280c25c0c5e58babb6d5eb761947efb8511783",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","gaussian32","GPSS","1","1","427932","4000","500","Complete","0.4300913","3.92E-5","0.1048304","0.3252217","0.421875","0.002","138788","4000","15028.158264845573","15037.33690560915","9075.6220980371","1.0011653829278853","0.016607695975976222","0","3d0bccbf5e695e5e8a5d89fa29a1a353b231a8693474ffa5e1944f58eee51881",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","gaussian32","GPSS","1","2","435851","4000","500","Complete","0.4331317","3.73E-5","0.106016","0.3270784","0.421875","0.004","138703","4000","14933.892470949851","14950.607747787408","8635.192267898514","1.001735370997425","0.021490044822388643","0","603bdfe20f551e62d9c5fbc68e896eb978d3c40134ec7e7cbc17b062760b5957",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","gaussian32","GPSS","1","3","443770","4000","500","Complete","0.4532197","3.97E-5","0.1198","0.33338","0.453125","0.004","138777","4000","15223.671841621832","15221.605805391002","9210.378340418303","1.0015395267295784","0.016172276604625724","0","2ead94f9fc645301334f7309cfcc4f5b6e54cfdca48deed2f7e56fe38456b29a",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","gaussian32","GPSS","1","4","451689","4000","500","Complete","0.4299506","4.1E-5","0.1031864","0.3267232","0.4375","0.003","138750","4000","14345.553258947568","14342.778169951296","8945.28266108745","1.0011866456042022","0.01864774016529802","0","d4278b864a0c0454d1730a6de2433aebfa0ebf5de90d82ef8563be3b95ce2d1a",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","gaussian32","GPSS","2","-2","404175","4000","500","Complete","0.2552207","1.311E-4","0.0742664","0.1808232","0.59375","0.005","139155","4000","14560.87743232489","14566.888663880416","9030.296419517286","1.0011086994050007","0.013020088729037094","0","f3ae7e88a3469d95a481057ff78725be41612c1e7bdf2f3d1a7c73f5a42981cf",""
