fixture,seed,parameterBudget,components,parameters,method,status,train,heldout,meanLogScore,scoreMCSE,regionProbability,referenceRegion,fitMillis,scoreMillis,sampleMillis,angularEvaluations
gvm-separated,1,27,4,23,gmm-wrapped-em,refused-IterationLimit,800,3000,,,,0.38166666666666665,204.2735,,,0
gvm-separated,1,27,4,23,gmm-chart-em,refused-IterationLimit,800,3000,,,,0.38166666666666665,201.9006,,,0
gvm-separated,1,27,4,27,gvm-em,IterationLimit,800,3000,-2.4031133900564674,0.017612172945478042,0.35433333333333333,0.38166666666666665,461.6753,1.475,0.5924,26707
gvm-separated,2,6,1,6,gvm-em,Converged,800,3000,-2.65999413441252,0.015382299674618117,0.24966666666666668,0.3636666666666667,4.9909,0.7054,0.5048,216
gvm-separated,2,6,1,5,gmm-chart-em,Fitted,800,3000,-2.6559217296386395,0.015480765209716479,0.25266666666666665,0.3636666666666667,1.1425,0.7605,0.5724,0
gvm-separated,2,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.659480846703844,0.015480765209716493,0.25166666666666665,0.3636666666666667,1.033,1.0337,0.4917,0
gvm-separated,2,13,2,13,gvm-em,Converged,800,3000,-2.4053019038331516,0.0187817622058647,0.38566666666666666,0.3636666666666667,60.7098,0.9162,0.5922,3322
gvm-separated,2,13,2,11,gmm-chart-em,Fitted,800,3000,-2.404712286080681,0.018777378573554184,0.37466666666666665,0.3636666666666667,11.7287,1.2394,0.5783,0
gvm-separated,2,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.4047127493240454,0.01877737857355419,0.37466666666666665,0.3636666666666667,12.322,2.0191,0.5934,0
gvm-separated,2,27,4,27,gvm-em,IterationLimit,800,3000,-2.4305265913569185,0.02077581703006747,0.383,0.3636666666666667,467.796,1.49,0.602,26826
gvm-separated,2,27,4,23,gmm-chart-em,Fitted,800,3000,-2.4074321396968026,0.018893423273362242,0.3903333333333333,0.3636666666666667,106.2171,2.2083,0.659,0
gvm-separated,2,27,4,23,gmm-wrapped-em,Fitted,800,3000,-2.4074333194580997,0.01889342327336224,0.3903333333333333,0.3636666666666667,107.2286,3.7352,0.6551,0
gvm-separated,3,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.6308024868015503,0.014156731331845246,0.23733333333333334,0.4053333333333333,1.0044,1.0475,0.4823,0
gvm-separated,3,6,1,5,gmm-chart-em,Fitted,800,3000,-2.6264807836624904,0.01415673133184526,0.23866666666666667,0.4053333333333333,1.021,0.7524,0.4885,0
gvm-separated,3,6,1,6,gvm-em,Converged,800,3000,-2.63058002513651,0.014192899957964319,0.23466666666666666,0.4053333333333333,5.049,0.7487,0.5272,216
gvm-separated,3,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.3638249827674276,0.016502191896829683,0.3333333333333333,0.4053333333333333,5.3036,1.9148,0.5214,0
gvm-separated,3,13,2,11,gmm-chart-em,Fitted,800,3000,-2.3638232085747273,0.016502191896829683,0.3333333333333333,0.4053333333333333,5.2978,1.2516,0.5069,0
gvm-separated,3,13,2,13,gvm-em,Converged,800,3000,-2.3633952949501245,0.01653075298134789,0.327,0.4053333333333333,80.4998,0.9152,0.5602,4416
gvm-separated,3,27,4,23,gmm-wrapped-em,refused-IterationLimit,800,3000,,,,0.4053333333333333,197.7122,,,0
gvm-separated,3,27,4,23,gmm-chart-em,refused-IterationLimit,800,3000,,,,0.4053333333333333,200.195,,,0
gvm-separated,3,27,4,27,gvm-em,IterationLimit,800,3000,-2.366920004167442,0.016699781108394474,0.3283333333333333,0.4053333333333333,460.4092,1.4749,0.5789,26695
