model,method,seed,draws,estimate,truth,ess,seconds
0,1,98019,6000,0.5013064696112947,0.5,4427.412932143931,0.001705
0,2,98019,6000,0.4979764828381276,0.5,5939.624876953443,0.0041141
1,0,98000,6000,0.9974723219024307,0.9975062344139651,5463.172198357223,0.0142317
1,1,98000,6000,0.9985813559126879,0.9975062344139651,257.3624491399417,0.0016161
1,2,98000,6000,0.9974723219024307,0.9975062344139651,5463.172198357223,0.0044619
1,3,98000,6000,0.9974723219024307,0.9975062344139651,5463.172198357223,0.003653
1,1,98001,6000,1.0006198240717863,0.9975062344139651,234.46915110824824,0.001722
1,2,98001,6000,0.9965924100108952,0.9975062344139651,5442.1232640106455,0.0043502
1,3,98001,6000,0.9965924100108952,0.9975062344139651,5442.1232640106455,0.0037621
1,0,98001,6000,0.9965924100108952,0.9975062344139651,5442.1232640106455,0.0154361
1,2,98002,6000,0.9965442846810784,0.9975062344139651,5442.70346464474,0.0043274
1,3,98002,6000,0.9965442846810784,0.9975062344139651,5442.70346464474,0.0036717
1,0,98002,6000,0.9965442846810784,0.9975062344139651,5442.70346464474,0.0146928
1,1,98002,6000,0.9961944260937868,0.9975062344139651,252.18970578578669,0.0016926
1,3,98003,6000,0.9994827516978309,0.9975062344139651,5433.361645011523,0.0038213
1,0,98003,6000,0.9994827516978309,0.9975062344139651,5433.361645011523,0.0145051
1,1,98003,6000,0.9942763949150751,0.9975062344139651,252.75120901390915,0.0017469
1,2,98003,6000,0.9994827516978309,0.9975062344139651,5433.361645011523,0.0043077
1,0,98004,6000,0.9978738135366878,0.9975062344139651,5442.0820089712215,0.0176851
1,1,98004,6000,0.9971595870372744,0.9975062344139651,260.5399062998628,0.0016942
1,2,98004,6000,0.9978738135366878,0.9975062344139651,5442.0820089712215,0.0044659
1,3,98004,6000,0.9978738135366878,0.9975062344139651,5442.0820089712215,0.0035448
1,1,98005,6000,1.0024039430657428,0.9975062344139651,270.4750245638726,0.0016487
1,2,98005,6000,0.9974838312354919,0.9975062344139651,5461.975830250753,0.0041378
1,3,98005,6000,0.9974838312354919,0.9975062344139651,5461.975830250753,0.0033903
1,0,98005,6000,0.9974838312354919,0.9975062344139651,5461.975830250753,0.0159686
1,2,98006,6000,0.9983829733881646,0.9975062344139651,5437.65802348076,0.0046571
1,3,98006,6000,0.9983829733881646,0.9975062344139651,5437.65802348076,0.0042764
1,0,98006,6000,0.9983829733881646,0.9975062344139651,5437.65802348076,0.0144528
1,1,98006,6000,0.9952181556677081,0.9975062344139651,277.0221487751656,0.0016685
1,3,98007,6000,0.9977999529209013,0.9975062344139651,5501.255540424417,0.0034911
1,0,98007,6000,0.9977999529209013,0.9975062344139651,5501.255540424417,0.0143532
1,1,98007,6000,0.9940496412002212,0.9975062344139651,248.470409095695,0.0016138
1,2,98007,6000,0.9977999529209013,0.9975062344139651,5501.255540424417,0.0039696
1,0,98008,6000,0.9981510433552055,0.9975062344139651,5419.626540336253,0.0139037
1,1,98008,6000,0.9969142212919979,0.9975062344139651,250.08854686117053,0.0016244
1,2,98008,6000,0.9981510433552055,0.9975062344139651,5419.626540336253,0.0039305
1,3,98008,6000,0.9981510433552055,0.9975062344139651,5419.626540336253,0.0034802
1,1,98009,6000,0.9945023919522862,0.9975062344139651,229.40683896352058,0.0016931
1,2,98009,6000,0.997018443598103,0.9975062344139651,5452.4312361975235,0.004361
1,3,98009,6000,0.997018443598103,0.9975062344139651,5452.4312361975235,0.003521
1,0,98009,6000,0.997018443598103,0.9975062344139651,5452.4312361975235,0.018589
1,2,98010,6000,0.997333512958174,0.9975062344139651,5477.183980064104,0.0043768
1,3,98010,6000,0.997333512958174,0.9975062344139651,5477.183980064104,0.0035254
1,0,98010,6000,0.997333512958174,0.9975062344139651,5477.183980064104,0.014193
1,1,98010,6000,0.9937752574392897,0.9975062344139651,241.50612955238424,0.0016309
1,3,98011,6000,0.9981371731815623,0.9975062344139651,5465.358067440825,0.0040438
1,0,98011,6000,0.9981371731815623,0.9975062344139651,5465.358067440825,0.0141534
1,1,98011,6000,0.9987324267528253,0.9975062344139651,279.61521458823,0.0016451
1,2,98011,6000,0.9981371731815623,0.9975062344139651,5465.358067440825,0.0042682
1,0,98012,6000,0.9980594179758903,0.9975062344139651,5445.870679518285,0.0137857
1,1,98012,6000,0.9985869615379961,0.9975062344139651,250.44136621692928,0.0016187
1,2,98012,6000,0.9980594179758903,0.9975062344139651,5445.870679518285,0.0040562
1,3,98012,6000,0.9980594179758903,0.9975062344139651,5445.870679518285,0.0036546
1,1,98013,6000,0.9984081048026305,0.9975062344139651,249.62559309668208,0.0021123
1,2,98013,6000,0.9968582558102189,0.9975062344139651,5442.075258572178,0.0042331
1,3,98013,6000,0.9968582558102189,0.9975062344139651,5442.075258572178,0.0038776
1,0,98013,6000,0.9968582558102189,0.9975062344139651,5442.075258572178,0.0142114
1,2,98014,6000,0.9969826360797333,0.9975062344139651,5426.68222766352,0.004104
1,3,98014,6000,0.9969826360797333,0.9975062344139651,5426.68222766352,0.0036958
1,0,98014,6000,0.9969826360797333,0.9975062344139651,5426.68222766352,0.016879
1,1,98014,6000,0.99948028291593,0.9975062344139651,271.4289551689147,0.0016772
1,3,98015,6000,0.9982605041375076,0.9975062344139651,5453.537842077948,0.0040462
1,0,98015,6000,0.9982605041375076,0.9975062344139651,5453.537842077948,0.0137249
1,1,98015,6000,0.99622677006025,0.9975062344139651,240.03717727551626,0.0016775
1,2,98015,6000,0.9982605041375076,0.9975062344139651,5453.537842077948,0.0043069
1,0,98016,6000,0.9971598244621992,0.9975062344139651,5450.87677819129,0.0140831
1,1,98016,6000,0.9983171158874513,0.9975062344139651,279.58987978772853,0.0017064
1,2,98016,6000,0.9971598244621992,0.9975062344139651,5450.87677819129,0.0042717
1,3,98016,6000,0.9971598244621992,0.9975062344139651,5450.87677819129,0.0039805
1,1,98017,6000,1.001262831866529,0.9975062344139651,251.23480303106814,0.002161
1,2,98017,6000,0.9977329812931108,0.9975062344139651,5446.242338338609,0.004648
1,3,98017,6000,0.9977329812931108,0.9975062344139651,5446.242338338609,0.0035671
1,0,98017,6000,0.9977329812931108,0.9975062344139651,5446.242338338609,0.014237
1,2,98018,6000,0.9970084436067999,0.9975062344139651,5471.1401506962275,0.0042555
1,3,98018,6000,0.9970084436067999,0.9975062344139651,5471.1401506962275,0.0036276
1,0,98018,6000,0.9970084436067999,0.9975062344139651,5471.1401506962275,0.0141339
1,1,98018,6000,0.9985709945484037,0.9975062344139651,251.02137743465155,0.001665
1,3,98019,6000,0.9973766398698174,0.9975062344139651,5448.28934682239,0.0033866
1,0,98019,6000,0.9973766398698174,0.9975062344139651,5448.28934682239,0.0142829
1,1,98019,6000,0.996157833131664,0.9975062344139651,253.59319629137298,0.0016862
1,2,98019,6000,0.9973766398698174,0.9975062344139651,5448.28934682239,0.0075039
2,0,98000,6000,0.4774097303270429,0.47521106785827344,5964.473671561662,0.0428827
2,1,98000,6000,0.4758938471796523,0.47521106785827344,4738.041505798293,0.007742
2,2,98000,6000,0.4774097303270429,0.47521106785827344,5964.473671561662,0.007326
2,3,98000,6000,0.4774097303270429,0.47521106785827344,5964.473671561662,0.0319851
2,1,98001,6000,0.4570058279894508,0.47521106785827344,4732.446241283027,0.0057477
2,2,98001,6000,0.45664974737116726,0.47521106785827344,5964.758453467364,0.0083483
2,3,98001,6000,0.45664974737116726,0.47521106785827344,5964.758453467364,0.0339086
2,0,98001,6000,0.45664974737116726,0.47521106785827344,5964.758453467364,0.0428118
2,2,98002,6000,0.46462621942735755,0.47521106785827344,5964.657581204411,0.0083903
