fixture,seed,components,method,parameters,status,train,heldout,draws,chartCenter,meanLogScore,regionProbability,referenceRegion,fitMillis,scoreMillis,drawMillis
curved,103004,1,gvm-regression,6,completed,1200,4000,4000,0.4838928605992185,-1.4890508005050684,0.043,0.03875,0.6946,1.3935,0.7845
curved,103004,2,gmm-chart-moments,11,completed,1200,4000,4000,0.4838928605992185,-2.7412221231114495,0.134,0.03875,0.4902,1.4677,0.7303
curved,103004,2,gvm-regression,13,completed,1200,4000,4000,0.4838928605992185,-1.632898105319891,0.02075,0.03875,0.5773,1.7634,0.7359
curved,103004,4,gmm-chart-moments,23,completed,1200,4000,4000,0.4838928605992185,-2.1754338096853636,0.10225,0.03875,0.5959,2.6276,0.7037
curved,103004,4,gvm-regression,27,completed,1200,4000,4000,0.4838928605992185,-1.5794626816519786,0.035,0.03875,0.6502,1.7786,0.8603
seam,103000,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.0415761626592572,-1.9644171390539187,0.0065,0.03475,0.6969,0.845,0.5974
seam,103000,1,gvm-regression,6,completed,1200,4000,4000,-3.0415761626592572,-1.4988718888592973,0.033,0.03475,0.9832,0.8591,1.0082
seam,103000,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.0415761626592572,-1.7097838048757326,0.016,0.03475,0.605,1.6198,0.9402
seam,103000,2,gvm-regression,13,completed,1200,4000,4000,-3.0415761626592572,-1.5427350949531904,0.0165,0.03475,0.7254,1.0757,0.7942
seam,103000,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.0415761626592572,-1.672087070439738,0.0255,0.03475,0.6464,3.2955,0.8982
seam,103000,4,gvm-regression,27,completed,1200,4000,4000,-3.0415761626592572,-1.5745684036261203,0.02175,0.03475,0.8079,1.6269,0.7946
seam,103001,1,gvm-regression,6,completed,1200,4000,4000,-3.0237307745417272,-1.488062412892449,0.03525,0.03475,0.7408,0.6752,0.7923
seam,103001,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.0237307745417272,-1.9490955310226377,0.01275,0.03475,0.6826,1.1785,0.7914
seam,103001,2,gvm-regression,13,completed,1200,4000,4000,-3.0237307745417272,-1.541718889829234,0.02,0.03475,0.5034,1.0989,0.9713
seam,103001,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.0237307745417272,-1.7037080876683643,0.0225,0.03475,0.5929,2.1457,0.9807
seam,103001,4,gvm-regression,27,completed,1200,4000,4000,-3.0237307745417272,-1.5650728739668378,0.02675,0.03475,0.4834,1.6749,0.7464
seam,103001,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.0237307745417272,-1.662459034593803,0.02725,0.03475,0.4913,2.6273,0.4799
seam,103002,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.0457529752504175,-1.969675198130585,0.01,0.0385,0.5637,0.7865,0.5919
seam,103002,1,gvm-regression,6,completed,1200,4000,4000,-3.0457529752504175,-1.489214711037171,0.0345,0.0385,0.8777,0.7408,0.7851
seam,103002,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.0457529752504175,-1.8159990807930197,0.017,0.0385,0.6588,2.1199,0.8372
seam,103002,2,gvm-regression,13,completed,1200,4000,4000,-3.0457529752504175,-1.525946656071496,0.025,0.0385,0.4906,1.0417,0.7552
seam,103002,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.0457529752504175,-1.770134700651503,0.031,0.0385,0.4757,2.3152,1.0045
