fixture,seed,components,method,parameters,status,train,heldout,draws,chartCenter,meanLogScore,regionProbability,referenceRegion,fitMillis,scoreMillis,drawMillis
seam,103000,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.0415761626592572,-1.672087070439738,0.0255,0.03475,0.5469,3.637,1.1274
seam,103000,4,gvm-regression,27,completed,1200,4000,4000,-3.0415761626592572,-1.5745684036261203,0.02175,0.03475,1.3315,2.4755,0.9037
seam,103001,1,gvm-regression,6,completed,1200,4000,4000,-3.0237307745417272,-1.488062412892449,0.03525,0.03475,0.6394,0.7834,0.7218
seam,103001,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.0237307745417272,-1.9490955310226377,0.01275,0.03475,0.7639,1.4388,0.5657
seam,103001,2,gvm-regression,13,completed,1200,4000,4000,-3.0237307745417272,-1.541718889829234,0.02,0.03475,0.6208,1.035,0.9185
seam,103001,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.0237307745417272,-1.7037080876683643,0.0225,0.03475,0.5685,2.7363,1.0471
seam,103001,4,gvm-regression,27,completed,1200,4000,4000,-3.0237307745417272,-1.5650728739668378,0.02675,0.03475,0.8474,2.1547,0.9281
seam,103001,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.0237307745417272,-1.662459034593803,0.02725,0.03475,0.6817,3.4021,0.7072
seam,103002,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.0457529752504175,-1.969675198130585,0.01,0.0385,0.5622,0.9672,0.7441
seam,103002,1,gvm-regression,6,completed,1200,4000,4000,-3.0457529752504175,-1.489214711037171,0.0345,0.0385,0.7108,0.9743,0.7889
seam,103002,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.0457529752504175,-1.8159990807930197,0.017,0.0385,1.1968,2.0909,0.6851
seam,103002,2,gvm-regression,13,completed,1200,4000,4000,-3.0457529752504175,-1.525946656071496,0.025,0.0385,0.6934,1.0827,0.7782
seam,103002,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.0457529752504175,-1.770134700651503,0.031,0.0385,0.6474,3.0931,0.7338
seam,103002,4,gvm-regression,27,completed,1200,4000,4000,-3.0457529752504175,-1.5620151533609319,0.03375,0.0385,0.7698,1.8236,1.14
seam,103003,1,gvm-regression,6,completed,1200,4000,4000,-3.019916221351017,-1.523727987392553,0.0445,0.03775,0.7145,0.9889,0.8508
seam,103003,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.019916221351017,-1.9908978664875145,0.01225,0.03775,0.8318,1.0334,0.7395
seam,103003,2,gvm-regression,13,completed,1200,4000,4000,-3.019916221351017,-1.5710961215515067,0.028,0.03775,0.4679,1.0984,0.7735
seam,103003,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.019916221351017,-1.8309259662087298,0.02575,0.03775,0.4165,1.875,0.7391
seam,103003,4,gvm-regression,27,completed,1200,4000,4000,-3.019916221351017,-1.5906948881277487,0.04125,0.03775,0.4574,1.5713,0.827
seam,103003,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.019916221351017,-1.7693943970001291,0.04025,0.03775,0.6887,4.4306,0.9602
seam,103004,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.0429476344929123,-1.958856661942704,0.01075,0.03725,0.6919,0.982,0.7659
seam,103004,1,gvm-regression,6,completed,1200,4000,4000,-3.0429476344929123,-1.4973069354226543,0.03725,0.03725,0.6448,0.7513,0.7263
seam,103004,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.0429476344929123,-1.7484220032955025,0.02425,0.03725,0.431,1.9274,0.7074
seam,103004,2,gvm-regression,13,completed,1200,4000,4000,-3.0429476344929123,-1.5408583197966412,0.03325,0.03725,0.6302,1.1195,0.9336
seam,103004,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.0429476344929123,-1.7110390252024248,0.03925,0.03725,0.6503,4.4767,0.8126
seam,103004,4,gvm-regression,27,completed,1200,4000,4000,-3.0429476344929123,-1.5667781149598337,0.046,0.03725,0.6212,1.6629,0.7253
separated,103000,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.01705453676543185,-2.6351207482738164,0.24775,0.36675,0.5338,0.7451,0.4883
separated,103000,1,gvm-regression,6,completed,1200,4000,4000,-0.01705453676543185,-2.6417487755623,0.238,0.36675,0.9425,0.9073,0.7818
separated,103000,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.01705453676543185,-2.3840683692789484,0.36525,0.36675,0.4592,3.1407,0.6815
separated,103000,2,gvm-regression,13,completed,1200,4000,4000,-0.01705453676543185,-2.3861683148819925,0.36975,0.36675,0.4925,1.0521,0.7399
separated,103000,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.01705453676543185,-2.430238080070265,0.35675,0.36675,0.4343,2.7579,0.8028
separated,103000,4,gvm-regression,27,completed,1200,4000,4000,-0.01705453676543185,-2.4304074341793043,0.359,0.36675,0.4167,1.5041,0.7289
separated,103001,1,gvm-regression,6,completed,1200,4000,4000,-0.010178321684032274,-2.648417590098016,0.27025,0.37925,0.5255,0.6405,0.7393
separated,103001,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.010178321684032274,-2.6444322029272844,0.26225,0.37925,0.5003,0.9075,0.9898
separated,103001,2,gvm-regression,13,completed,1200,4000,4000,-0.010178321684032274,-2.379266204682289,0.3775,0.37925,0.4376,1.0879,0.6899
separated,103001,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.010178321684032274,-2.378088677753845,0.38325,0.37925,0.408,1.6313,0.5412
separated,103001,4,gvm-regression,27,completed,1200,4000,4000,-0.010178321684032274,-2.432922863952559,0.3635,0.37925,0.3274,1.6557,0.7079
separated,103001,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.010178321684032274,-2.431048266021878,0.37075,0.37925,0.4279,3.0578,0.6607
separated,103002,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.04887037824077793,-2.6303920542940253,0.2405,0.36275,0.5169,0.8118,0.5709
separated,103002,1,gvm-regression,6,completed,1200,4000,4000,-0.04887037824077793,-2.6345901540973005,0.24375,0.36275,0.4958,0.7548,0.7504
separated,103002,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.04887037824077793,-2.3941717861284335,0.35475,0.36275,0.4453,1.7376,0.6175
separated,103002,2,gvm-regression,13,completed,1200,4000,4000,-0.04887037824077793,-2.3899710688118874,0.367,0.36275,0.4231,0.9966,0.7439
separated,103002,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.04887037824077793,-2.4315609038284474,0.342,0.36275,0.3997,2.6863,0.5094
separated,103002,4,gvm-regression,27,completed,1200,4000,4000,-0.04887037824077793,-2.4288578346624856,0.361,0.36275,0.8033,1.8062,0.7132
separated,103003,1,gvm-regression,6,completed,1200,4000,4000,0.03780751188475695,-2.6783767682969226,0.26325,0.356,0.5263,1.2945,0.6781
separated,103003,1,gmm-chart-moments,5,completed,1200,4000,4000,0.03780751188475695,-2.6709698996466096,0.2595,0.356,0.594,0.9455,0.7258
separated,103003,2,gvm-regression,13,completed,1200,4000,4000,0.03780751188475695,-2.4521580787996475,0.3585,0.356,0.5593,1.4398,0.6883
separated,103003,2,gmm-chart-moments,11,completed,1200,4000,4000,0.03780751188475695,-2.446186545893795,0.371,0.356,0.4921,1.6124,0.5525
separated,103003,4,gvm-regression,27,completed,1200,4000,4000,0.03780751188475695,-2.4937296655638654,0.351,0.356,0.3826,1.5771,0.7347
separated,103003,4,gmm-chart-moments,23,completed,1200,4000,4000,0.03780751188475695,-2.4978441310631947,0.36375,0.356,0.4132,2.7439,0.579
separated,103004,1,gmm-chart-moments,5,completed,1200,4000,4000,0.010937177105002294,-2.633772944486629,0.26125,0.3795,0.4686,0.842,0.5302
separated,103004,1,gvm-regression,6,completed,1200,4000,4000,0.010937177105002294,-2.6382423250292204,0.259,0.3795,0.4736,0.7462,0.6446
separated,103004,2,gmm-chart-moments,11,completed,1200,4000,4000,0.010937177105002294,-2.373109107335278,0.3765,0.3795,0.3095,1.661,0.482
separated,103004,2,gvm-regression,13,completed,1200,4000,4000,0.010937177105002294,-2.3748483820931665,0.38575,0.3795,0.3208,0.9706,0.6673
separated,103004,4,gmm-chart-moments,23,completed,1200,4000,4000,0.010937177105002294,-2.4174254260911314,0.37225,0.3795,0.3437,2.8419,0.5096
separated,103004,4,gvm-regression,27,completed,1200,4000,4000,0.010937177105002294,-2.418151009652793,0.38475,0.3795,0.3481,1.5772,0.6698
