jvm,seed,model,method,draws,nanos,covered,precision,error
0,17,1,1,500,551700,true,true,0.01695286080233314
0,17,1,0,31200,2761300,true,true,0.019997314923989158
0,17,2,1,500,1287100,true,true,0.016647831527041412
0,17,2,0,31200,7103000,true,true,0.019997314923989207
0,17,3,1,500,2293500,true,true,0.016635919383919173
0,17,3,0,31200,71857100,true,true,0.019997314923989207
0,18,0,0,31200,3183800,true,true,0.019997314923989207
0,18,0,1,21800,55295500,true,true,0.019966001208691075
0,18,1,0,31200,2781200,true,true,0.019997314923989158
0,18,1,1,500,582000,true,true,0.017724703421527165
0,18,2,0,31200,7410800,true,true,0.019997314923989207
0,18,2,1,500,1271400,true,true,0.016648128931127992
0,18,3,0,31200,71968200,true,true,0.019997314923989207
0,18,3,1,500,2249900,true,true,0.016635914613054525
0,19,0,1,21600,54795900,true,true,0.019973071366707895
0,19,0,0,31200,3280300,true,true,0.019997314923989262
0,19,1,1,500,602800,true,true,0.01695286080233314
0,19,1,0,31200,2545500,true,true,0.019997314923989155
0,19,2,1,500,1280000,true,true,0.016647858403821603
0,19,2,0,31200,6989000,true,true,0.019997314923989207
0,19,3,1,500,2676400,true,true,0.016635916027498865
0,19,3,0,31200,71428100,true,true,0.019997314923989262
1,0,0,0,31200,26326200,true,true,0.019997314923989207
1,0,0,1,21900,165578400,true,true,0.019981617777748595
1,0,1,0,31200,14801700,true,true,0.019997314923989158
1,0,1,1,500,2350700,true,true,0.01695286080233314
1,0,2,0,31200,15655100,true,true,0.019997314923989207
1,0,2,1,500,2566800,true,true,0.016649423766040006
1,0,3,0,31200,95756300,true,true,0.019997314923989262
1,0,3,1,500,3224100,true,true,0.016635938797892214
1,1,0,1,22200,98539400,true,true,0.019971456419683897
1,1,0,0,31200,4912300,true,true,0.019997314923989262
1,1,1,1,500,1382000,true,true,0.019258740607810257
1,1,1,0,31200,4335300,true,true,0.019997314923989155
1,1,2,1,500,1848600,true,true,0.016648972611980395
1,1,2,0,31200,11982700,true,true,0.019997314923989207
1,1,3,1,500,3137700,true,true,0.01663593159187332
1,1,3,0,31200,78181600,true,true,0.019997314923989207
1,2,0,0,31200,4441400,true,true,0.019997314923989207
1,2,0,1,21900,100837600,true,true,0.019995433611862956
1,2,1,0,31200,4165100,true,true,0.019997314923989155
1,2,1,1,500,874300,true,true,0.01695286080233314
1,2,2,0,31200,14442900,true,true,0.019997314923989207
1,2,2,1,500,1900300,true,true,0.016649980124603503
1,2,3,0,31200,82321700,true,true,0.019997314923989207
1,2,3,1,500,3331000,true,true,0.01663594333871793
1,3,0,1,21500,77109600,true,true,0.01996891533956585
1,3,0,0,31200,3255000,true,true,0.019997314923989207
1,3,1,1,500,734800,true,true,0.017724732147099593
1,3,1,0,31200,3330100,true,true,0.019997314923989155
1,3,2,1,500,1718900,true,true,0.01664823219856798
1,3,2,0,31200,10418800,true,true,0.019997314923989262
1,3,3,1,500,2466400,true,true,0.01663592336186881
1,3,3,0,31200,79264600,true,true,0.019997314923989262
1,4,0,0,31200,3632200,true,true,0.019997314923989207
1,4,0,1,21900,81769400,true,true,0.019987217733080598
1,4,1,0,31200,3839200,true,true,0.019997314923989155
1,4,1,1,500,783100,true,true,0.01695286080233314
1,4,2,0,31200,11585800,true,true,0.019997314923989262
1,4,2,1,500,1920100,true,true,0.016648844305329202
1,4,3,0,31200,79551500,true,true,0.019997314923989207
1,4,3,1,500,3022000,true,true,0.016635915962367687
1,5,0,1,21800,87260600,true,true,0.019994782339531836
1,5,0,0,31200,4206600,true,true,0.019997314923989207
1,5,1,1,500,1028300,true,true,0.017724020168585375
1,5,1,0,31200,3619400,true,true,0.019997314923989155
1,5,2,1,500,1721800,true,true,0.0166494379531823
1,5,2,0,31200,11446100,true,true,0.019997314923989207
1,5,3,1,500,2755400,true,true,0.01663593772763905
1,5,3,0,31200,76324800,true,true,0.019997314923989207
1,6,0,0,31200,3362400,true,true,0.019997314923989262
1,6,0,1,21800,52078600,true,true,0.01997576840336368
1,6,1,0,31200,2589200,true,true,0.019997314923989155
1,6,1,1,500,599700,true,true,0.01695286080233314
1,6,2,0,31200,7543000,true,true,0.019997314923989207
1,6,2,1,500,1294300,true,true,0.016648810577706175
1,6,3,0,31200,71723300,true,true,0.019997314923989262
1,6,3,1,500,2304900,true,true,0.016635924345446806
1,7,0,1,22000,63952900,true,true,0.019994589711548327
1,7,0,0,31200,3419200,true,true,0.019997314923989207
1,7,1,1,500,612000,true,true,0.01695286080233314
1,7,1,0,31200,2522300,true,true,0.019997314923989155
1,7,2,1,500,1328700,true,true,0.01664945128307993
1,7,2,0,31200,7682600,true,true,0.019997314923989207
1,7,3,1,500,2394600,true,true,0.016635932902862527
1,7,3,0,31200,73663700,true,true,0.019997314923989207
1,8,0,0,31200,4217900,true,true,0.019997314923989207
1,8,0,1,22100,57382400,true,true,0.019991666184780876
1,8,1,0,31200,2679200,true,true,0.019997314923989155
1,8,1,1,500,592000,true,true,0.01695286080233314
1,8,2,0,31200,7589400,true,true,0.019997314923989262
1,8,2,1,500,1277600,true,true,0.016648967558825722
1,8,3,0,31200,71821900,true,true,0.019997314923989207
1,8,3,1,500,2313600,true,true,0.016635930820200873
1,9,0,1,21700,65537500,true,true,0.019967213555354912
1,9,0,0,31200,3520900,true,true,0.019997314923989207
1,9,1,1,500,611000,true,true,0.017727727283136163
1,9,1,0,31200,2429200,true,true,0.019997314923989158
1,9,2,1,500,1633800,true,true,0.01664919161329448
1,9,2,0,31200,7197600,true,true,0.019997314923989207
1,9,3,1,500,2296100,true,true,0.016635934278393272
1,9,3,0,31200,72413100,true,true,0.019997314923989207
1,10,0,0,31200,3150100,true,true,0.019997314923989207
1,10,0,1,21800,63183000,true,true,0.01997320676497738
1,10,1,0,31200,2951600,true,true,0.019997314923989158
