GVM_AUDIT_TIMING case=ordinary method=full round=0 batch=128 nsPerCall=251114.84375
GVM_AUDIT_TIMING case=ordinary method=audited round=0 batch=256 nsPerCall=82078.515625
GVM_AUDIT_TIMING case=ordinary method=audited round=1 batch=256 nsPerCall=80312.109375
GVM_AUDIT_TIMING case=ordinary method=full round=1 batch=128 nsPerCall=230023.4375
GVM_AUDIT_TIMING case=ordinary method=full round=2 batch=128 nsPerCall=243600.0
GVM_AUDIT_TIMING case=ordinary method=audited round=2 batch=256 nsPerCall=83021.09375
GVM_AUDIT_TIMING case=ordinary method=audited round=3 batch=256 nsPerCall=80951.171875
GVM_AUDIT_TIMING case=ordinary method=full round=3 batch=128 nsPerCall=228803.90625
GVM_AUDIT_TIMING case=ordinary method=full round=4 batch=128 nsPerCall=274677.34375
GVM_AUDIT_TIMING case=ordinary method=audited round=4 batch=256 nsPerCall=84387.5
GVM_AUDIT_TIMING case=ordinary method=audited round=5 batch=256 nsPerCall=78961.71875
GVM_AUDIT_TIMING case=ordinary method=full round=5 batch=128 nsPerCall=230133.59375
GVM_AUDIT_TIMING case=ordinary method=full round=6 batch=128 nsPerCall=249779.6875
GVM_AUDIT_TIMING case=ordinary method=audited round=6 batch=256 nsPerCall=79796.484375
GVM_AUDIT_CHECK case=opposed identical=true evaluations=764 error=2.9810109936079243E-10
GVM_AUDIT_TIMING case=opposed method=full round=0 batch=128 nsPerCall=236173.4375
GVM_AUDIT_TIMING case=opposed method=audited round=0 batch=512 nsPerCall=75410.15625
GVM_AUDIT_TIMING case=opposed method=audited round=1 batch=512 nsPerCall=76725.390625
GVM_AUDIT_TIMING case=opposed method=full round=1 batch=128 nsPerCall=235701.5625
GVM_AUDIT_TIMING case=opposed method=full round=2 batch=128 nsPerCall=236051.5625
GVM_AUDIT_TIMING case=opposed method=audited round=2 batch=512 nsPerCall=77419.7265625
GVM_AUDIT_TIMING case=opposed method=audited round=3 batch=512 nsPerCall=79252.5390625
GVM_AUDIT_TIMING case=opposed method=full round=3 batch=128 nsPerCall=235701.5625
GVM_AUDIT_TIMING case=opposed method=full round=4 batch=128 nsPerCall=249053.125
GVM_AUDIT_TIMING case=opposed method=audited round=4 batch=512 nsPerCall=74975.9765625
