fixture,seed,parameterBudget,components,parameters,method,status,train,heldout,meanLogScore,scoreMCSE,regionProbability,referenceRegion,fitMillis,scoreMillis,sampleMillis,angularEvaluations
gvm-seam,0,13,2,13,gvm-em,IterationLimit,800,3000,-1.4814494315949787,0.019090420713109593,0.029666666666666668,0.031,247.8032,0.9386,0.5356,13947
gvm-seam,0,13,2,11,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.031,0.8817,,,0
gvm-seam,0,13,2,11,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.031,0.7721,,,0
gvm-seam,0,27,4,27,gvm-em,IterationLimit,800,3000,-1.4819079189774602,0.019101855930802294,0.028,0.031,469.9169,1.4406,0.55,27303
gvm-seam,0,27,4,23,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.031,1.5739,,,0
gvm-seam,0,27,4,23,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.031,1.2816,,,0
gvm-seam,1,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.8986331434272803,0.027690599425542924,0.011333333333333334,0.035,0.8859,1.0693,0.4926,0
gvm-seam,1,6,1,5,gmm-chart-em,Fitted,800,3000,-1.9748000530174694,0.05074820431776045,0.011333333333333334,0.035,0.9153,0.9107,0.5361,0
gvm-seam,1,6,1,6,gvm-em,Converged,800,3000,-1.5095009570971554,0.01821891936898159,0.04733333333333333,0.035,5.2969,0.8645,0.4964,228
gvm-seam,1,13,2,11,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.035,0.7506,,,0
gvm-seam,1,13,2,11,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.035,0.714,,,0
gvm-seam,1,13,2,13,gvm-em,IterationLimit,800,3000,-1.5118921140787955,0.018495136157214855,0.04033333333333333,0.035,244.7775,0.9368,0.533,13799
gvm-seam,1,27,4,23,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.035,1.432,,,0
gvm-seam,1,27,4,23,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.035,1.2547,,,0
gvm-seam,1,27,4,27,gvm-em,IterationLimit,800,3000,-1.5276985698675107,0.019096468721402696,0.041,0.035,462.7433,1.442,0.5458,27166
gvm-seam,2,6,1,6,gvm-em,Converged,800,3000,-1.5241359767747533,0.018784823272003436,0.03833333333333333,0.036333333333333336,5.29,0.6781,0.4974,228
gvm-seam,2,6,1,5,gmm-chart-em,Fitted,800,3000,-1.985255077410854,0.03468140451087405,0.008333333333333333,0.036333333333333336,1.0213,0.7252,0.4926,0
gvm-seam,2,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.9532968759899076,0.024755280357400582,0.008333333333333333,0.036333333333333336,0.9077,1.0264,0.498,0
gvm-seam,2,13,2,13,gvm-em,IterationLimit,800,3000,-1.532217663966779,0.019625501577980545,0.04,0.036333333333333336,245.7963,0.9435,0.5447,13914
gvm-seam,2,13,2,11,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.036333333333333336,0.8,,,0
gvm-seam,2,13,2,11,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.036333333333333336,0.6504,,,0
gvm-seam,2,27,4,27,gvm-em,IterationLimit,800,3000,-1.5442384595523038,0.019229609974656992,0.044333333333333336,0.036333333333333336,465.1861,1.4481,0.5545,27182
gvm-seam,2,27,4,23,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.036333333333333336,1.4632,,,0
gvm-seam,2,27,4,23,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.036333333333333336,1.2759,,,0
gvm-seam,3,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.8649610524476927,0.0248748945830113,0.010666666666666666,0.032,0.9075,1.0289,0.5142,0
gvm-seam,3,6,1,5,gmm-chart-em,Fitted,800,3000,-1.905966611255857,0.03985375663337965,0.010666666666666666,0.032,0.9179,0.7366,0.4963,0
gvm-seam,3,6,1,6,gvm-em,Converged,800,3000,-1.486436239214654,0.017873324657299013,0.03933333333333333,0.032,5.151,0.7047,0.4811,228
gvm-seam,3,13,2,11,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.032,0.6548,,,0
gvm-seam,3,13,2,11,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.032,0.5947,,,0
gvm-seam,3,13,2,13,gvm-em,IterationLimit,800,3000,-1.4953538350747106,0.01864016834383781,0.03933333333333333,0.032,244.3584,0.933,0.5499,13827
gvm-seam,3,27,4,23,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.032,1.4752,,,0
gvm-seam,3,27,4,23,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.032,1.2536,,,0
gvm-seam,3,27,4,27,gvm-em,IterationLimit,800,3000,-1.4975200955027206,0.018792690485562615,0.035333333333333335,0.032,465.0448,1.4597,0.5969,27273
gvm-seam,4,6,1,6,gvm-em,Converged,800,3000,-1.5216513008743453,0.018984773407392314,0.034666666666666665,0.04066666666666666,5.492,0.7443,0.4871,228
gvm-seam,4,6,1,5,gmm-chart-em,Fitted,800,3000,-2.0018086929812338,0.0597943164902273,0.005666666666666667,0.04066666666666666,1.0836,0.7783,0.5123,0
gvm-seam,4,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.9287948187552169,0.03645228604323636,0.005666666666666667,0.04066666666666666,0.9978,1.0584,0.5326,0
gvm-seam,4,13,2,13,gvm-em,IterationLimit,800,3000,-1.527265210554056,0.019328353515637706,0.03233333333333333,0.04066666666666666,243.7209,0.9432,0.5597,13669
gvm-seam,4,13,2,11,gmm-chart-em,Fitted,800,3000,-1.7195372393250852,0.052014219951417424,0.015,0.04066666666666666,23.7657,1.3849,0.5532,0
gvm-seam,4,13,2,11,gmm-wrapped-em,Fitted,800,3000,-1.6497874547320666,0.027406101631255515,0.015,0.04066666666666666,23.8648,1.9976,0.5555,0
gvm-seam,4,27,4,27,gvm-em,IterationLimit,800,3000,-1.553588067058794,0.02137097600382607,0.021666666666666667,0.04066666666666666,462.9993,1.5244,0.5374,27124
gvm-seam,4,27,4,23,gmm-chart-em,Fitted,800,3000,-1.734545095396123,0.08075629687353045,0.020666666666666667,0.04066666666666666,72.6371,2.104,0.5898,0
gvm-seam,4,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.5976885570365824,0.028517366451217236,0.020666666666666667,0.04066666666666666,72.1591,3.54,0.5982,0
