SV,mode,family,rng,seed,draws,parameter,mean,error,mcse,ess,maxWeight,covered95,withinPointOnePosteriorSd,seconds,underflows
SV,backends,gamma,Xoshiro256PlusPlus,8928,200000,1,1.8396211840570809,-0.0051081628673710355,0.006575988754321932,415.5226477397149,0.0047111838010296106,true,true,0.0277718,0
SV,backends,gamma,PCG_RXS_M_XS_64,8928,200000,0,2.1027804715816236,-0.005089501588012357,0.006488917967467487,451.94030298054173,0.004423447013082537,true,true,0.0276549,0
SV,backends,gamma,PCG_RXS_M_XS_64,8928,200000,1,1.842442006049265,-0.002287340875186894,0.006407592033679626,451.94030298054173,0.004423447013082537,true,true,0.0276549,0
SV,backends,gamma,MT19937,8928,200000,0,2.1060637855530326,-0.0018061876166033386,0.0069735561857808565,413.01925169868457,0.0048645719423200985,true,true,0.0283393,0
SV,backends,gamma,MT19937,8928,200000,1,1.8407341758352276,-0.003995171089224314,0.006822854674935458,413.01925169868457,0.0048645719423200985,true,true,0.0283393,0
SV,backends,gamma,Random,8928,200000,0,2.1039392647734103,-0.003930708396225668,0.006980992031277596,447.42692023809633,0.004497726687236253,true,true,0.0272274,0
SV,backends,gamma,Random,8928,200000,1,1.8546981383459136,0.009968791421461676,0.006795314081564573,447.42692023809633,0.004497726687236253,true,true,0.0272274,0
SV,backends,dirichlet,L64X128MixRandom,8928,2000,0,0.8663026581045341,0.025286507381633072,4.0569575377936854E-4,1.0093991601937413,0.9953223008336011,false,false,7.848E-4,0
SV,backends,dirichlet,L64X128MixRandom,8928,2000,1,2.275953096103114,0.36500234086647887,3.5941803379022894E-4,1.0093991601937413,0.9953223008336011,false,false,7.848E-4,0
SV,backends,dirichlet,L64X128MixRandom,8928,2000,2,2.887283615926057,0.246944337202204,0.004145997656898375,1.0093991601937413,0.9953223008336011,false,false,7.848E-4,0
SV,backends,dirichlet,Xoshiro256PlusPlus,8928,2000,0,0.7835147704663502,-0.05750138025655083,0.0,1.0000000000093796,0.9999999999953102,false,false,7.54E-4,0
SV,backends,dirichlet,Xoshiro256PlusPlus,8928,2000,1,1.7380844604382641,-0.1728662947983708,2.1073424255348186E-8,1.0000000000093796,0.9999999999953102,false,false,7.54E-4,0
SV,backends,dirichlet,Xoshiro256PlusPlus,8928,2000,2,2.272153994790621,-0.368185283933232,0.0,1.0000000000093796,0.9999999999953102,false,false,7.54E-4,0
SV,backends,dirichlet,PCG_RXS_M_XS_64,8928,2000,0,0.792852241480334,-0.04816390924256708,0.005978162776404849,1.9782284660246068,0.5524862609357994,false,false,7.25E-4,0
SV,backends,dirichlet,PCG_RXS_M_XS_64,8928,2000,1,2.1146367716005625,0.20368601636392758,0.03287991520425793,1.9782284660246068,0.5524862609357994,false,false,7.25E-4,0
SV,backends,dirichlet,PCG_RXS_M_XS_64,8928,2000,2,1.9406586577160465,-0.6996806210078064,0.031482858625601025,1.9782284660246068,0.5524862609357994,false,false,7.25E-4,0
SV,backends,dirichlet,MT19937,8928,2000,0,0.9757584813344036,0.13474233061150254,7.377941979991922E-7,1.000003803448989,0.9999980982791293,false,false,7.918E-4,0
SV,backends,dirichlet,MT19937,8928,2000,1,2.7107849120510528,0.7998341568144178,2.2484422021941517E-6,1.000003803448989,0.9999980982791293,false,false,7.918E-4,0
SV,backends,dirichlet,MT19937,8928,2000,2,2.9773723846159443,0.33703310589209146,1.2915079279917611E-6,1.000003803448989,0.9999980982791293,false,false,7.918E-4,0
SV,backends,dirichlet,Random,8928,2000,0,0.8893997116721264,0.04838356094922536,5.564375515205956E-6,1.0063890108683757,0.996815691938163,false,false,6.896E-4,0
SV,backends,dirichlet,Random,8928,2000,1,2.237861916710935,0.3269111614742999,1.0660981607111706E-4,1.0063890108683757,0.996815691938163,false,false,6.896E-4,0
SV,backends,dirichlet,Random,8928,2000,2,2.7978620095164457,0.15752273079259282,0.0014736977376212216,1.0063890108683757,0.996815691938163,false,false,6.896E-4,0
SV,backends,dirichlet,L64X128MixRandom,8928,20000,0,0.8809586814426622,0.03994253071976117,0.026905843115928897,3.9143780735381486,0.4152878442996861,true,false,0.008648,0
SV,backends,dirichlet,L64X128MixRandom,8928,20000,1,1.9102754223843035,-6.753328523314561E-4,0.032727452038791655,3.9143780735381486,0.4152878442996861,true,true,0.008648,0
SV,backends,dirichlet,L64X128MixRandom,8928,20000,2,2.555499128891645,-0.08484014983220778,0.03164926042175364,3.9143780735381486,0.4152878442996861,false,false,0.008648,0
SV,backends,dirichlet,Xoshiro256PlusPlus,8928,20000,0,0.7982485877128889,-0.042767563010012166,0.007635328480367102,1.9777849393574665,0.5777469431575468,false,false,0.0073051,0
SV,backends,dirichlet,Xoshiro256PlusPlus,8928,20000,1,1.7190994510308444,-0.19185130420579055,0.014599876586534813,1.9777849393574665,0.5777469431575468,false,false,0.0073051,0
SV,backends,dirichlet,Xoshiro256PlusPlus,8928,20000,2,2.430599322329549,-0.2097399563943041,0.08962628367461374,1.9777849393574665,0.5777469431575468,false,false,0.0073051,0
SV,backends,dirichlet,PCG_RXS_M_XS_64,8928,20000,0,1.0270219189459011,0.18600576822300008,0.023969333022000973,1.4332817571198373,0.8265568890940702,false,false,0.0069751,0
SV,backends,dirichlet,PCG_RXS_M_XS_64,8928,20000,1,2.1018137883941486,0.19086303315751363,0.017797258976133584,1.4332817571198373,0.8265568890940702,false,false,0.0069751,0
SV,backends,dirichlet,PCG_RXS_M_XS_64,8928,20000,2,2.867370802675328,0.2270315239514753,0.07320810486377877,1.4332817571198373,0.8265568890940702,false,false,0.0069751,0
