fixture,seed,parameterBudget,components,parameters,method,status,train,heldout,meanLogScore,scoreMCSE,regionProbability,referenceRegion,fitMillis,scoreMillis,sampleMillis,angularEvaluations
gvm-seam,0,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.8713853779602176,0.028321199778621003,0.0023333333333333335,0.031,1.0462,1.1193,0.5201,0
gvm-seam,0,13,2,13,gvm-em,IterationLimit,800,3000,-1.4814494315949787,0.019090420713109593,0.029666666666666668,0.031,254.7144,0.9403,0.546,13947
gvm-seam,0,13,2,11,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.031,1.0122,,,0
gvm-seam,0,13,2,11,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.031,0.999,,,0
gvm-seam,0,27,4,27,gvm-em,IterationLimit,800,3000,-1.4819079189774602,0.019101855930802294,0.028,0.031,477.4839,1.4797,0.57,27303
gvm-seam,0,27,4,23,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.031,1.8511,,,0
gvm-seam,0,27,4,23,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.031,1.546,,,0
gvm-seam,1,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.8986331434272803,0.027690599425542924,0.011333333333333334,0.035,1.0796,1.0922,0.5307,0
gvm-seam,1,6,1,5,gmm-chart-em,Fitted,800,3000,-1.9748000530174694,0.05074820431776045,0.011333333333333334,0.035,1.1179,0.9191,0.5302,0
gvm-seam,1,6,1,6,gvm-em,Converged,800,3000,-1.5095009570971554,0.01821891936898159,0.04733333333333333,0.035,5.3403,0.7689,0.4955,228
gvm-seam,1,13,2,11,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.035,0.8172,,,0
gvm-seam,1,13,2,11,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.035,0.7158,,,0
gvm-seam,1,13,2,13,gvm-em,IterationLimit,800,3000,-1.5118921140787955,0.018495136157214855,0.04033333333333333,0.035,246.9862,0.9649,0.5812,13799
