"highDimensional","dimension","target","sampler","round","seed","record","budgetPerChain","drawsPerChain","availableDraws","evaluations","warmupEvaluations","status","reason","query","truth","estimate","fullWidth","meanEss","covered","criteriaMet","failureReasons"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","300000","23245","93439","1200000","10110","Ok","FixedBudget","cross","4.5","4.615355594190792","0.8436755825180322","195.29492875368214","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","300000","23245","93439","1200000","10110","Ok","FixedBudget","event","0.10002850401899104","0.1104861260486126","0.16070091362078154","105.95531118441855","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","300000","23245","93439","1200000","10110","Ok","FixedBudget","first","-1.5","-1.4587518717375318","0.808276316436557","117.00700219603026","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","300000","23245","93439","1200000","10110","Ok","FixedBudget","firstSquared","4.75","4.873527582616071","0.8257199527527913","295.2562891583989","true","false","InvalidRHat|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","300000","23245","93439","1200000","10110","Ok","FixedBudget","last","-1.5","-1.448015266530794","0.8142984110761683","115.86828960034623","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","300000","23245","93439","1200000","10110","Ok","FixedBudget","meanSquare","4.75","4.808365945090112","0.8091460125542449","130.4947277927021","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","stopped","300000","23245","93439","1200000","10110","Ok","MaxEvaluationsReached","cross","4.5","4.615355594190792","0.8436755825180322","195.29492875368214","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","stopped","300000","23245","93439","1200000","10110","Ok","MaxEvaluationsReached","event","0.10002850401899104","0.1104861260486126","0.16070091362078154","105.95531118441855","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","stopped","300000","23245","93439","1200000","10110","Ok","MaxEvaluationsReached","first","-1.5","-1.4587518717375318","0.808276316436557","117.00700219603026","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","stopped","300000","23245","93439","1200000","10110","Ok","MaxEvaluationsReached","firstSquared","4.75","4.873527582616071","0.8257199527527913","295.2562891583989","true","false","InvalidRHat|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","stopped","300000","23245","93439","1200000","10110","Ok","MaxEvaluationsReached","last","-1.5","-1.448015266530794","0.8142984110761683","115.86828960034623","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","stopped","300000","23245","93439","1200000","10110","Ok","MaxEvaluationsReached","meanSquare","4.75","4.808365945090112","0.8091460125542449","130.4947277927021","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","75000","5646","22766","300000","10049","Ok","FixedBudget","cross","4.5","4.7022135747921965","1.3396325892937873","81.85008419999131","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","75000","5646","22766","300000","10049","Ok","FixedBudget","event","0.10002850401899104","0.1296935883811548","NaN","42.13199084397605","false","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|UnavailableMcse"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","75000","5646","22766","300000","10049","Ok","FixedBudget","first","-1.5","-1.3457917769793382","1.3931739388721236","44.59010315671833","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","75000","5646","22766","300000","10049","Ok","FixedBudget","firstSquared","4.75","4.919546561875027","1.2909472458327644","130.46224979352843","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","75000","5646","22766","300000","10049","Ok","FixedBudget","last","-1.5","-1.376297917117882","1.3721015367998288","45.638742586156425","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","75000","5646","22766","300000","10049","Ok","FixedBudget","meanSquare","4.75","4.908790486771915","1.35759734578727","51.31015732030816","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","150000","11554","46420","600000","10049","Ok","FixedBudget","cross","4.5","4.389983734656631","0.7258068966883383","205.43448032451957","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","150000","11554","46420","600000","10049","Ok","FixedBudget","event","0.10002850401899104","0.07116583001557902","0.14294831970143934","90.06483755060204","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","150000","11554","46420","600000","10049","Ok","FixedBudget","first","-1.5","-1.653172102108296","0.7299309470524408","100.36621297483944","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","150000","11554","46420","600000","10049","Ok","FixedBudget","firstSquared","4.75","4.653624391037909","0.6873723481519876","365.13900648652515","true","false","InvalidRHat|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","150000","11554","46420","600000","10049","Ok","FixedBudget","last","-1.5","-1.6526672099208435","0.7084950265797311","105.12867595205755","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","150000","11554","46420","600000","10049","Ok","FixedBudget","meanSquare","4.75","4.610720032901554","0.7152156502507924","119.86140636654468","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","300000","23142","93522","1200000","10049","Ok","FixedBudget","cross","4.5","4.454618083665426","0.8374258770164331","168.88138215127864","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","300000","23142","93522","1200000","10049","Ok","FixedBudget","event","0.10002850401899104","0.0847809178117708","0.17155703375368409","73.40152691901763","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","300000","23142","93522","1200000","10049","Ok","FixedBudget","first","-1.5","-1.5810186091840612","0.869836496048434","80.94496079520685","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","300000","23142","93522","1200000","10049","Ok","FixedBudget","firstSquared","4.75","4.699333225025862","0.7596584214799362","313.5884155487874","true","false","InvalidRHat|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","300000","23142","93522","1200000","10049","Ok","FixedBudget","last","-1.5","-1.5817846968634828","0.8092903699461043","93.66295502008705","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","fixed","300000","23142","93522","1200000","10049","Ok","FixedBudget","meanSquare","4.75","4.675251384207841","0.8264663441268016","101.86691803684778","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","stopped","300000","23142","93522","1200000","10049","Ok","MaxEvaluationsReached","cross","4.5","4.454618083665426","0.8374258770164331","168.88138215127864","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","stopped","300000","23142","93522","1200000","10049","Ok","MaxEvaluationsReached","event","0.10002850401899104","0.0847809178117708","0.17155703375368409","73.40152691901763","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","stopped","300000","23142","93522","1200000","10049","Ok","MaxEvaluationsReached","first","-1.5","-1.5810186091840612","0.869836496048434","80.94496079520685","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","stopped","300000","23142","93522","1200000","10049","Ok","MaxEvaluationsReached","firstSquared","4.75","4.699333225025862","0.7596584214799362","313.5884155487874","true","false","InvalidRHat|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","stopped","300000","23142","93522","1200000","10049","Ok","MaxEvaluationsReached","last","-1.5","-1.5817846968634828","0.8092903699461043","93.66295502008705","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","3","2091202","stopped","300000","23142","93522","1200000","10049","Ok","MaxEvaluationsReached","meanSquare","4.75","4.675251384207841","0.8264663441268016","101.86691803684778","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","4","2221565","fixed","75000","5702","22905","300000","10153","Ok","FixedBudget","cross","4.5","4.087614483209609","0.5440607695634511","244.59303503994883","false","false","InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","4","2221565","fixed","75000","5702","22905","300000","10153","Ok","FixedBudget","event","0.10002850401899104","0.01762539459838653","NaN","34.81102482065699","false","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|UnavailableMcse"
"highDimensional","8","asymmetric","gpss","4","2221565","fixed","75000","5702","22905","300000","10153","Ok","FixedBudget","first","-1.5","-1.9297939125811014","0.539478659669603","66.71342085394721","false","false","InsufficientMeanEss|WidthTooLarge"
