case,method,seed,draws,mean,reference,ess,mcse,seconds
rare-event,joint,198372788,4000,3.165292606536221E-5,3.167124183311997E-5,450.24747229566935,1.940152297916508E-6,0.004684600000000001
hierarchical,prior,213858651,4000,0.9875983984718698,0.9803921568627451,361.79583238904996,0.00663636847271441,0.007464200000000001
hierarchical,root,213858651,4000,0.9864648260659301,0.9803921568627451,2052.2298735141585,0.003270596636384676,0.0089701
hierarchical,joint,213858651,4000,0.9794310240526216,0.9803921568627451,3143.760533321369,0.002024865649108356,0.030873300000000003
nonlinear,prior,213858651,4000,0.5101409499744476,0.5,358.10360869189367,0.026412980622757695,0.008034300000000001
nonlinear,root,213858651,4000,0.5127556840933949,0.5,1612.4833582356084,0.012447455738925499,0.0101426
nonlinear,joint,213858651,4000,0.5089780797316998,0.5,2412.099477755593,0.010178057470493692,0.028471600000000003
rare-event,prior,213858651,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0030847
rare-event,root,213858651,4000,3.0044600538789513E-5,3.167124183311997E-5,867.9371832690134,3.963696104794701E-6,0.0048178000000000006
rare-event,joint,213858651,4000,3.315203414958304E-5,3.167124183311997E-5,420.83453790796295,2.0849333450130395E-6,0.0048101
hierarchical,prior,229344514,4000,0.9797593674423668,0.9803921568627451,346.79024445349967,0.006516593917415786,0.007620900000000001
hierarchical,root,229344514,4000,0.9757317323583092,0.9803921568627451,1967.348399945266,0.003490180355632984,0.0088546
hierarchical,joint,229344514,4000,0.9785952060513308,0.9803921568627451,3120.123688968332,0.0020264869731027773,0.0302736
nonlinear,prior,229344514,4000,0.5348699377808342,0.5,336.89667987651484,0.027145066374903718,0.0081217
nonlinear,root,229344514,4000,0.49687032876213066,0.5,1688.0234186799971,0.012169441262753539,0.010307
nonlinear,joint,229344514,4000,0.490709120759367,0.5,2434.9410818044744,0.01012919073131803,0.0284549
rare-event,prior,229344514,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0030397
rare-event,root,229344514,4000,3.451049416258504E-5,3.167124183311997E-5,866.9853751944454,4.182525122630662E-6,0.0047575000000000004
rare-event,joint,229344514,4000,3.0026925854473085E-5,3.167124183311997E-5,463.6178508958448,1.8344580378681034E-6,0.0048846
hierarchical,prior,244830377,4000,0.9988667213680584,0.9803921568627451,334.88200832521926,0.006649873652744378,0.0083064
hierarchical,root,244830377,4000,0.9809586234627398,0.9803921568627451,2018.2060225958157,0.0033595250408021684,0.0088007
hierarchical,joint,244830377,4000,0.978627377541853,0.9803921568627451,3137.978177629883,0.0020511210133284294,0.027455800000000002
nonlinear,prior,244830377,4000,0.5102100405326859,0.5,327.25584570903993,0.02763253866196079,0.0080981
nonlinear,root,244830377,4000,0.49757685756025,0.5,1606.3550953743063,0.01247439606611192,0.0129704
nonlinear,joint,244830377,4000,0.5007983755065257,0.5,2395.3920983717917,0.010216112120638597,0.0285503
rare-event,prior,244830377,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0032507
rare-event,root,244830377,4000,3.2546349505464774E-5,3.167124183311997E-5,894.5996629113433,4.001846597191342E-6,0.0046752
rare-event,joint,244830377,4000,3.0230697895865603E-5,3.167124183311997E-5,440.17191624309777,1.8842452187638537E-6,0.0047032
