jvm,seed,model,draws,method,mean,truth,ess,nanos,heap_delta
0,4,1,20000,1,0.9887359896719448,0.9900990099009901,1706.43878307575,6956600,8388608
0,4,1,20000,2,0.9887359896719448,0.9900990099009901,1706.43878307575,5052100,16777216
0,4,1,20000,3,0.9887359896719448,0.9900990099009901,1706.43878307575,5730500,16777216
0,4,2,2000,0,0.47180748815067747,0.49679988368583794,1461.9893604254576,27175300,79691776
0,4,2,2000,1,0.4843665281518129,0.49679988368583794,1440.9017846973836,1681200,0
0,4,2,2000,2,0.4843665281518129,0.49679988368583794,1440.9017846973836,1773800,8388608
0,4,2,2000,3,0.4843665281518129,0.49679988368583794,1440.9017846973836,1195500,8388608
0,4,2,20000,0,0.4963597933154863,0.49679988368583794,14678.883907641679,236641900,-41518752
0,4,2,20000,1,0.4956365781875498,0.49679988368583794,14730.269803869309,11468500,12582912
0,4,2,20000,2,0.4956365781875498,0.49679988368583794,14730.269803869309,7953800,16777216
0,4,2,20000,3,0.4956365781875498,0.49679988368583794,14730.269803869309,7926200,20971520
0,5,0,2000,3,0.5008354866933993,0.5,1472.3978951423828,1238300,4194304
0,5,0,2000,2,0.5008354866933993,0.5,1472.3978951423828,1092800,8388608
0,5,0,2000,1,0.5008354866933993,0.5,1472.3978951423828,722400,0
0,5,0,2000,0,0.47966017417537704,0.5,1452.8180148082347,5691200,16777216
0,5,0,20000,3,0.49512976686040644,0.5,14667.797217072854,4799000,16777216
0,5,0,20000,2,0.49512976686040644,0.5,14667.797217072854,5162100,16777216
0,5,0,20000,1,0.49512976686040644,0.5,14667.797217072854,4634800,8388608
0,5,0,20000,0,0.501306215895723,0.5,14729.47266437527,43409300,150994944
0,5,1,2000,3,0.9972263218586785,0.9900990099009901,183.89237843767813,1833900,8388608
0,5,1,2000,2,0.9972263218586785,0.9900990099009901,183.89237843767813,1288600,4194304
0,5,1,2000,1,0.9972263218586785,0.9900990099009901,183.89237843767813,826900,4194304
0,5,1,2000,0,0.987482103140289,0.9900990099009901,155.43901022941662,4740600,16777216
0,5,1,20000,3,0.9909735488635876,0.9900990099009901,1738.7263145545191,4904000,16777216
0,5,1,20000,2,0.9909735488635876,0.9900990099009901,1738.7263145545191,6596200,16777216
0,5,1,20000,1,0.9909735488635876,0.9900990099009901,1738.7263145545191,6760800,8388608
0,5,1,20000,0,0.9890495893954383,0.9900990099009901,1756.563103076253,43137300,150994944
0,5,2,2000,3,0.49773258526997627,0.49679988368583794,1477.9923842285568,1617400,12582912
0,5,2,2000,2,0.49773258526997627,0.49679988368583794,1477.9923842285568,1363500,4194304
0,5,2,2000,1,0.49773258526997627,0.49679988368583794,1477.9923842285568,1703000,0
0,5,2,2000,0,0.4764068085636399,0.49679988368583794,1458.623862393163,39311800,-801474432
0,5,2,20000,3,0.4919509421068979,0.49679988368583794,14725.439053410066,7261200,16777216
0,5,2,20000,2,0.4919509421068979,0.49679988368583794,14725.439053410066,10635900,16777216
0,5,2,20000,1,0.4919509421068979,0.49679988368583794,14725.439053410066,11458800,12582912
0,5,2,20000,0,0.49816542396578706,0.49679988368583794,14786.307214329958,207789200,-24503776
0,6,0,2000,0,0.4792343945841859,0.5,1454.0955956513515,7403400,16777216
0,6,0,2000,1,0.46447483431064196,0.5,1449.9510243115785,1027800,0
0,6,0,2000,2,0.46447483431064196,0.5,1449.9510243115785,1439900,8388608
0,6,0,2000,3,0.46447483431064196,0.5,1449.9510243115785,1229800,4194304
0,6,0,20000,0,0.5026564357505272,0.5,14663.273921231792,57165000,150994944
0,6,0,20000,1,0.49443744225239905,0.5,14619.464661616867,4980500,12582912
0,6,0,20000,2,0.49443744225239905,0.5,14619.464661616867,5647900,16777216
0,6,0,20000,3,0.49443744225239905,0.5,14619.464661616867,4818100,16777216
0,6,1,2000,0,0.9863562995898857,0.9900990099009901,152.64785483193484,6041800,16777216
0,6,1,2000,1,0.9904144542051464,0.9900990099009901,141.44110365758797,948400,0
0,6,1,2000,2,0.9904144542051464,0.9900990099009901,141.44110365758797,1191100,8388608
0,6,1,2000,3,0.9904144542051464,0.9900990099009901,141.44110365758797,972800,4194304
0,6,1,20000,0,0.9900193805541245,0.9900990099009901,1692.7446478416628,57513000,150994944
0,6,1,20000,1,0.9891383421084653,0.9900990099009901,1648.31398854902,4820000,12582912
0,6,1,20000,2,0.9891383421084653,0.9900990099009901,1648.31398854902,5959400,16777216
0,6,1,20000,3,0.9891383421084653,0.9900990099009901,1648.31398854902,5465100,16777216
0,6,2,2000,0,0.47585891861563384,0.49679988368583794,1460.0675662706926,21108600,88080384
0,6,2,2000,1,0.4611176040098966,0.49679988368583794,1455.9263776534285,1569900,4194304
0,6,2,2000,2,0.4611176040098966,0.49679988368583794,1455.9263776534285,1791300,4194304
0,6,2,2000,3,0.4611176040098966,0.49679988368583794,1455.9263776534285,1646800,8388608
0,6,2,20000,0,0.4994438740250271,0.49679988368583794,14720.608380261478,214890200,3122832
0,6,2,20000,1,0.49120203099926213,0.49679988368583794,14677.243469196594,11276300,12582912
0,6,2,20000,2,0.49120203099926213,0.49679988368583794,14677.243469196594,10867300,16777216
0,6,2,20000,3,0.49120203099926213,0.49679988368583794,14677.243469196594,7706200,20971520
0,7,0,2000,3,0.5094356466112192,0.5,1466.3240927027625,1275000,8388608
0,7,0,2000,2,0.5094356466112192,0.5,1466.3240927027625,919000,4194304
0,7,0,2000,1,0.5094356466112192,0.5,1466.3240927027625,750000,0
0,7,0,2000,0,0.4979739737353776,0.5,1454.6245765501399,7291200,16777216
0,7,0,20000,3,0.4941783627656855,0.5,14634.433967315346,5657800,16777216
0,7,0,20000,2,0.4941783627656855,0.5,14634.433967315346,5152700,12582912
0,7,0,20000,1,0.4941783627656855,0.5,14634.433967315346,5666100,12582912
0,7,0,20000,0,0.4940902211660365,0.5,14558.092632630389,56611100,-742398656
0,7,1,2000,3,0.9943296200669566,0.9900990099009901,172.96471085857462,1651400,4194304
0,7,1,2000,2,0.9943296200669566,0.9900990099009901,172.96471085857462,1162300,8388608
0,7,1,2000,1,0.9943296200669566,0.9900990099009901,172.96471085857462,905500,0
0,7,1,2000,0,0.9956057692666891,0.9900990099009901,169.7211062407909,4936000,16777216
0,7,1,20000,3,0.991653613987985,0.9900990099009901,1709.1985516573006,4996900,16777216
0,7,1,20000,2,0.991653613987985,0.9900990099009901,1709.1985516573006,4935000,16777216
0,7,1,20000,1,0.991653613987985,0.9900990099009901,1709.1985516573006,5271400,12582912
0,7,1,20000,0,0.9936920955732679,0.9900990099009901,1703.954724378269,42377300,150994944
0,7,2,2000,3,0.5061424773979851,0.49679988368583794,1472.1263438264853,1592400,8388608
0,7,2,2000,2,0.5061424773979851,0.49679988368583794,1472.1263438264853,1471700,4194304
0,7,2,2000,1,0.5061424773979851,0.49679988368583794,1472.1263438264853,1603400,4194304
0,7,2,2000,0,0.49464407043562486,0.49679988368583794,1460.4783755959118,23495800,88080384
0,7,2,20000,3,0.49095570326559707,0.49679988368583794,14692.408570761518,7915200,16777216
0,7,2,20000,2,0.49095570326559707,0.49679988368583794,14692.408570761518,8715600,16777216
0,7,2,20000,1,0.49095570326559707,0.49679988368583794,14692.408570761518,11429900,12582912
0,7,2,20000,0,0.4908359073339147,0.49679988368583794,14616.03223616274,211506700,-87710016
0,8,0,2000,0,0.48269239454835244,0.5,1444.0838393348133,5488700,16777216
0,8,0,2000,1,0.48273485978684977,0.5,1456.692824745071,884300,4194304
0,8,0,2000,2,0.48273485978684977,0.5,1456.692824745071,1316800,4194304
0,8,0,2000,3,0.48273485978684977,0.5,1456.692824745071,991100,4194304
