jvm,case,method,draws,seed,status,mean,ess,rhat,attempts,pilotTransitions,visits,pilotSeconds,fitSeconds,totalSeconds,reference
1,mixture,mixture,2000,208830359,Fitted,0.6377463590953962,1862.4116637906127,1.0056394042375518,2000,3000,12000,0.005262,0.0035677,0.013543800000000002,0.631578947368421
1,mixture,mh,2000,208830359,Completed,0.6355,NaN,1.005868857198739,2000,1000,0,0.0,0.0,0.0056039,0.631578947368421
1,mixture,legacy,2000,208830359,Completed,0.6271186440677933,NaN,NaN,2000,0,0,0.0,0.0,0.0016248,0.631578947368421
1,mixture,prior,2000,208830359,Completed,0.6271186440678017,1310.494117647092,NaN,2000,0,12000,0.0,0.0,0.0033640000000000002,0.631578947368421
1,mixture,single,8000,208830359,Fitted,0.6435958171258402,1324.853348121612,1.0053032879666723,8000,3000,48000,0.0052326000000000004,1.464E-4,0.021427500000000002,0.631578947368421
1,mixture,mixture,8000,208830359,Fitted,0.6320357843892518,7444.418743423165,1.0056394042375518,8000,3000,48000,0.0057635,0.0036198000000000003,0.027671300000000003,0.631578947368421
1,mixture,mh,8000,208830359,Completed,0.635,NaN,1.0023531106248669,8000,1000,0,0.0,0.0,0.015688300000000002,0.631578947368421
1,mixture,legacy,8000,208830359,Completed,0.6273990734612841,NaN,NaN,8000,0,0,0.0,0.0,0.0066467,0.631578947368421
1,mixture,prior,8000,208830359,Completed,0.6273990734612981,5242.528128588627,NaN,8000,0,48000,0.0,0.0,0.015048,0.631578947368421
1,concentrated,mixture,2000,224316222,Fitted,2.9691616494148456,503.9963994452521,4.671306060357802,2000,3000,10000,0.0051010000000000005,0.008563600000000001,0.0183472,2.9702970297029703
1,concentrated,mh,2000,224316222,Completed,2.9050634892625964,NaN,2.3310248346273386,2000,1000,0,0.0,0.0,0.0046724,2.9702970297029703
1,concentrated,legacy,2000,224316222,Completed,2.946358410707704,NaN,NaN,2000,0,0,0.0,0.0,0.0026489,2.9702970297029703
1,concentrated,prior,2000,224316222,Completed,2.9463584107077065,2.4138877338579037,NaN,2000,0,10000,0.0,0.0,0.0035109000000000004,2.9702970297029703
1,concentrated,single,2000,224316222,Fitted,2.9705639915255317,906.74853150583,3.292333676950045,2000,3000,12000,0.0046299,1.314E-4,0.0088097,2.9702970297029703
1,concentrated,mixture,8000,224316222,Fitted,2.969089380833341,2058.364989249649,4.671306060357802,8000,3000,40000,0.0051488,0.0083126,0.030937100000000002,2.9702970297029703
1,concentrated,mh,8000,224316222,Completed,2.9559926949437214,NaN,1.6958079157987032,8000,1000,0,0.0,0.0,0.0141884,2.9702970297029703
1,concentrated,legacy,8000,224316222,Completed,2.987196177441412,NaN,NaN,8000,0,0,0.0,0.0,0.0103227,2.9702970297029703
1,concentrated,prior,8000,224316222,Completed,2.9871961774414055,14.48512461918017,NaN,8000,0,40000,0.0,0.0,0.013509100000000001,2.9702970297029703
1,concentrated,single,8000,224316222,Fitted,2.971617967053949,3672.6434948551073,3.292333676950045,8000,3000,48000,0.0051898000000000005,1.522E-4,0.021194400000000002,2.9702970297029703
1,hierarchical,mixture,2000,224316222,Fitted,0.9761489506624301,1000.0846460062388,1.0675899568410372,2000,3000,18000,0.0053768,0.039525500000000005,0.050635700000000006,0.9803921568627451
1,hierarchical,mh,2000,224316222,Completed,0.9682828563384556,NaN,1.1282275984421875,2000,1000,0,0.0,0.0,0.005253300000000001,0.9803921568627451
1,hierarchical,legacy,2000,224316222,Completed,0.9846279184571503,NaN,NaN,2000,0,0,0.0,0.0,0.0033802000000000003,0.9803921568627451
1,hierarchical,prior,2000,224316222,Completed,0.9846279184571368,174.10424652332742,NaN,2000,0,18000,0.0,0.0,0.0042639,0.9803921568627451
1,hierarchical,single,2000,224316222,Fitted,0.9868828031945811,1073.250282619709,1.1783064372096002,2000,3000,18000,0.0050724,1.5810000000000002E-4,0.010144700000000001,0.9803921568627451
